Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AMAG,09:30,12.30,12.30,12.30,12.30,12.30,3056,1
20200102,AMAG,09:35,12.31,12.31,12.31,12.31,12.31,100,1
20200102,AMAG,09:39,12.22,12.22,12.15,12.15,12.1645,1000,10
20200102,AMAG,09:40,12.09,12.10,12.09,12.10,12.095,200,2
20200102,AMAG,09:42,12.06,12.07,12.05,12.05,12.05686,2696,18
20200102,AMAG,09:43,12.02,12.02,12.02,12.02,12.02,500,1
20200102,AMAG,09:44,12.02,12.03,12.02,12.03,12.02341,587,5
20200102,AMAG,09:45,12.03,12.07,12.00,12.00,12.01062,3201,18
20200102,AMAG,09:46,12.03,12.03,12.03,12.03,12.03,100,1
20200102,AMAG,09:48,11.98,12.01,11.95,11.95,11.971,1000,9
20200102,AMAG,09:49,11.92,11.92,11.92,11.92,11.92,200,2
20200102,AMAG,09:50,11.92,11.92,11.92,11.92,11.92,100,1
20200102,AMAG,09:51,11.95,11.95,11.95,11.95,11.95,100,1
20200102,AMAG,09:52,11.98,11.98,11.98,11.98,11.98,100,1
20200102,AMAG,09:53,11.93,11.93,11.93,11.93,11.93,100,1
20200102,AMAG,09:54,11.95,11.95,11.95,11.95,11.95,100,1
20200102,AMAG,09:55,11.96,11.98,11.96,11.98,11.96754,796,7
20200102,AMAG,09:59,12.00,12.00,12.00,12.00,12.00,100,1
20200102,AMAG,10:02,12.02,12.02,12.02,12.02,12.02,100,1
20200102,AMAG,10:04,12.03,12.03,12.03,12.03,12.03,200,2
20200102,AMAG,10:08,12.01,12.01,11.97,11.97,11.97889,900,9
20200102,AMAG,10:09,11.97,11.97,11.97,11.97,11.97,200,2
20200102,AMAG,10:10,11.96,11.96,11.96,11.96,11.96,200,2
20200102,AMAG,10:11,11.95,11.95,11.87,11.87,11.90175,2288,8
20200102,AMAG,10:12,11.87,11.88,11.86,11.88,11.87138,2167,12
20200102,AMAG,10:13,11.88,11.88,11.86,11.86,11.87333,300,3
20200102,AMAG,10:14,11.86,11.86,11.86,11.86,11.86,100,1
20200102,AMAG,10:15,11.85,11.85,11.83,11.84,11.84286,700,7
20200102,AMAG,10:16,11.84,11.85,11.84,11.85,11.845,600,4
20200102,AMAG,10:17,11.85,11.87,11.85,11.87,11.85667,300,3
20200102,AMAG,10:18,11.8650,11.87,11.86,11.87,11.86549,455,4
20200102,AMAG,10:19,11.87,11.87,11.87,11.87,11.87,300,3
20200102,AMAG,10:21,11.87,11.87,11.86,11.86,11.865,400,3
20200102,AMAG,10:23,11.85,11.85,11.8350,11.8350,11.84125,400,4
20200102,AMAG,10:24,11.83,11.84,11.83,11.83,11.832,500,5
20200102,AMAG,10:25,11.82,11.82,11.82,11.82,11.82,100,1
20200102,AMAG,10:26,11.82,11.82,11.81,11.81,11.815,200,2
20200102,AMAG,10:27,11.82,11.82,11.78,11.78,11.80721,5498,21
