Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AMBA,08:12,60.82,60.82,60.80,60.80,60.80488,410,3
20200102,AMBA,08:17,60.80,60.80,60.80,60.80,60.80,780,2
20200102,AMBA,08:21,60.90,60.90,60.90,60.90,60.90,900,3
20200102,AMBA,09:30,61.36,61.36,61.36,61.36,61.36,7140,1
20200102,AMBA,09:31,61.48,61.48,61.22,61.22,61.38667,300,3
20200102,AMBA,09:32,61.20,61.20,61.03,61.03,61.16677,632,4
20200102,AMBA,09:34,61.23,61.46,61.23,61.46,61.29625,800,8
20200102,AMBA,09:36,61.35,61.43,61.32,61.43,61.36142,3064,29
20200102,AMBA,09:37,61.4250,61.4250,61.31,61.31,61.3329,1594,5
20200102,AMBA,09:38,61.33,61.39,61.26,61.39,61.35764,6344,43
20200102,AMBA,09:39,61.40,61.43,61.33,61.40,61.40,4093,10
20200102,AMBA,09:40,61.41,61.42,61.28,61.28,61.35643,700,7
20200102,AMBA,09:41,61.16,61.16,61.16,61.16,61.16,100,1
20200102,AMBA,09:42,61.25,61.25,61.2350,61.2350,61.2425,200,2
20200102,AMBA,09:43,61.14,61.14,61.14,61.14,61.14,100,1
20200102,AMBA,09:44,61.08,61.14,61.08,61.14,61.0975,400,4
20200102,AMBA,09:45,61.05,61.05,61.05,61.05,61.05,100,1
20200102,AMBA,09:47,60.94,60.94,60.94,60.94,60.94,100,1
20200102,AMBA,09:48,60.9250,60.9250,60.76,60.76,60.84958,1777,12
20200102,AMBA,09:49,60.76,60.76,60.76,60.76,60.76,200,2
20200102,AMBA,09:50,60.66,60.66,60.54,60.54,60.62,300,2
20200102,AMBA,09:51,60.56,60.56,60.56,60.56,60.56,100,1
20200102,AMBA,09:52,60.5950,60.5950,60.5950,60.5950,60.595,100,1
20200102,AMBA,09:53,60.58,60.72,60.58,60.72,60.64857,700,7
20200102,AMBA,09:54,60.6850,60.8050,60.6850,60.8050,60.73667,600,6
20200102,AMBA,09:56,60.84,60.85,60.84,60.85,60.845,200,2
20200102,AMBA,09:57,60.93,60.93,60.93,60.93,60.93,100,1
20200102,AMBA,09:58,60.91,60.91,60.91,60.91,60.91,100,1
20200102,AMBA,10:02,60.82,60.82,60.74,60.74,60.7887,1725,17
20200102,AMBA,10:03,60.71,60.71,60.71,60.71,60.71,200,2
20200102,AMBA,10:04,60.73,60.75,60.73,60.75,60.74,200,2
20200102,AMBA,10:05,60.79,60.86,60.79,60.86,60.80514,584,5
20200102,AMBA,10:06,60.94,60.94,60.94,60.94,60.94,100,1
20200102,AMBA,10:07,60.89,60.89,60.87,60.87,60.88,200,2
20200102,AMBA,10:09,60.87,60.87,60.83,60.83,60.8525,400,4
20200102,AMBA,10:10,60.81,60.81,60.81,60.81,60.81,100,1
20200102,AMBA,10:11,60.82,60.82,60.78,60.78,60.79333,300,3
20200102,AMBA,10:12,60.77,60.77,60.77,60.77,60.77,300,3
20200102,AMBA,10:15,60.67,60.67,60.57,60.57,60.63,400,4
20200102,AMBA,10:16,60.64,60.65,60.64,60.65,60.64333,300,3
20200102,AMBA,10:17,60.76,60.76,60.76,60.76,60.76,100,1
20200102,AMBA,10:18,60.86,60.86,60.86,60.86,60.86,100,1
20200102,AMBA,10:19,60.88,60.88,60.81,60.81,60.86111,900,9
20200102,AMBA,10:22,60.70,60.71,60.70,60.71,60.705,200,2
20200102,AMBA,10:23,60.72,60.72,60.71,60.71,60.7125,400,4
20200102,AMBA,10:25,60.70,60.70,60.70,60.70,60.70,200,2
20200102,AMBA,10:26,60.68,60.76,60.65,60.74,60.68192,5224,25
20200102,AMBA,10:27,60.75,60.77,60.73,60.73,60.75,800,8
20200102,AMBA,10:28,60.69,60.69,60.69,60.69,60.69,200,2
20200102,AMBA,10:29,60.72,60.75,60.65,60.74,60.71207,2417,22
20200102,AMBA,10:30,60.74,60.74,60.69,60.69,60.72333,600,6
20200102,AMBA,10:31,60.70,60.72,60.69,60.72,60.70734,817,8
20200102,AMBA,10:32,60.71,60.71,60.66,60.70,60.685,1800,17
20200102,AMBA,10:33,60.73,60.74,60.71,60.71,60.72333,600,6
20200102,AMBA,10:34,60.75,60.75,60.64,60.64,60.67598,1501,14
20200102,AMBA,10:35,60.67,60.77,60.67,60.75,60.72722,2944,24
20200102,AMBA,10:36,60.75,60.75,60.73,60.73,60.74714,700,6
20200102,AMBA,10:37,60.70,60.72,60.68,60.69,60.70615,1300,13
20200102,AMBA,10:38,60.70,60.70,60.63,60.65,60.675,1000,10
20200102,AMBA,10:39,60.68,60.68,60.68,60.68,60.68,800,8
20200102,AMBA,10:40,60.67,60.70,60.66,60.69,60.67778,900,9
20200102,AMBA,10:41,60.64,60.76,60.54,60.76,60.62784,5388,46
20200102,AMBA,10:42,60.78,60.85,60.77,60.85,60.80048,4586,24
20200102,AMBA,10:43,60.84,60.87,60.84,60.87,60.85143,1400,13
20200102,AMBA,10:44,60.87,60.89,60.84,60.89,60.86319,3569,29
20200102,AMBA,10:45,60.89,60.90,60.86,60.90,60.88879,2349,17
20200102,AMBA,10:46,60.90,60.94,60.90,60.94,60.922,500,5
20200102,AMBA,10:47,60.93,60.97,60.87,60.87,60.92296,4601,37
20200102,AMBA,10:48,60.86,60.89,60.80,60.88,60.83806,3604,28
20200102,AMBA,10:49,60.89,60.92,60.86,60.86,60.89233,6511,40
20200102,AMBA,10:50,60.89,60.96,60.89,60.94,60.94108,2167,16
20200102,AMBA,10:51,60.93,60.94,60.93,60.94,60.93333,300,3
20200102,AMBA,10:52,60.94,60.98,60.91,60.91,60.9429,3100,25
20200102,AMBA,10:53,60.88,60.91,60.88,60.91,60.89706,708,6
20200102,AMBA,10:54,60.90,60.90,60.82,60.82,60.88142,592,5
20200102,AMBA,10:55,60.8350,60.97,60.8350,60.94,60.87281,1600,14
20200102,AMBA,10:56,61.00,61.00,60.99,60.99,60.99714,2101,5
20200102,AMBA,10:57,61.00,61.00,60.99,60.99,60.994,1000,8
20200102,AMBA,10:58,60.98,60.98,60.96,60.96,60.965,400,4
20200102,AMBA,10:59,60.92,60.92,60.92,60.92,60.92,100,1
20200102,AMBA,11:00,60.92,60.96,60.92,60.96,60.93625,800,6
20200102,AMBA,11:01,60.94,60.95,60.94,60.95,60.94667,300,3
20200102,AMBA,11:03,60.93,60.93,60.92,60.92,60.92667,300,3
20200102,AMBA,11:06,60.91,60.97,60.91,60.97,60.94177,689,6
20200102,AMBA,11:07,60.95,60.95,60.94,60.94,60.94125,800,8
20200102,AMBA,11:08,60.95,60.95,60.94,60.94,60.94243,412,4
20200102,AMBA,11:09,60.94,60.94,60.94,60.94,60.94,100,1
20200102,AMBA,11:10,60.91,60.94,60.91,60.94,60.93,300,3
20200102,AMBA,11:12,60.94,60.96,60.94,60.96,60.9475,400,4
20200102,AMBA,11:13,60.96,60.96,60.92,60.92,60.9412,1137,9
20200102,AMBA,11:14,60.91,60.91,60.91,60.91,60.91,200,2
20200102,AMBA,11:15,60.91,60.92,60.90,60.91,60.91075,1325,13
20200102,AMBA,11:18,60.93,60.93,60.93,60.93,60.93,100,1
20200102,AMBA,11:19,60.89,60.96,60.89,60.96,60.91857,700,7
20200102,AMBA,11:20,60.98,60.98,60.98,60.98,60.98,100,1
20200102,AMBA,11:21,61.02,61.02,61.02,61.02,61.02,100,1
20200102,AMBA,11:22,61.02,61.02,61.00,61.02,61.01,400,4
20200102,AMBA,11:23,61.03,61.0450,61.03,61.0450,61.03833,300,3
20200102,AMBA,11:25,61.05,61.05,61.05,61.05,61.05,100,1
20200102,AMBA,11:26,61.04,61.18,61.04,61.18,61.10936,6433,34
20200102,AMBA,11:27,61.20,61.20,61.15,61.15,61.17571,1400,14
20200102,AMBA,11:28,61.16,61.16,61.16,61.16,61.16,100,1
20200102,AMBA,11:29,61.17,61.17,61.15,61.15,61.16,400,3
20200102,AMBA,11:30,61.14,61.15,61.14,61.15,61.14497,398,3
20200102,AMBA,11:31,61.19,61.19,61.19,61.19,61.19,200,2
20200102,AMBA,11:32,61.17,61.17,61.17,61.17,61.17,100,1
20200102,AMBA,11:33,61.22,61.24,61.22,61.23,61.22289,1038,3
20200102,AMBA,11:34,61.22,61.22,61.0750,61.11,61.12071,2125,16
20200102,AMBA,11:36,61.08,61.09,61.06,61.08,61.07081,925,9
20200102,AMBA,11:37,61.09,61.09,61.06,61.06,61.06333,900,2
20200102,AMBA,11:38,61.05,61.05,61.05,61.05,61.05,300,2
20200102,AMBA,11:39,61.05,61.05,61.05,61.05,61.05,601,2
20200102,AMBA,11:40,61.06,61.12,61.06,61.12,61.0775,800,8
20200102,AMBA,11:41,61.08,61.13,61.08,61.11,61.10667,300,3
20200102,AMBA,11:42,61.13,61.13,61.13,61.13,61.13,400,3
20200102,AMBA,11:43,61.17,61.17,61.17,61.17,61.17,100,1
20200102,AMBA,11:44,61.18,61.18,61.18,61.18,61.18,100,1
20200102,AMBA,11:47,61.20,61.20,61.20,61.20,61.20,113,1
20200102,AMBA,11:48,61.23,61.23,61.23,61.23,61.23,100,1
20200102,AMBA,11:50,61.26,61.26,61.24,61.24,61.25529,425,4
20200102,AMBA,11:52,61.25,61.31,61.25,61.31,61.26833,600,5
20200102,AMBA,11:53,61.27,61.27,61.27,61.27,61.27,300,3
20200102,AMBA,11:54,61.26,61.26,61.26,61.26,61.26,100,1
20200102,AMBA,11:55,61.27,61.33,61.27,61.33,61.28944,900,7
20200102,AMBA,11:56,61.37,61.37,61.37,61.37,61.37,300,3
20200102,AMBA,11:57,61.42,61.42,61.42,61.42,61.42,100,1
20200102,AMBA,11:59,61.41,61.41,61.37,61.39,61.39,717,6
20200102,AMBA,12:00,61.42,61.42,61.42,61.42,61.42,100,1
20200102,AMBA,12:01,61.48,61.48,61.43,61.45,61.44667,450,4
20200102,AMBA,12:02,61.44,61.50,61.44,61.50,61.48083,600,5
20200102,AMBA,12:03,61.48,61.54,61.48,61.54,61.49939,1629,6
20200102,AMBA,12:04,61.52,61.52,61.47,61.47,61.51396,5048,18
20200102,AMBA,12:05,61.44,61.44,61.39,61.39,61.41,400,4
20200102,AMBA,12:06,61.4050,61.4050,61.40,61.40,61.40333,300,3
20200102,AMBA,12:07,61.40,61.42,61.40,61.42,61.40667,300,3
20200102,AMBA,12:08,61.44,61.44,61.44,61.44,61.44,100,1
20200102,AMBA,12:11,61.44,61.44,61.44,61.44,61.44,100,1
20200102,AMBA,12:12,61.43,61.44,61.43,61.44,61.43667,300,2
20200102,AMBA,12:13,61.47,61.47,61.47,61.47,61.47,100,1
20200102,AMBA,12:14,61.47,61.47,61.47,61.47,61.47,100,1
20200102,AMBA,12:16,61.50,61.54,61.50,61.54,61.50851,470,2
20200102,AMBA,12:18,61.58,61.58,61.58,61.58,61.58,600,5
20200102,AMBA,12:19,61.57,61.57,61.55,61.57,61.56714,700,7
20200102,AMBA,12:23,61.6050,61.6050,61.57,61.57,61.5875,200,2
20200102,AMBA,12:28,61.60,61.61,61.60,61.61,61.60333,300,2
20200102,AMBA,12:29,61.62,61.62,61.62,61.62,61.62,100,1
20200102,AMBA,12:31,61.66,61.66,61.66,61.66,61.66,100,1
20200102,AMBA,12:32,61.6750,61.6750,61.6750,61.6750,61.675,100,1
20200102,AMBA,12:33,61.66,61.68,61.66,61.68,61.66833,600,5
20200102,AMBA,12:34,61.70,61.70,61.70,61.70,61.70,200,1
20200102,AMBA,12:35,61.68,61.68,61.60,61.61,61.66334,4201,11
20200102,AMBA,12:36,61.59,61.63,61.59,61.63,61.60412,510,5
20200102,AMBA,12:37,61.61,61.61,61.61,61.61,61.61,209,2
20200102,AMBA,12:38,61.60,61.62,61.60,61.62,61.61111,225,2
20200102,AMBA,12:39,61.62,61.62,61.62,61.62,61.62,250,2
20200102,AMBA,12:42,61.55,61.55,61.55,61.55,61.55,100,1
20200102,AMBA,12:43,61.5750,61.5750,61.5750,61.5750,61.575,100,1
20200102,AMBA,12:49,61.56,61.58,61.56,61.58,61.56296,676,3
20200102,AMBA,12:50,61.5650,61.65,61.5650,61.65,61.60536,1587,11
20200102,AMBA,12:51,61.69,61.70,61.69,61.70,61.69882,1699,3
20200102,AMBA,12:52,61.74,61.74,61.74,61.74,61.74,577,3
20200102,AMBA,12:53,61.76,61.76,61.76,61.76,61.76,100,1
20200102,AMBA,12:57,61.76,61.76,61.76,61.76,61.76,200,2
20200102,AMBA,12:58,61.73,61.73,61.73,61.73,61.73,100,1
20200102,AMBA,12:59,61.78,61.78,61.78,61.78,61.78,100,1
20200102,AMBA,13:03,61.76,61.76,61.76,61.76,61.76,100,1
20200102,AMBA,13:05,61.78,61.78,61.78,61.78,61.78,200,2
20200102,AMBA,13:06,61.79,61.80,61.79,61.79,61.794,500,5
20200102,AMBA,13:07,61.81,61.84,61.80,61.84,61.82409,677,6
20200102,AMBA,13:08,61.86,61.86,61.86,61.86,61.86,400,4
20200102,AMBA,13:09,61.84,61.87,61.84,61.86,61.858,500,5
20200102,AMBA,13:10,61.86,61.87,61.86,61.87,61.868,500,5
20200102,AMBA,13:11,61.88,61.91,61.88,61.91,61.8875,400,4
20200102,AMBA,13:12,61.93,61.96,61.93,61.96,61.945,200,2
20200102,AMBA,13:13,61.95,61.95,61.95,61.95,61.95,200,2
20200102,AMBA,13:14,61.96,61.96,61.96,61.96,61.96,125,1
20200102,AMBA,13:15,61.9450,61.97,61.9450,61.97,61.9575,200,2
20200102,AMBA,13:16,61.97,61.97,61.94,61.94,61.95308,325,3
20200102,AMBA,13:17,61.98,61.98,61.98,61.98,61.98,100,1
20200102,AMBA,13:18,61.98,62.00,61.98,61.99,61.99782,4585,28
20200102,AMBA,13:19,62.00,62.04,62.00,62.04,62.00686,1021,4
20200102,AMBA,13:20,62.04,62.07,62.04,62.07,62.04681,1078,8
20200102,AMBA,13:21,62.07,62.07,62.04,62.07,62.05623,1325,13
20200102,AMBA,13:22,62.02,62.03,62.02,62.03,62.02327,306,3
20200102,AMBA,13:23,62.05,62.08,62.05,62.08,62.055,600,3
20200102,AMBA,13:24,62.04,62.06,62.04,62.06,62.05,200,2
20200102,AMBA,13:27,62.19,62.28,62.10,62.28,62.206,6136,45
20200102,AMBA,13:28,62.33,62.39,62.33,62.39,62.36176,425,4
20200102,AMBA,13:29,62.34,62.34,62.33,62.33,62.335,200,2
20200102,AMBA,13:30,62.37,62.39,62.37,62.39,62.3775,400,4
20200102,AMBA,13:32,62.33,62.33,62.33,62.33,62.33,400,4
20200102,AMBA,13:33,62.30,62.30,62.25,62.25,62.285,500,5
20200102,AMBA,13:34,62.27,62.29,62.27,62.29,62.285,400,4
20200102,AMBA,13:35,62.30,62.30,62.30,62.30,62.30,800,4
20200102,AMBA,13:36,62.32,62.32,62.29,62.29,62.3159,732,6
20200102,AMBA,13:37,62.32,62.33,62.29,62.32,62.3168,625,6
20200102,AMBA,13:38,62.31,62.31,62.31,62.31,62.31,200,2
20200102,AMBA,13:39,62.39,62.39,62.35,62.35,62.37,200,2
20200102,AMBA,13:40,62.34,62.34,62.33,62.34,62.3381,525,5
20200102,AMBA,13:41,62.34,62.34,62.32,62.33,62.335,600,5
20200102,AMBA,13:42,62.35,62.35,62.32,62.35,62.34463,1117,8
20200102,AMBA,13:43,62.36,62.39,62.36,62.38,62.37765,425,4
20200102,AMBA,13:44,62.37,62.38,62.35,62.38,62.36667,300,3
20200102,AMBA,13:45,62.42,62.44,62.40,62.44,62.41622,1393,10
20200102,AMBA,13:46,62.44,62.46,62.44,62.44,62.442,1000,4
20200102,AMBA,13:47,62.45,62.46,62.44,62.45,62.4519,525,5
20200102,AMBA,13:48,62.49,62.52,62.49,62.52,62.50192,780,5
20200102,AMBA,13:49,62.53,62.53,62.46,62.46,62.50125,800,8
20200102,AMBA,13:50,62.47,62.56,62.47,62.56,62.52759,725,7
20200102,AMBA,13:51,62.56,62.63,62.56,62.63,62.585,400,4
20200102,AMBA,13:52,62.63,62.63,62.60,62.60,62.615,200,2
20200102,AMBA,13:53,62.60,62.60,62.60,62.60,62.60,100,1
20200102,AMBA,13:54,62.59,62.62,62.58,62.58,62.60812,862,8
20200102,AMBA,13:55,62.61,62.61,62.61,62.61,62.61,100,1
20200102,AMBA,13:56,62.62,62.62,62.62,62.62,62.62,100,1
