Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AME,09:30,100.15,100.49,100.15,100.49,100.16067,9178,2
20200102,AME,09:31,100.32,100.32,100.25,100.25,100.285,200,2
20200102,AME,09:32,100.15,100.31,100.15,100.31,100.27956,720,6
20200102,AME,09:33,100.48,100.50,100.48,100.50,100.49333,300,3
20200102,AME,09:34,100.67,100.67,100.49,100.49,100.58929,1400,14
20200102,AME,09:35,100.65,100.73,100.65,100.71,100.70429,778,7
20200102,AME,09:36,100.66,100.66,100.48,100.48,100.6275,800,6
20200102,AME,09:37,100.51,100.51,100.49,100.49,100.5025,400,4
20200102,AME,09:38,100.3950,100.3950,100.3950,100.3950,100.395,100,1
20200102,AME,09:39,100.44,100.44,100.44,100.44,100.44,100,1
20200102,AME,09:40,100.45,100.47,100.45,100.47,100.46,200,2
20200102,AME,09:41,100.34,100.34,100.23,100.29,100.30211,764,6
20200102,AME,09:42,100.34,100.34,100.34,100.34,100.34,100,1
20200102,AME,09:43,100.34,100.34,100.34,100.34,100.34,100,1
20200102,AME,09:44,100.40,100.40,100.40,100.40,100.40,100,1
20200102,AME,09:45,100.3650,100.3650,100.3650,100.3650,100.365,100,1
20200102,AME,09:47,100.34,100.35,100.25,100.27,100.29563,800,8
20200102,AME,09:48,100.21,100.21,100.15,100.16,100.17524,525,5
20200102,AME,09:49,100.16,100.16,100.1150,100.1150,100.135,500,5
20200102,AME,09:50,100.09,100.12,100.06,100.06,100.095,400,4
20200102,AME,09:51,100.04,100.06,100.00,100.00,100.02415,2195,17
20200102,AME,09:52,99.94,100.00,99.94,99.98,99.98283,466,4
20200102,AME,09:53,100.0550,100.09,100.0550,100.09,100.0725,200,2
20200102,AME,09:54,100.09,100.14,100.04,100.14,100.09063,800,8
20200102,AME,09:55,100.14,100.14,100.07,100.07,100.1075,400,4
20200102,AME,09:56,100.1050,100.12,100.06,100.09,100.087,500,5
20200102,AME,09:57,100.06,100.0950,100.03,100.03,100.06757,602,6
20200102,AME,09:58,100.0050,100.0050,99.97,99.97,99.977,500,4
20200102,AME,09:59,99.97,100.0150,99.97,100.0150,99.9925,400,4
20200102,AME,10:00,99.99,100.02,99.99,100.02,100.00,300,3
20200102,AME,10:02,99.91,99.9450,99.90,99.91,99.92703,1209,11
20200102,AME,10:03,99.9550,99.9550,99.9450,99.9450,99.95017,207,2
20200102,AME,10:04,99.95,99.9750,99.94,99.9750,99.94935,689,6
20200102,AME,10:05,100.00,100.00,100.00,100.00,100.00,100,1
