Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AMED,09:30,167.83,167.83,167.12,167.12,167.79168,1853,2
20200102,AMED,09:31,166.62,167.40,166.62,167.40,167.01,200,2
20200102,AMED,09:35,167.55,167.55,167.55,167.55,167.55,100,1
20200102,AMED,09:39,166.15,166.15,166.00,166.08,166.10329,471,4
20200102,AMED,09:40,166.27,166.27,165.64,165.64,166.144,500,5
20200102,AMED,09:41,165.75,165.75,165.33,165.33,165.64857,700,7
20200102,AMED,09:42,165.30,165.30,165.30,165.30,165.30,100,1
20200102,AMED,09:43,165.00,165.18,165.00,165.18,165.12137,307,2
20200102,AMED,09:45,165.10,165.17,165.10,165.17,165.135,200,2
20200102,AMED,09:48,164.89,164.89,164.76,164.76,164.825,200,2
20200102,AMED,09:49,164.4350,164.4350,164.4350,164.4350,164.435,100,1
20200102,AMED,09:51,164.69,164.69,164.69,164.69,164.69,100,1
20200102,AMED,09:56,164.39,164.39,164.39,164.39,164.39,100,1
20200102,AMED,09:58,164.19,164.34,163.70,164.34,164.0675,400,4
20200102,AMED,10:00,164.03,164.03,163.51,163.51,163.95,800,8
20200102,AMED,10:02,164.26,164.26,164.26,164.26,164.26,100,1
20200102,AMED,10:03,164.36,164.36,164.36,164.36,164.36,100,1
20200102,AMED,10:05,164.32,164.32,164.32,164.32,164.32,200,1
20200102,AMED,10:06,164.33,164.65,164.33,164.65,164.41667,600,6
20200102,AMED,10:11,164.98,164.98,164.60,164.60,164.68553,760,6
20200102,AMED,10:13,164.50,164.51,164.50,164.51,164.505,200,2
20200102,AMED,10:14,164.38,164.38,164.38,164.38,164.38,100,1
20200102,AMED,10:15,164.37,164.37,164.22,164.22,164.278,500,5
20200102,AMED,10:17,164.27,164.46,164.27,164.46,164.3525,400,4
20200102,AMED,10:19,164.43,164.43,164.43,164.43,164.43,100,1
20200102,AMED,10:20,164.50,164.50,164.50,164.50,164.50,300,3
20200102,AMED,10:21,164.42,164.59,164.42,164.59,164.47667,300,2
20200102,AMED,10:23,164.38,164.4450,164.27,164.3650,164.36187,2678,7
20200102,AMED,10:24,164.46,164.46,164.46,164.46,164.46,100,1
20200102,AMED,10:28,164.76,164.76,164.76,164.76,164.76,200,1
20200102,AMED,10:33,164.53,164.53,164.53,164.53,164.53,100,1
20200102,AMED,10:34,164.75,164.75,164.75,164.75,164.75,100,1
20200102,AMED,10:37,164.90,164.90,164.74,164.74,164.84333,600,6
20200102,AMED,10:40,164.4750,164.4750,164.4750,164.4750,164.475,100,1
20200102,AMED,10:42,164.61,164.61,164.61,164.61,164.61,200,2
20200102,AMED,10:47,164.50,164.52,164.50,164.5050,164.505,500,5
20200102,AMED,10:49,164.46,164.98,164.46,164.98,164.67845,2900,21
20200102,AMED,10:50,164.90,165.00,164.90,165.00,164.99052,2110,4
20200102,AMED,10:51,164.90,164.90,164.89,164.89,164.895,200,2
20200102,AMED,10:53,165.23,165.23,165.23,165.23,165.23,100,1
20200102,AMED,10:56,165.63,165.64,165.63,165.64,165.635,200,2
20200102,AMED,11:01,165.7750,165.7750,165.7750,165.7750,165.775,100,1
20200102,AMED,11:03,165.83,165.83,165.83,165.83,165.83,100,1
20200102,AMED,11:04,165.66,165.66,165.66,165.66,165.66,100,1
20200102,AMED,11:05,165.60,165.64,165.60,165.64,165.61333,300,3
20200102,AMED,11:06,165.57,165.57,165.52,165.55,165.55727,1100,6
20200102,AMED,11:07,165.63,165.66,165.63,165.66,165.64706,309,3
20200102,AMED,11:08,165.74,165.74,165.74,165.74,165.74,100,1
20200102,AMED,11:11,165.78,165.78,165.78,165.78,165.78,100,1
20200102,AMED,11:14,165.86,165.95,165.86,165.95,165.8975,400,4
20200102,AMED,11:16,165.97,165.97,165.97,165.97,165.97,100,1
20200102,AMED,11:19,166.03,166.03,166.0150,166.0150,166.01857,700,5
20200102,AMED,11:20,166.05,166.05,166.04,166.04,166.045,200,2
20200102,AMED,11:21,165.97,165.97,165.93,165.93,165.955,400,4
20200102,AMED,11:25,165.73,165.73,165.73,165.73,165.73,100,1
20200102,AMED,11:26,165.44,165.44,165.44,165.44,165.44,200,2
20200102,AMED,11:35,164.50,164.50,164.49,164.49,164.495,200,2
20200102,AMED,11:36,164.51,164.51,164.51,164.51,164.51,100,1
20200102,AMED,11:40,164.74,164.74,164.74,164.74,164.74,100,1
20200102,AMED,11:46,164.73,164.73,164.50,164.50,164.57,1000,10
20200102,AMED,11:47,164.52,164.57,164.52,164.57,164.545,200,2
20200102,AMED,11:53,164.48,164.48,164.47,164.47,164.4738,263,2
20200102,AMED,11:54,164.50,164.50,164.50,164.50,164.50,100,1
20200102,AMED,11:57,164.34,164.34,164.0150,164.0150,164.22083,600,5
20200102,AMED,11:58,164.10,164.10,164.10,164.10,164.10,200,2
20200102,AMED,11:59,164.07,164.07,164.07,164.07,164.07,100,1
20200102,AMED,12:10,163.94,163.94,163.94,163.94,163.94,100,1
20200102,AMED,12:12,163.87,163.90,163.85,163.90,163.87,400,4
20200102,AMED,12:15,164.01,164.01,164.01,164.01,164.01,200,2
20200102,AMED,12:16,164.00,164.00,164.00,164.00,164.00,100,1
20200102,AMED,12:25,163.90,163.90,163.90,163.90,163.90,100,1
20200102,AMED,12:26,163.91,163.91,163.84,163.84,163.875,200,2
20200102,AMED,12:28,163.90,163.9950,163.90,163.9950,163.93875,400,4
20200102,AMED,12:29,163.99,164.00,163.99,163.99,163.998,1500,8
20200102,AMED,12:30,163.96,163.97,163.74,163.74,163.84619,2100,20
20200102,AMED,12:31,163.75,163.75,163.69,163.70,163.73692,1300,5
20200102,AMED,12:32,163.6750,163.6850,163.62,163.6850,163.6675,600,6
20200102,AMED,12:33,163.57,163.57,163.1750,163.22,163.32777,1211,11
20200102,AMED,12:34,163.26,163.50,163.26,163.50,163.35081,1912,17
20200102,AMED,12:35,163.36,163.36,163.36,163.36,163.36,100,1
20200102,AMED,12:37,163.41,163.6050,163.41,163.6050,163.4605,1000,9
20200102,AMED,12:38,163.55,163.55,163.55,163.55,163.55,200,2
20200102,AMED,12:39,163.57,163.66,163.57,163.66,163.58444,900,5
20200102,AMED,12:40,163.6650,163.6650,163.6650,163.6650,163.665,100,1
20200102,AMED,12:41,163.6650,163.6650,163.6650,163.6650,163.665,200,2
20200102,AMED,12:45,163.69,163.69,163.52,163.52,163.6475,400,4
20200102,AMED,12:46,163.44,163.51,163.44,163.51,163.491,500,5
20200102,AMED,12:47,163.47,163.5050,163.47,163.5050,163.4875,200,2
20200102,AMED,12:48,163.5050,163.5050,163.5050,163.5050,163.505,200,2
20200102,AMED,12:49,163.44,163.44,163.18,163.31,163.37494,3216,27
20200102,AMED,12:50,163.32,163.36,163.29,163.3250,163.319,1000,10
20200102,AMED,12:51,163.26,163.26,163.24,163.24,163.25,200,2
20200102,AMED,12:52,163.2650,163.2650,163.08,163.21,163.14611,900,9
20200102,AMED,12:53,163.11,163.14,163.03,163.04,163.1025,800,8
20200102,AMED,12:54,163.01,163.01,163.01,163.01,163.01,200,2
20200102,AMED,12:55,163.04,163.2150,163.04,163.09,163.11229,542,5
20200102,AMED,12:56,163.2550,163.2550,163.03,163.04,163.079,500,5
20200102,AMED,13:02,162.95,162.95,162.95,162.95,162.95,100,1
20200102,AMED,13:05,163.10,163.10,163.10,163.10,163.10,100,1
20200102,AMED,13:06,163.10,163.10,163.10,163.10,163.10,100,1
20200102,AMED,13:07,163.20,163.20,163.20,163.20,163.20,100,1
20200102,AMED,13:09,163.48,163.48,163.48,163.48,163.48,100,1
20200102,AMED,13:11,163.09,163.09,163.09,163.09,163.09,100,1
20200102,AMED,13:17,163.38,163.38,163.38,163.38,163.38,100,1
20200102,AMED,13:18,163.37,163.37,163.37,163.37,163.37,100,1
20200102,AMED,13:19,163.3550,163.3550,163.3550,163.3550,163.355,100,1
20200102,AMED,13:20,163.44,163.44,163.44,163.44,163.44,100,1
20200102,AMED,13:22,163.42,163.42,163.42,163.42,163.42,100,1
20200102,AMED,13:23,163.50,163.59,163.39,163.39,163.48895,1900,18
20200102,AMED,13:24,163.41,163.46,163.41,163.44,163.43728,687,6
20200102,AMED,13:25,163.27,163.38,163.2650,163.38,163.28125,800,6
20200102,AMED,13:26,163.31,163.41,163.31,163.35,163.34833,600,6
20200102,AMED,13:35,163.32,163.32,163.26,163.26,163.28667,300,3
20200102,AMED,13:39,163.27,163.27,163.27,163.27,163.27,100,1
20200102,AMED,13:42,163.20,163.20,163.15,163.15,163.1775,400,4
20200102,AMED,13:44,163.15,163.15,163.15,163.15,163.15,100,1
20200102,AMED,13:45,163.27,163.2750,163.27,163.2750,163.2725,200,2
