Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AMN,09:30,62.58,62.58,62.58,62.58,62.58,1380,1
20200102,AMN,09:31,62.53,62.53,62.39,62.39,62.4425,400,4
20200102,AMN,09:33,62.46,62.46,62.46,62.46,62.46,100,1
20200102,AMN,09:35,62.53,62.57,62.53,62.57,62.5475,400,4
20200102,AMN,09:38,62.52,62.57,62.52,62.57,62.54667,300,3
20200102,AMN,09:39,62.50,62.53,62.48,62.53,62.4975,400,4
20200102,AMN,09:40,62.45,62.49,62.37,62.37,62.43429,700,7
20200102,AMN,09:41,62.32,62.34,62.32,62.34,62.33,200,2
20200102,AMN,09:42,62.35,62.35,62.35,62.35,62.35,400,2
20200102,AMN,09:48,62.20,62.23,62.20,62.23,62.20728,412,2
20200102,AMN,09:50,62.15,62.15,62.15,62.15,62.15,100,1
20200102,AMN,09:52,62.11,62.13,62.11,62.13,62.125,400,4
20200102,AMN,09:53,62.12,62.15,62.11,62.15,62.12667,300,3
20200102,AMN,09:54,62.09,62.17,62.09,62.11,62.12985,655,6
20200102,AMN,09:58,62.12,62.12,62.12,62.12,62.12,100,1
20200102,AMN,10:03,62.06,62.06,62.06,62.06,62.06,200,2
20200102,AMN,10:09,61.93,61.97,61.87,61.90,61.91429,700,7
20200102,AMN,10:12,61.82,61.82,61.74,61.78,61.78,300,3
20200102,AMN,10:13,61.79,61.84,61.76,61.84,61.78818,1100,11
20200102,AMN,10:14,61.82,61.89,61.8150,61.8150,61.83187,800,8
20200102,AMN,10:15,61.82,61.82,61.82,61.82,61.82,200,2
20200102,AMN,10:17,61.82,61.87,61.8050,61.87,61.83826,639,6
20200102,AMN,10:18,61.81,61.91,61.81,61.91,61.855,400,4
20200102,AMN,10:21,61.89,61.89,61.89,61.89,61.89,200,2
20200102,AMN,10:22,61.94,61.94,61.91,61.91,61.925,200,2
20200102,AMN,10:23,61.84,61.88,61.81,61.81,61.84,400,4
20200102,AMN,10:28,61.79,61.81,61.79,61.81,61.79222,900,9
20200102,AMN,10:29,61.81,61.84,61.80,61.84,61.82333,600,6
20200102,AMN,10:31,61.73,61.73,61.68,61.70,61.71403,501,3
20200102,AMN,10:32,61.62,61.62,61.62,61.62,61.62,100,1
20200102,AMN,10:34,61.55,61.57,61.55,61.57,61.56,200,2
20200102,AMN,10:35,61.58,61.58,61.57,61.57,61.575,200,2
20200102,AMN,10:37,61.56,61.56,61.56,61.56,61.56,200,2
20200102,AMN,10:38,61.52,61.53,61.52,61.53,61.525,200,2
20200102,AMN,10:39,61.56,61.56,61.56,61.56,61.56,300,3
20200102,AMN,10:45,61.55,61.55,61.55,61.55,61.55,100,1
20200102,AMN,10:46,61.56,61.58,61.56,61.58,61.57,200,2
20200102,AMN,10:48,61.52,61.52,61.52,61.52,61.52,100,1
20200102,AMN,10:49,61.55,61.55,61.54,61.55,61.548,500,5
20200102,AMN,10:51,61.49,61.52,61.49,61.52,61.4975,400,4
20200102,AMN,10:52,61.47,61.47,61.4150,61.4150,61.45625,400,4
20200102,AMN,10:53,61.3550,61.3550,61.3550,61.3550,61.355,100,1
20200102,AMN,10:54,61.36,61.46,61.36,61.46,61.41338,770,7
20200102,AMN,10:55,61.47,61.47,61.47,61.47,61.47,100,1
20200102,AMN,11:02,61.51,61.51,61.50,61.50,61.505,200,2
20200102,AMN,11:06,61.50,61.50,61.50,61.50,61.50,200,2
20200102,AMN,11:07,61.47,61.48,61.47,61.48,61.47334,299,2
20200102,AMN,11:08,61.50,61.50,61.50,61.50,61.50,100,1
20200102,AMN,11:12,61.53,61.53,61.53,61.53,61.53,100,1
20200102,AMN,11:17,61.54,61.54,61.52,61.52,61.53,200,2
20200102,AMN,11:21,61.52,61.55,61.52,61.55,61.53252,397,3
20200102,AMN,11:22,61.53,61.54,61.51,61.51,61.5185,588,5
20200102,AMN,11:25,61.51,61.51,61.51,61.51,61.51,116,1
