Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AMNB,09:30,39.58,39.58,39.58,39.58,39.58,659,1
20200102,AMNB,10:18,39.53,39.53,39.35,39.51,39.46333,300,3
20200102,AMNB,11:12,39.55,39.55,39.37,39.37,39.46,200,2
20200102,AMNB,11:36,39.53,39.53,39.53,39.53,39.53,100,1
20200102,AMNB,11:50,39.36,39.36,39.12,39.28,39.305,1200,9
20200102,AMNB,11:51,39.05,39.05,39.05,39.05,39.05,100,1
20200102,AMNB,12:21,39.30,39.30,39.30,39.30,39.30,100,1
20200102,AMNB,14:21,39.24,39.24,39.24,39.24,39.24,100,1
20200102,AMNB,14:25,39.19,39.19,39.19,39.19,39.19,100,1
20200102,AMNB,14:27,39.10,39.13,39.10,39.10,39.115,400,4
20200102,AMNB,14:28,39.11,39.11,39.11,39.11,39.11,100,1
20200102,AMNB,14:37,39.08,39.08,39.08,39.08,39.08,295,2
20200102,AMNB,14:38,39.07,39.07,39.07,39.07,39.07,100,1
20200102,AMNB,14:57,39.18,39.18,39.18,39.18,39.18,100,1
20200102,AMNB,15:26,39.17,39.17,39.17,39.17,39.17,100,1
20200102,AMNB,15:27,39.31,39.31,39.31,39.31,39.31,150,1
20200102,AMNB,15:32,39.20,39.20,39.20,39.20,39.20,300,3
20200102,AMNB,15:38,39.19,39.19,39.19,39.19,39.19,200,2
20200102,AMNB,15:40,39.30,39.30,39.30,39.30,39.30,100,1
20200102,AMNB,15:47,39.24,39.24,39.24,39.24,39.24,100,1
20200102,AMNB,15:50,39.48,39.48,39.48,39.48,39.48,100,1
20200102,AMNB,15:59,39.39,39.39,39.39,39.39,39.39,100,1
20200102,AMNB,16:00,39.40,39.40,39.40,39.40,39.40,1030,1
