Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AMRH,09:30,2.25,2.25,2.25,2.25,2.25,215,1
20200102,AMRH,09:31,2.25,2.25,2.25,2.25,2.25,2988,2
20200102,AMRH,09:51,2.26,2.30,2.26,2.30,2.26847,1497,5
20200102,AMRH,11:30,2.26,2.26,2.22,2.22,2.22752,4955,21
20200102,AMRH,11:38,2.27,2.27,2.27,2.27,2.27,100,1
20200102,AMRH,11:58,2.25,2.25,2.25,2.25,2.25,200,1
20200102,AMRH,12:18,2.25,2.25,2.25,2.25,2.25,200,1
20200102,AMRH,12:58,2.25,2.32,2.25,2.32,2.28065,4850,28
20200102,AMRH,12:59,2.31,2.31,2.31,2.31,2.31,100,1
20200102,AMRH,13:00,2.31,2.31,2.31,2.31,2.31,600,4
20200102,AMRH,13:13,2.31,2.31,2.30,2.30,2.30457,1093,3
20200102,AMRH,13:18,2.31,2.31,2.31,2.31,2.31,200,1
20200102,AMRH,13:51,2.32,2.33,2.32,2.33,2.32414,853,6
20200102,AMRH,14:23,2.33,2.33,2.33,2.33,2.33,400,4
20200102,AMRH,14:55,2.3250,2.3250,2.3250,2.3250,2.325,100,1
20200102,AMRH,14:57,2.33,2.33,2.33,2.33,2.33,100,1
20200102,AMRH,15:02,2.33,2.33,2.33,2.33,2.33,200,1
20200102,AMRH,15:45,2.35,2.35,2.35,2.35,2.35,400,2
20200102,AMRH,15:49,2.37,2.38,2.37,2.38,2.37447,1788,5
20200102,AMRH,15:50,2.38,2.38,2.38,2.38,2.38,1000,2
20200102,AMRH,15:51,2.38,2.40,2.38,2.40,2.38415,963,3
20200102,AMRH,15:54,2.41,2.42,2.41,2.42,2.41889,903,2
20200102,AMRH,15:59,2.42,2.42,2.42,2.42,2.42,650,3
20200102,AMRH,16:43,2.41,2.41,2.41,2.41,2.41,100,1
20200102,AMRH,17:57,2.39,2.39,2.39,2.39,2.39,300,1
20200102,AMRH,19:43,2.39,2.39,2.39,2.39,2.39,200,1
