Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AMRX,07:00,4.89,4.90,4.89,4.90,4.89412,340,2
20200102,AMRX,08:38,4.94,4.94,4.94,4.94,4.94,100,1
20200102,AMRX,09:04,4.97,4.97,4.97,4.97,4.97,732,2
20200102,AMRX,09:28,4.97,4.97,4.97,4.97,4.97,589,2
20200102,AMRX,09:29,4.99,4.99,4.99,4.99,4.99,500,1
20200102,AMRX,09:30,4.98,4.98,4.96,4.96,4.96341,4100,9
20200102,AMRX,09:31,4.95,5.00,4.95,4.99,4.98258,44395,23
20200102,AMRX,09:32,4.98,5.02,4.95,5.02,4.98123,6959,42
20200102,AMRX,09:33,5.01,5.06,5.01,5.06,5.04905,7400,15
20200102,AMRX,09:34,5.07,5.13,5.07,5.07,5.1027,14079,34
20200102,AMRX,09:36,5.00,5.02,5.00,5.00,5.01,900,7
20200102,AMRX,09:38,5.00,5.00,4.97,4.97,4.98445,2674,11
20200102,AMRX,09:39,4.97,4.99,4.96,4.99,4.9703,6570,16
20200102,AMRX,09:40,4.98,4.98,4.96,4.97,4.96614,2814,18
20200102,AMRX,09:41,4.97,4.97,4.96,4.96,4.96706,1700,11
20200102,AMRX,09:42,4.95,4.95,4.92,4.93,4.9481,28150,42
20200102,AMRX,09:43,4.94,4.94,4.92,4.92,4.9345,2000,13
20200102,AMRX,09:44,4.91,4.91,4.88,4.88,4.89382,5242,31
20200102,AMRX,09:45,4.89,4.91,4.88,4.91,4.88981,5299,22
20200102,AMRX,09:46,4.91,4.91,4.89,4.89,4.89333,1800,6
20200102,AMRX,09:47,4.89,4.89,4.89,4.89,4.89,300,3
20200102,AMRX,09:48,4.89,4.89,4.8550,4.8550,4.87449,5867,34
20200102,AMRX,09:49,4.86,4.89,4.86,4.89,4.87,2320,17
20200102,AMRX,09:50,4.89,4.89,4.87,4.87,4.87225,4231,26
20200102,AMRX,09:51,4.88,4.8850,4.87,4.87,4.87567,3000,17
20200102,AMRX,09:52,4.87,4.91,4.87,4.89,4.89604,11905,44
20200102,AMRX,09:53,4.87,4.89,4.86,4.87,4.87821,6452,13
20200102,AMRX,09:54,4.87,4.87,4.86,4.87,4.86667,300,3
20200102,AMRX,09:55,4.86,4.87,4.86,4.86,4.86844,1600,12
20200102,AMRX,09:56,4.87,4.87,4.80,4.8050,4.84006,22025,62
20200102,AMRX,09:57,4.81,4.83,4.81,4.83,4.81214,1400,12
20200102,AMRX,09:58,4.83,4.83,4.83,4.83,4.83,800,6
20200102,AMRX,09:59,4.84,4.85,4.80,4.80,4.8156,13303,80
20200102,AMRX,10:00,4.80,4.81,4.79,4.79,4.79722,21491,78
20200102,AMRX,10:01,4.79,4.79,4.76,4.7750,4.77285,5772,37
20200102,AMRX,10:02,4.78,4.78,4.78,4.78,4.78,900,7
20200102,AMRX,10:03,4.78,4.78,4.78,4.78,4.78,1199,9
20200102,AMRX,10:04,4.79,4.79,4.78,4.78,4.785,200,2
20200102,AMRX,10:05,4.78,4.7850,4.76,4.76,4.77536,4305,18
20200102,AMRX,10:07,4.76,4.76,4.76,4.76,4.76,100,1
20200102,AMRX,10:08,4.77,4.78,4.77,4.78,4.77533,1500,12
20200102,AMRX,10:09,4.78,4.78,4.78,4.78,4.78,100,1
20200102,AMRX,10:10,4.78,4.78,4.78,4.78,4.78,2600,18
20200102,AMRX,10:11,4.78,4.78,4.76,4.76,4.77602,2259,13
20200102,AMRX,10:12,4.76,4.76,4.7550,4.7550,4.75833,300,3
20200102,AMRX,10:13,4.75,4.75,4.73,4.73,4.74163,12300,21
20200102,AMRX,10:14,4.73,4.73,4.73,4.73,4.73,2250,13
20200102,AMRX,10:15,4.74,4.74,4.74,4.74,4.74,100,1
20200102,AMRX,10:16,4.74,4.76,4.74,4.76,4.75544,3397,19
20200102,AMRX,10:17,4.7650,4.77,4.7650,4.77,4.76833,300,3
20200102,AMRX,10:18,4.77,4.77,4.75,4.76,4.76474,2745,15
20200102,AMRX,10:20,4.76,4.76,4.76,4.76,4.76,100,1
20200102,AMRX,10:21,4.77,4.78,4.77,4.78,4.77773,1100,8
20200102,AMRX,10:22,4.7850,4.7850,4.78,4.78,4.7805,1000,6
20200102,AMRX,10:23,4.77,4.77,4.76,4.76,4.76333,2100,9
20200102,AMRX,10:24,4.75,4.75,4.74,4.74,4.74882,11906,8
20200102,AMRX,10:25,4.74,4.74,4.74,4.74,4.74,100,1
20200102,AMRX,10:27,4.73,4.7350,4.71,4.7150,4.72004,24049,25
20200102,AMRX,10:28,4.72,4.72,4.72,4.72,4.72,271,1
