Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AMT,04:00,229.98,229.98,229.98,229.98,229.98,119,1
20200102,AMT,07:00,229.98,229.98,229.98,229.98,229.98,186,1
20200102,AMT,08:05,229.78,229.78,229.78,229.78,229.78,100,1
20200102,AMT,09:30,229.68,229.81,229.45,229.81,229.67761,14829,13
20200102,AMT,09:31,229.55,229.70,228.29,228.55,229.20723,3912,38
20200102,AMT,09:32,228.44,229.01,228.44,229.01,228.725,200,2
20200102,AMT,09:33,229.10,229.53,229.10,229.26,229.25,1600,15
20200102,AMT,09:34,229.69,229.69,229.69,229.69,229.69,100,1
20200102,AMT,09:35,229.73,230.26,229.67,230.10,229.91782,6200,22
20200102,AMT,09:36,230.0950,230.11,229.75,229.9350,229.9964,1110,10
20200102,AMT,09:37,230.00,230.00,230.00,230.00,230.00,100,1
20200102,AMT,09:38,229.96,229.96,229.96,229.96,229.96,100,1
20200102,AMT,09:39,230.04,230.10,229.88,229.91,229.98167,824,7
20200102,AMT,09:40,229.90,230.00,229.71,229.76,229.85529,1315,13
20200102,AMT,09:41,229.60,230.0750,229.60,229.96,229.87231,1300,12
20200102,AMT,09:42,230.02,230.19,230.02,230.17,230.1275,400,4
20200102,AMT,09:43,230.16,230.63,230.16,230.50,230.45882,1128,8
20200102,AMT,09:44,230.50,230.92,230.50,230.92,230.68118,1700,14
20200102,AMT,09:45,230.82,230.86,230.59,230.59,230.75031,2336,21
20200102,AMT,09:46,230.68,230.68,230.63,230.6450,230.6468,556,5
20200102,AMT,09:47,230.78,230.89,230.7550,230.79,230.80202,1002,9
20200102,AMT,09:48,230.89,231.06,230.89,231.06,230.98504,2240,17
20200102,AMT,09:49,230.84,230.87,230.73,230.73,230.80857,700,7
20200102,AMT,09:50,230.94,231.08,230.88,231.08,230.98467,1875,17
20200102,AMT,09:51,231.08,231.08,230.76,230.88,230.886,1000,9
20200102,AMT,09:52,230.48,230.66,230.48,230.64,230.59333,600,6
20200102,AMT,09:53,230.67,230.67,230.64,230.64,230.6538,652,6
20200102,AMT,09:54,230.68,230.75,230.61,230.61,230.6825,800,8
20200102,AMT,09:55,230.46,230.54,230.41,230.54,230.47,300,3
20200102,AMT,09:56,230.51,230.72,230.50,230.50,230.62514,903,8
20200102,AMT,09:58,230.64,230.79,230.64,230.71,230.71313,319,3
20200102,AMT,09:59,230.56,230.61,230.54,230.61,230.58,400,4
20200102,AMT,10:00,230.65,230.67,230.31,230.31,230.51928,2110,20
20200102,AMT,10:01,230.16,230.16,230.16,230.16,230.16,100,1
20200102,AMT,10:02,230.15,230.19,230.15,230.19,230.17,200,2
20200102,AMT,10:03,230.2050,230.2050,230.09,230.09,230.12726,2274,7
20200102,AMT,10:04,229.98,229.98,229.92,229.92,229.9332,724,6
20200102,AMT,10:05,229.98,230.06,229.88,230.03,229.98125,800,8
20200102,AMT,10:06,230.2450,230.2450,230.2450,230.2450,230.245,100,1
20200102,AMT,10:07,230.17,230.28,230.17,230.26,230.23805,1059,10
20200102,AMT,10:09,230.31,230.36,230.31,230.36,230.32814,408,4
20200102,AMT,10:10,230.43,230.4350,230.36,230.42,230.40357,700,7
20200102,AMT,10:11,230.37,230.39,230.36,230.36,230.37,400,3
20200102,AMT,10:12,230.35,230.43,230.34,230.43,230.38085,946,9
20200102,AMT,10:13,230.32,230.34,230.12,230.23,230.2507,1111,10
20200102,AMT,10:15,230.11,230.11,229.60,229.62,229.83279,3400,34
20200102,AMT,10:16,229.65,229.99,229.65,229.99,229.7968,1267,9
20200102,AMT,10:17,229.92,229.96,229.76,229.78,229.88727,1100,11
20200102,AMT,10:18,229.92,229.92,229.76,229.76,229.845,400,4
20200102,AMT,10:19,229.68,229.68,229.68,229.68,229.68,100,1
20200102,AMT,10:20,229.57,229.57,229.46,229.5150,229.51866,410,4
20200102,AMT,10:21,229.4950,229.4950,229.4950,229.4950,229.495,100,1
20200102,AMT,10:22,229.4850,229.4850,229.44,229.44,229.47375,400,2
20200102,AMT,10:23,229.58,229.72,229.57,229.72,229.6534,1413,11
20200102,AMT,10:24,229.77,229.81,229.77,229.81,229.7925,400,4
20200102,AMT,10:25,229.73,229.75,229.60,229.60,229.68931,811,8
20200102,AMT,10:26,229.74,229.89,229.74,229.84,229.80172,1261,9
20200102,AMT,10:27,229.94,230.32,229.94,230.02,230.05803,2440,22
20200102,AMT,10:28,230.15,230.29,230.15,230.21,230.21187,800,5
20200102,AMT,10:29,230.16,230.22,230.16,230.21,230.20143,700,6
20200102,AMT,10:30,230.18,230.26,230.14,230.14,230.185,900,8
20200102,AMT,10:31,230.13,230.35,230.13,230.21,230.25674,1153,11
20200102,AMT,10:32,230.22,230.22,230.17,230.19,230.20762,1616,15
20200102,AMT,10:33,230.22,230.2450,230.15,230.17,230.17959,4311,36
20200102,AMT,10:34,230.20,230.20,230.18,230.18,230.18571,700,7
20200102,AMT,10:35,230.19,230.19,230.02,230.07,230.12414,1754,16
20200102,AMT,10:36,230.04,230.04,229.96,230.00,229.99999,801,8
20200102,AMT,10:37,229.92,229.92,229.90,229.91,229.90714,840,7
20200102,AMT,10:38,230.00,230.06,229.96,229.98,230.01222,900,8
20200102,AMT,10:39,230.06,230.36,230.06,230.23,230.2425,800,8
20200102,AMT,10:40,230.2850,230.2850,230.15,230.15,230.2581,2100,11
20200102,AMT,10:41,230.09,230.14,229.93,230.13,230.073,3500,31
20200102,AMT,10:42,230.06,230.21,229.90,229.90,230.08786,1400,14
20200102,AMT,10:43,229.98,230.28,229.98,230.28,230.07889,1800,14
20200102,AMT,10:44,230.2350,230.40,230.19,230.19,230.30242,3300,29
20200102,AMT,10:45,230.15,230.20,230.08,230.08,230.12019,530,5
20200102,AMT,10:46,230.01,230.01,229.86,229.86,229.94236,1451,14
20200102,AMT,10:47,229.81,229.85,229.78,229.83,229.805,700,7
20200102,AMT,10:48,229.65,229.70,229.54,229.54,229.62889,900,9
20200102,AMT,10:49,229.50,229.52,229.36,229.45,229.45552,1315,12
20200102,AMT,10:51,229.18,229.18,229.18,229.18,229.18,100,1
20200102,AMT,10:52,229.06,229.06,229.04,229.04,229.05,300,3
20200102,AMT,10:53,229.03,229.03,228.91,228.91,228.97,200,2
20200102,AMT,10:54,228.91,229.19,228.91,229.10,229.06042,1807,15
20200102,AMT,10:55,228.99,229.11,228.99,229.11,229.07,300,3
20200102,AMT,10:56,229.02,229.02,229.02,229.02,229.02,100,1
20200102,AMT,10:57,229.11,229.23,229.08,229.23,229.15,850,8
20200102,AMT,10:58,229.40,229.54,229.40,229.54,229.49,300,3
20200102,AMT,10:59,229.4950,229.4950,229.43,229.43,229.46071,700,6
20200102,AMT,11:00,229.53,229.55,229.47,229.51,229.50217,1308,13
20200102,AMT,11:01,229.55,229.55,229.41,229.52,229.472,500,5
20200102,AMT,11:02,229.50,229.56,229.50,229.56,229.539,500,4
20200102,AMT,11:03,229.59,229.9750,229.59,229.97,229.77688,3416,28
20200102,AMT,11:04,229.94,230.04,229.90,230.04,229.98756,1582,12
20200102,AMT,11:05,229.98,230.09,229.97,230.09,230.06125,800,5
20200102,AMT,11:06,230.09,230.20,230.06,230.20,230.0887,3519,23
20200102,AMT,11:07,230.16,230.16,230.01,230.01,230.09644,1616,14
20200102,AMT,11:08,230.00,230.05,230.00,230.05,230.014,500,4
20200102,AMT,11:09,230.08,230.13,230.08,230.12,230.10571,700,5
20200102,AMT,11:10,230.13,230.14,230.01,230.14,230.09024,3696,22
20200102,AMT,11:11,230.1050,230.12,230.08,230.08,230.10667,1200,9
20200102,AMT,11:12,230.01,230.21,230.01,230.15,230.08639,3371,30
20200102,AMT,11:14,230.14,230.18,230.10,230.12,230.1375,800,8
20200102,AMT,11:15,230.11,230.18,230.09,230.18,230.12818,1100,11
20200102,AMT,11:16,230.35,230.35,230.35,230.35,230.35,100,1
20200102,AMT,11:17,230.33,230.33,230.23,230.23,230.27843,4686,36
20200102,AMT,11:18,230.16,230.16,230.16,230.16,230.16,200,2
20200102,AMT,11:19,230.15,230.16,230.0550,230.0550,230.131,1000,9
20200102,AMT,11:20,230.01,230.0150,229.90,230.00,229.955,1000,10
20200102,AMT,11:21,230.03,230.03,230.00,230.02,230.00875,800,6
20200102,AMT,11:22,230.0350,230.0350,229.92,229.92,229.995,400,3
20200102,AMT,11:23,229.92,229.92,229.92,229.92,229.92,400,3
20200102,AMT,11:24,229.97,229.97,229.97,229.97,229.97,100,1
20200102,AMT,11:25,230.09,230.09,230.06,230.06,230.08625,800,5
20200102,AMT,11:26,229.90,229.90,229.82,229.82,229.855,600,6
20200102,AMT,11:28,229.81,229.81,229.69,229.69,229.74875,800,8
20200102,AMT,11:29,229.7050,229.7050,229.6350,229.6350,229.66563,800,7
20200102,AMT,11:30,229.68,229.68,229.67,229.67,229.675,200,2
20200102,AMT,11:31,229.54,229.54,229.48,229.48,229.51,200,2
20200102,AMT,11:32,229.50,229.50,229.29,229.29,229.36972,1800,16
20200102,AMT,11:33,229.24,229.24,229.03,229.06,229.1095,1000,9
20200102,AMT,11:34,229.0550,229.09,229.0350,229.04,229.0488,801,8
20200102,AMT,11:35,228.88,228.88,228.70,228.75,228.79571,700,7
20200102,AMT,11:36,228.76,228.83,228.75,228.81,228.79258,1860,17
20200102,AMT,11:37,228.82,228.99,228.82,228.95,228.89663,2343,18
20200102,AMT,11:38,228.94,228.99,228.90,228.94,228.938,500,5
20200102,AMT,11:39,228.90,229.00,228.87,229.00,228.96273,1100,11
20200102,AMT,11:40,229.07,229.07,229.07,229.07,229.07,100,1
20200102,AMT,11:41,229.10,229.27,229.10,229.27,229.18531,2021,18
20200102,AMT,11:42,229.3150,229.41,229.3150,229.34,229.3575,600,6
20200102,AMT,11:43,229.25,229.25,229.20,229.24,229.2151,1258,11
20200102,AMT,11:44,229.26,229.48,229.21,229.48,229.40308,650,4
20200102,AMT,11:45,229.47,229.47,229.34,229.34,229.44167,600,6
20200102,AMT,11:46,229.41,229.42,229.33,229.42,229.37675,2000,20
20200102,AMT,11:47,229.31,229.31,229.25,229.27,229.27546,1157,8
20200102,AMT,11:48,229.27,229.28,229.27,229.27,229.27125,800,8
