Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AMTD,09:30,50.01,50.01,49.94,49.96,50.00482,15402,15
20200102,AMTD,09:31,49.99,50.01,49.88,49.88,49.95727,1100,11
20200102,AMTD,09:32,49.86,49.88,49.82,49.86,49.84607,2800,22
20200102,AMTD,09:33,49.86,49.95,49.84,49.94,49.89474,1899,16
20200102,AMTD,09:34,49.94,49.95,49.88,49.88,49.92218,5500,37
20200102,AMTD,09:35,49.88,49.91,49.88,49.90,49.898,1500,13
20200102,AMTD,09:36,49.93,49.98,49.92,49.98,49.93,2500,15
20200102,AMTD,09:37,49.99,49.99,49.93,49.94,49.95687,800,8
20200102,AMTD,09:38,49.93,49.95,49.90,49.95,49.91343,1117,11
20200102,AMTD,09:39,49.93,49.94,49.92,49.94,49.93469,3201,25
20200102,AMTD,09:40,49.97,49.98,49.94,49.96,49.95528,1800,17
20200102,AMTD,09:41,49.94,50.00,49.94,50.00,49.97458,2400,22
20200102,AMTD,09:42,50.02,50.08,50.02,50.06,50.06036,5964,54
20200102,AMTD,09:43,50.07,50.12,50.07,50.12,50.10184,5700,47
20200102,AMTD,09:44,50.14,50.16,50.12,50.16,50.13733,4498,34
20200102,AMTD,09:45,50.17,50.17,50.10,50.11,50.13778,900,9
20200102,AMTD,09:46,50.10,50.13,50.10,50.12,50.12053,1900,17
20200102,AMTD,09:47,50.11,50.11,50.04,50.04,50.05437,4281,34
20200102,AMTD,09:48,50.04,50.05,50.04,50.05,50.04553,1900,18
20200102,AMTD,09:49,50.04,50.04,49.97,49.97,50.0106,18762,141
20200102,AMTD,09:50,49.97,50.04,49.96,50.04,49.99109,10937,74
20200102,AMTD,09:51,50.04,50.05,49.99,50.05,50.02091,15530,122
20200102,AMTD,09:52,50.04,50.04,49.97,49.97,50.00441,3575,32
20200102,AMTD,09:53,49.99,50.01,49.94,49.94,49.9869,2100,21
20200102,AMTD,09:54,49.98,49.99,49.97,49.99,49.98,1300,12
20200102,AMTD,09:55,50.00,50.06,50.00,50.06,50.03204,2700,26
20200102,AMTD,09:56,50.06,50.06,50.02,50.04,50.03185,2869,25
20200102,AMTD,09:57,50.04,50.06,50.04,50.06,50.045,800,7
20200102,AMTD,09:58,50.09,50.10,50.07,50.07,50.09328,2900,27
20200102,AMTD,09:59,50.07,50.08,50.0350,50.04,50.0585,2000,19
20200102,AMTD,10:00,50.04,50.06,49.98,49.98,50.02486,9616,69
20200102,AMTD,10:01,49.9850,49.9850,49.90,49.92,49.94203,6482,50
20200102,AMTD,10:02,49.93,49.96,49.92,49.96,49.93967,5073,38
20200102,AMTD,10:03,49.97,49.98,49.94,49.9750,49.96471,10257,71
20200102,AMTD,10:04,49.98,50.01,49.97,50.00,49.99629,5372,49
20200102,AMTD,10:05,50.03,50.04,50.00,50.00,50.02222,1800,17
20200102,AMTD,10:06,50.01,50.10,50.01,50.10,50.06943,8953,67
20200102,AMTD,10:07,50.10,50.14,50.09,50.12,50.11855,7384,70
20200102,AMTD,10:08,50.12,50.17,50.10,50.16,50.12351,9672,74
20200102,AMTD,10:09,50.17,50.18,50.14,50.14,50.16073,4437,40
20200102,AMTD,10:10,50.15,50.16,50.15,50.16,50.155,700,7
20200102,AMTD,10:11,50.16,50.16,50.10,50.10,50.13334,3746,32
20200102,AMTD,10:12,50.09,50.11,50.0650,50.11,50.0885,2000,19
20200102,AMTD,10:13,50.11,50.11,50.06,50.09,50.08972,1800,18
20200102,AMTD,10:14,50.11,50.12,50.06,50.06,50.09202,3703,26
20200102,AMTD,10:15,50.06,50.06,49.99,50.01,50.02247,2324,21
20200102,AMTD,10:16,50.00,50.06,50.00,50.02,50.03233,2266,21
20200102,AMTD,10:17,50.03,50.04,49.98,49.99,50.00714,29050,164
20200102,AMTD,10:18,49.98,50.03,49.96,50.03,49.98727,7805,56
20200102,AMTD,10:19,50.03,50.05,50.03,50.05,50.04571,700,7
20200102,AMTD,10:20,50.07,50.0750,50.03,50.04,50.05816,1900,17
20200102,AMTD,10:21,50.03,50.03,50.00,50.02,50.01625,1200,12
20200102,AMTD,10:22,50.02,50.03,50.01,50.03,50.01654,966,9
20200102,AMTD,10:23,50.01,50.01,49.97,49.99,49.99114,2200,22
20200102,AMTD,10:24,49.99,49.99,49.98,49.98,49.98167,600,6
20200102,AMTD,10:25,49.9950,49.9950,49.99,49.99,49.9925,200,2
20200102,AMTD,10:26,49.99,49.99,49.98,49.98,49.98369,1109,10
20200102,AMTD,10:27,49.96,49.98,49.95,49.96,49.96092,1099,9
20200102,AMTD,10:28,49.9650,49.97,49.95,49.95,49.96254,5700,40
20200102,AMTD,10:29,49.96,49.97,49.9250,49.93,49.94154,1300,12
20200102,AMTD,10:30,49.94,49.95,49.86,49.87,49.90291,2512,23
20200102,AMTD,10:31,49.86,49.88,49.85,49.85,49.862,2000,20
20200102,AMTD,10:32,49.84,49.85,49.82,49.85,49.84184,4475,38
20200102,AMTD,10:33,49.83,49.88,49.83,49.86,49.84342,1900,18
20200102,AMTD,10:34,49.85,49.87,49.85,49.87,49.86238,808,8
20200102,AMTD,10:35,49.90,49.9050,49.86,49.86,49.88813,2400,16
20200102,AMTD,10:36,49.86,49.86,49.86,49.86,49.86,100,1
20200102,AMTD,10:37,49.89,49.89,49.88,49.88,49.88216,1156,10
20200102,AMTD,10:38,49.86,49.86,49.82,49.84,49.83375,1200,12
20200102,AMTD,10:39,49.85,49.88,49.85,49.86,49.86118,1700,16
20200102,AMTD,10:40,49.86,49.86,49.85,49.86,49.85834,602,6
20200102,AMTD,10:41,49.87,49.88,49.87,49.87,49.87369,792,7
20200102,AMTD,10:42,49.87,49.88,49.86,49.87,49.86681,1441,13
20200102,AMTD,10:43,49.88,49.88,49.88,49.88,49.88,300,3
20200102,AMTD,10:44,49.87,49.88,49.85,49.88,49.85981,4670,33
20200102,AMTD,10:45,49.88,49.90,49.84,49.8450,49.86347,28988,222
20200102,AMTD,10:46,49.85,49.87,49.82,49.83,49.84046,11769,95
20200102,AMTD,10:47,49.8250,49.9250,49.82,49.91,49.88583,13795,105
20200102,AMTD,10:48,49.92,49.94,49.86,49.94,49.89111,19826,149
20200102,AMTD,10:49,49.94,49.94,49.89,49.93,49.91861,1800,18
20200102,AMTD,10:50,49.94,49.96,49.94,49.96,49.94669,1795,16
20200102,AMTD,10:51,49.95,49.96,49.93,49.95,49.94555,3922,31
20200102,AMTD,10:52,49.95,49.99,49.9350,49.99,49.95767,1500,15
20200102,AMTD,10:53,50.00,50.01,50.00,50.0050,50.005,300,3
20200102,AMTD,10:54,50.01,50.03,50.00,50.03,50.01357,700,7
20200102,AMTD,10:55,50.06,50.07,50.05,50.06,50.06295,2200,22
20200102,AMTD,10:56,50.06,50.06,50.05,50.06,50.0585,3000,24
20200102,AMTD,10:57,50.05,50.09,50.05,50.0850,50.06964,1401,13
20200102,AMTD,10:58,50.08,50.11,50.08,50.11,50.09629,6914,59
20200102,AMTD,10:59,50.10,50.11,50.10,50.10,50.10401,1502,13
20200102,AMTD,11:00,50.10,50.13,50.10,50.13,50.11722,900,8
20200102,AMTD,11:01,50.14,50.14,50.1250,50.14,50.1353,1809,18
20200102,AMTD,11:02,50.15,50.15,50.12,50.13,50.1363,7582,66
20200102,AMTD,11:03,50.14,50.16,50.13,50.13,50.15025,1436,11
20200102,AMTD,11:04,50.14,50.15,50.13,50.15,50.13375,1200,11
20200102,AMTD,11:05,50.15,50.17,50.1450,50.17,50.15216,6622,64
20200102,AMTD,11:06,50.17,50.1850,50.17,50.1850,50.174,1000,8
20200102,AMTD,11:07,50.20,50.21,50.18,50.18,50.19795,2440,10
20200102,AMTD,11:08,50.18,50.19,50.16,50.16,50.16803,2031,20
20200102,AMTD,11:09,50.1850,50.1850,50.1750,50.1850,50.18,1337,13
20200102,AMTD,11:10,50.1950,50.20,50.19,50.19,50.1948,5000,30
