Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AMZA,09:30,4.56,4.56,4.56,4.56,4.56,17705,1
20200102,AMZA,09:33,4.59,4.59,4.58,4.58,4.58741,2700,10
20200102,AMZA,09:34,4.58,4.58,4.58,4.58,4.58,100,1
20200102,AMZA,09:35,4.58,4.58,4.58,4.58,4.58,300,3
20200102,AMZA,09:36,4.5850,4.5850,4.5850,4.5850,4.585,1000,8
20200102,AMZA,09:37,4.59,4.5950,4.59,4.5950,4.59339,3100,9
20200102,AMZA,09:38,4.59,4.59,4.58,4.58,4.58951,4050,18
20200102,AMZA,09:39,4.58,4.58,4.58,4.58,4.58,100,1
20200102,AMZA,09:41,4.59,4.59,4.59,4.59,4.59,1400,6
20200102,AMZA,09:42,4.58,4.58,4.58,4.58,4.58,200,2
20200102,AMZA,09:48,4.57,4.57,4.57,4.57,4.57,100,1
20200102,AMZA,09:57,4.57,4.57,4.57,4.57,4.57,1725,7
20200102,AMZA,10:15,4.57,4.57,4.57,4.57,4.57,1886,4
20200102,AMZA,10:17,4.57,4.57,4.57,4.57,4.57,100,1
20200102,AMZA,10:22,4.56,4.56,4.56,4.56,4.56,100,1
20200102,AMZA,10:23,4.56,4.56,4.56,4.56,4.56,3801,7
20200102,AMZA,10:25,4.56,4.56,4.56,4.56,4.56,200,1
20200102,AMZA,10:27,4.5550,4.5550,4.5550,4.5550,4.555,200,2
20200102,AMZA,10:33,4.56,4.56,4.56,4.56,4.56,100,1
20200102,AMZA,10:34,4.56,4.56,4.56,4.56,4.56,100,1
20200102,AMZA,10:45,4.56,4.56,4.56,4.56,4.56,5900,10
20200102,AMZA,10:50,4.5650,4.5650,4.5650,4.5650,4.565,500,1
20200102,AMZA,10:51,4.5650,4.5650,4.5650,4.5650,4.565,500,1
20200102,AMZA,10:53,4.57,4.57,4.57,4.57,4.57,100,1
20200102,AMZA,11:04,4.57,4.57,4.57,4.57,4.57,7705,13
20200102,AMZA,11:12,4.57,4.57,4.57,4.57,4.57,100,1
20200102,AMZA,11:14,4.57,4.57,4.57,4.57,4.57,100,1
20200102,AMZA,11:27,4.57,4.57,4.57,4.57,4.57,100,1
20200102,AMZA,11:30,4.57,4.57,4.57,4.57,4.57,100,1
20200102,AMZA,11:46,4.56,4.56,4.56,4.56,4.56,100,1
20200102,AMZA,11:54,4.57,4.57,4.57,4.57,4.57,201,1
20200102,AMZA,11:58,4.57,4.57,4.57,4.57,4.57,10218,19
20200102,AMZA,12:07,4.58,4.58,4.58,4.58,4.58,1982,2
20200102,AMZA,12:15,4.58,4.5850,4.58,4.5850,4.58009,5597,8
20200102,AMZA,12:16,4.5850,4.5850,4.5850,4.5850,4.585,1900,19
20200102,AMZA,12:31,4.59,4.5950,4.59,4.5950,4.59013,11675,22
20200102,AMZA,12:36,4.5950,4.5950,4.5950,4.5950,4.595,1100,9
20200102,AMZA,12:38,4.59,4.59,4.58,4.5850,4.58854,3768,12
20200102,AMZA,12:44,4.5850,4.5850,4.5850,4.5850,4.585,400,4
20200102,AMZA,12:48,4.5850,4.5850,4.58,4.58,4.58147,10232,14
20200102,AMZA,12:49,4.58,4.58,4.58,4.58,4.58,5701,7
20200102,AMZA,12:50,4.58,4.58,4.58,4.58,4.58,300,1
20200102,AMZA,12:59,4.58,4.58,4.58,4.58,4.58,5680,7
20200102,AMZA,13:07,4.58,4.58,4.58,4.58,4.58,100,1
20200102,AMZA,13:19,4.59,4.59,4.59,4.59,4.59,199,1
20200102,AMZA,13:27,4.59,4.59,4.59,4.59,4.59,100,1
20200102,AMZA,13:35,4.59,4.5950,4.59,4.5950,4.5901,8951,16
20200102,AMZA,13:48,4.60,4.60,4.60,4.60,4.60,10287,11
20200102,AMZA,13:55,4.60,4.60,4.60,4.60,4.60,9671,15
20200102,AMZA,13:57,4.61,4.62,4.61,4.62,4.61057,5300,7
20200102,AMZA,13:59,4.61,4.61,4.6050,4.61,4.60926,11260,42
20200102,AMZA,14:09,4.6050,4.6050,4.6050,4.6050,4.605,2082,2
20200102,AMZA,14:14,4.6050,4.6050,4.6050,4.6050,4.605,518,1
20200102,AMZA,14:21,4.60,4.60,4.60,4.60,4.60,100,1
20200102,AMZA,14:35,4.61,4.61,4.61,4.61,4.61,100,1
20200102,AMZA,14:38,4.6050,4.6050,4.6050,4.6050,4.605,200,2
20200102,AMZA,14:49,4.61,4.61,4.61,4.61,4.61,10054,21
20200102,AMZA,14:54,4.61,4.61,4.61,4.61,4.61,100,1
20200102,AMZA,15:02,4.61,4.61,4.61,4.61,4.61,300,1
20200102,AMZA,15:06,4.61,4.61,4.61,4.61,4.61,1200,2
20200102,AMZA,15:07,4.61,4.61,4.61,4.61,4.61,100,1
20200102,AMZA,15:15,4.62,4.62,4.62,4.62,4.62,698,3
20200102,AMZA,15:18,4.62,4.62,4.62,4.62,4.62,1000,2
20200102,AMZA,15:20,4.62,4.62,4.62,4.62,4.62,1200,5
20200102,AMZA,15:22,4.62,4.62,4.62,4.62,4.62,8229,21
20200102,AMZA,15:31,4.63,4.63,4.63,4.63,4.63,400,2
20200102,AMZA,15:32,4.63,4.63,4.63,4.63,4.63,153,1
20200102,AMZA,15:37,4.63,4.6350,4.63,4.6350,4.63012,4000,5
20200102,AMZA,15:40,4.6350,4.6350,4.6350,4.6350,4.635,300,3
20200102,AMZA,15:41,4.63,4.6350,4.6250,4.6250,4.63008,13295,26
