Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ANAT,09:30,118.15,118.15,118.15,118.15,118.15,189,1
20200102,ANAT,09:35,118.19,118.25,118.19,118.25,118.22,200,2
20200102,ANAT,09:36,118.22,118.22,118.22,118.22,118.22,500,1
20200102,ANAT,09:42,118.21,118.21,118.21,118.21,118.21,100,1
20200102,ANAT,09:50,118.26,118.26,118.21,118.21,118.235,400,4
20200102,ANAT,10:00,118.02,118.02,118.02,118.02,118.02,300,3
20200102,ANAT,10:07,117.52,117.52,117.52,117.52,117.52,100,1
20200102,ANAT,10:18,117.76,117.77,117.76,117.77,117.765,200,2
20200102,ANAT,10:24,117.72,117.72,117.42,117.58,117.61538,1950,12
20200102,ANAT,10:39,117.56,117.56,117.56,117.56,117.56,100,1
20200102,ANAT,10:42,117.68,117.68,117.68,117.68,117.68,200,2
20200102,ANAT,10:49,117.55,117.55,117.55,117.55,117.55,300,3
20200102,ANAT,10:51,117.3850,117.3850,117.3850,117.3850,117.385,100,1
20200102,ANAT,10:52,117.46,117.47,117.46,117.47,117.465,200,2
20200102,ANAT,10:55,117.56,117.56,117.56,117.56,117.56,100,1
20200102,ANAT,11:30,117.58,117.58,117.57,117.58,117.57667,300,3
20200102,ANAT,11:33,117.35,117.35,117.35,117.35,117.35,100,1
20200102,ANAT,11:36,117.50,117.50,117.50,117.50,117.50,100,1
20200102,ANAT,11:37,117.50,117.50,117.50,117.50,117.50,102,1
20200102,ANAT,11:41,117.48,117.50,117.48,117.50,117.49,200,2
20200102,ANAT,12:00,117.34,117.34,117.34,117.34,117.34,100,1
20200102,ANAT,12:08,117.58,117.58,117.57,117.57,117.575,400,4
20200102,ANAT,13:37,117.39,117.39,117.39,117.39,117.39,100,1
20200102,ANAT,13:44,117.09,117.09,117.09,117.09,117.09,100,1
20200102,ANAT,13:48,117.22,117.22,117.22,117.22,117.22,100,1
20200102,ANAT,14:26,117.21,117.21,117.21,117.21,117.21,100,1
20200102,ANAT,14:39,117.22,117.22,117.19,117.19,117.205,200,2
20200102,ANAT,14:47,117.06,117.06,117.06,117.06,117.06,100,1
20200102,ANAT,15:26,117.04,117.05,116.81,116.81,116.92331,617,6
20200102,ANAT,15:33,117.17,117.17,117.16,117.16,117.165,200,2
20200102,ANAT,15:37,116.79,116.79,116.79,116.79,116.79,200,2
20200102,ANAT,15:53,116.65,116.65,116.42,116.42,116.535,200,2
20200102,ANAT,15:55,116.67,116.67,116.67,116.67,116.67,100,1
20200102,ANAT,15:57,116.32,116.32,116.32,116.32,116.32,100,1
20200102,ANAT,15:58,116.44,116.92,116.44,116.70,116.69143,700,7
20200102,ANAT,15:59,116.73,117.41,116.52,117.41,117.01029,657,5
20200102,ANAT,16:00,117.49,117.49,117.49,117.49,117.49,5939,1
