Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ANGI,09:30,8.50,8.50,8.50,8.50,8.50,43751,1
20200102,ANGI,09:32,8.50,8.57,8.50,8.55,8.5287,1655,14
20200102,ANGI,09:33,8.57,8.59,8.57,8.59,8.58696,2300,12
20200102,ANGI,09:35,8.61,8.61,8.61,8.61,8.61,100,1
20200102,ANGI,09:36,8.62,8.63,8.61,8.63,8.61515,1360,12
20200102,ANGI,09:37,8.63,8.70,8.63,8.66,8.68024,28982,141
20200102,ANGI,09:38,8.67,8.71,8.67,8.71,8.685,1000,10
20200102,ANGI,09:39,8.70,8.70,8.68,8.68,8.69931,5100,28
20200102,ANGI,09:40,8.69,8.70,8.63,8.64,8.67277,9027,59
20200102,ANGI,09:41,8.64,8.64,8.62,8.62,8.63555,6850,40
20200102,ANGI,09:42,8.63,8.63,8.63,8.63,8.63,200,2
20200102,ANGI,09:43,8.63,8.70,8.63,8.70,8.65667,900,9
20200102,ANGI,09:44,8.70,8.70,8.6950,8.70,8.69958,1200,12
20200102,ANGI,09:45,8.71,8.71,8.66,8.66,8.69219,4800,25
20200102,ANGI,09:46,8.6650,8.67,8.66,8.67,8.66529,571,5
20200102,ANGI,09:47,8.6650,8.68,8.6650,8.67,8.67083,6661,50
20200102,ANGI,09:48,8.67,8.6750,8.67,8.6750,8.67204,245,2
20200102,ANGI,09:49,8.6750,8.6750,8.63,8.6450,8.65844,21506,96
20200102,ANGI,09:50,8.64,8.6450,8.58,8.58,8.62146,7997,45
20200102,ANGI,09:51,8.58,8.58,8.58,8.58,8.58,999,8
20200102,ANGI,09:52,8.5850,8.62,8.58,8.60,8.59854,18895,118
20200102,ANGI,09:53,8.60,8.61,8.60,8.61,8.60778,1802,12
20200102,ANGI,09:54,8.61,8.61,8.61,8.61,8.61,200,2
20200102,ANGI,09:55,8.61,8.62,8.61,8.61,8.61861,4944,35
20200102,ANGI,09:56,8.61,8.62,8.61,8.62,8.61381,2363,18
20200102,ANGI,09:57,8.62,8.62,8.61,8.62,8.61457,2300,17
20200102,ANGI,09:58,8.61,8.62,8.61,8.6150,8.61625,400,4
20200102,ANGI,09:59,8.62,8.62,8.6150,8.6150,8.61867,2622,26
20200102,ANGI,10:00,8.62,8.6350,8.62,8.62,8.62429,15393,101
20200102,ANGI,10:01,8.6250,8.6250,8.59,8.60,8.60662,8173,48
20200102,ANGI,10:02,8.61,8.61,8.60,8.60,8.60465,2042,12
20200102,ANGI,10:03,8.61,8.61,8.61,8.61,8.61,500,3
20200102,ANGI,10:04,8.60,8.61,8.60,8.61,8.60667,600,5
20200102,ANGI,10:05,8.6050,8.62,8.60,8.61,8.6074,11422,84
20200102,ANGI,10:06,8.6050,8.62,8.6050,8.62,8.61482,12645,83
20200102,ANGI,10:07,8.62,8.65,8.61,8.65,8.62531,12781,93
20200102,ANGI,10:08,8.65,8.65,8.61,8.62,8.62858,25140,140
20200102,ANGI,10:09,8.62,8.62,8.60,8.6050,8.61171,3800,27
20200102,ANGI,10:10,8.61,8.6250,8.60,8.61,8.61278,12777,85
20200102,ANGI,10:11,8.61,8.6350,8.61,8.63,8.62569,5536,45
20200102,ANGI,10:12,8.63,8.63,8.62,8.62,8.625,6600,47
20200102,ANGI,10:13,8.63,8.6450,8.6250,8.64,8.63458,5569,43
20200102,ANGI,10:14,8.65,8.65,8.64,8.65,8.64824,10200,75
20200102,ANGI,10:15,8.65,8.65,8.64,8.65,8.64738,4013,34
20200102,ANGI,10:16,8.65,8.65,8.64,8.64,8.64542,1200,10
20200102,ANGI,10:17,8.65,8.65,8.64,8.65,8.64953,8491,63
20200102,ANGI,10:18,8.66,8.66,8.61,8.61,8.63835,19115,109
20200102,ANGI,10:19,8.6150,8.63,8.6150,8.63,8.62229,5452,33
20200102,ANGI,10:20,8.6350,8.6550,8.63,8.65,8.64471,7067,55
20200102,ANGI,10:21,8.65,8.65,8.64,8.64,8.64636,3212,23
20200102,ANGI,10:22,8.65,8.67,8.6450,8.67,8.65997,3058,26
20200102,ANGI,10:23,8.67,8.67,8.65,8.6550,8.66024,8266,62
20200102,ANGI,10:24,8.6550,8.69,8.65,8.69,8.66561,3923,33
20200102,ANGI,10:25,8.69,8.6950,8.67,8.68,8.68701,7030,33
20200102,ANGI,10:27,8.6750,8.68,8.67,8.67,8.67175,1141,11
20200102,ANGI,10:28,8.68,8.68,8.67,8.68,8.6787,2300,20
20200102,ANGI,10:29,8.68,8.68,8.67,8.68,8.67621,2900,29
20200102,ANGI,10:30,8.68,8.68,8.67,8.68,8.67409,1100,11
20200102,ANGI,10:31,8.68,8.68,8.67,8.67,8.67667,300,3
20200102,ANGI,10:32,8.68,8.68,8.65,8.6550,8.6633,7086,52
20200102,ANGI,10:33,8.65,8.65,8.65,8.65,8.65,200,2
20200102,ANGI,10:34,8.65,8.66,8.65,8.65,8.65333,300,3
20200102,ANGI,10:35,8.65,8.65,8.65,8.65,8.65,200,2
20200102,ANGI,10:36,8.6550,8.6550,8.64,8.64,8.64741,2900,22
20200102,ANGI,10:37,8.64,8.6450,8.64,8.6450,8.64227,1100,10
20200102,ANGI,10:38,8.65,8.65,8.65,8.65,8.65,100,1
20200102,ANGI,10:39,8.6450,8.6450,8.6450,8.6450,8.645,100,1
20200102,ANGI,10:40,8.64,8.65,8.64,8.65,8.64667,300,3
20200102,ANGI,10:41,8.64,8.66,8.64,8.66,8.64972,10628,75
20200102,ANGI,10:42,8.66,8.6650,8.66,8.6650,8.66125,1200,9
20200102,ANGI,10:43,8.6650,8.6650,8.66,8.66,8.66444,1800,4
20200102,ANGI,10:44,8.67,8.68,8.67,8.68,8.67391,3200,25
20200102,ANGI,10:45,8.6850,8.70,8.6850,8.70,8.6924,1119,10
20200102,ANGI,10:46,8.7050,8.74,8.7050,8.74,8.72055,2383,18
20200102,ANGI,10:47,8.74,8.75,8.74,8.75,8.745,400,4
20200102,ANGI,10:48,8.7450,8.75,8.73,8.73,8.74012,4243,22
20200102,ANGI,10:49,8.72,8.73,8.72,8.73,8.72234,3205,25
20200102,ANGI,10:51,8.7250,8.75,8.7250,8.73,8.7378,4775,32
20200102,ANGI,10:52,8.73,8.73,8.73,8.73,8.73,200,2
20200102,ANGI,10:53,8.7350,8.74,8.7350,8.74,8.7389,4100,28
20200102,ANGI,10:54,8.73,8.73,8.72,8.72,8.72759,2900,20
20200102,ANGI,10:55,8.71,8.71,8.70,8.71,8.70514,8601,58
20200102,ANGI,10:56,8.71,8.72,8.71,8.72,8.71183,545,3
20200102,ANGI,10:58,8.71,8.72,8.71,8.72,8.7111,913,8
20200102,ANGI,10:59,8.71,8.71,8.71,8.71,8.71,852,8
20200102,ANGI,11:01,8.71,8.71,8.71,8.71,8.71,100,1
20200102,ANGI,11:02,8.70,8.70,8.70,8.70,8.70,2629,19
20200102,ANGI,11:03,8.70,8.70,8.70,8.70,8.70,1750,12
20200102,ANGI,11:04,8.7050,8.71,8.70,8.70,8.70512,8300,20
20200102,ANGI,11:05,8.70,8.70,8.70,8.70,8.70,977,9
20200102,ANGI,11:07,8.70,8.70,8.70,8.70,8.70,1535,11
20200102,ANGI,11:08,8.70,8.71,8.70,8.71,8.70249,1607,13
20200102,ANGI,11:09,8.71,8.71,8.70,8.70,8.70143,1400,14
20200102,ANGI,11:10,8.70,8.71,8.70,8.70,8.70381,3150,28
20200102,ANGI,11:12,8.71,8.71,8.71,8.71,8.71,799,7
20200102,ANGI,11:13,8.71,8.75,8.71,8.7450,8.71724,14082,94
20200102,ANGI,11:14,8.74,8.74,8.73,8.73,8.73977,4297,21
20200102,ANGI,11:15,8.74,8.75,8.74,8.7450,8.74857,2100,13
20200102,ANGI,11:16,8.7450,8.75,8.73,8.7450,8.7402,18232,99
20200102,ANGI,11:17,8.7450,8.7450,8.74,8.7450,8.74262,1460,10
20200102,ANGI,11:18,8.7450,8.7450,8.72,8.72,8.73504,10128,55
20200102,ANGI,11:21,8.72,8.72,8.72,8.72,8.72,1835,14
