Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ANTM,09:30,302.67,302.67,302.67,302.67,302.67,13943,1
20200102,ANTM,09:31,302.57,302.57,302.57,302.57,302.57,100,1
20200102,ANTM,09:32,302.40,302.44,301.52,301.52,302.03247,1432,13
20200102,ANTM,09:33,301.57,301.96,301.54,301.91,301.67889,1728,17
20200102,ANTM,09:34,302.58,302.59,301.98,302.23,302.46381,809,7
20200102,ANTM,09:35,301.96,302.06,301.38,301.38,301.725,1500,15
20200102,ANTM,09:36,301.02,301.02,300.59,300.64,300.8175,400,4
20200102,ANTM,09:37,300.61,301.21,300.37,301.0250,300.95745,2890,26
20200102,ANTM,09:38,301.0250,301.20,300.78,300.78,300.99768,2400,15
20200102,ANTM,09:39,300.85,301.02,300.60,300.91,300.83714,700,6
20200102,ANTM,09:40,300.99,301.64,300.99,301.18,301.18253,3284,31
20200102,ANTM,09:41,300.8450,300.90,300.8450,300.87,300.86619,1261,5
20200102,ANTM,09:42,300.87,300.90,300.68,300.68,300.7825,400,4
20200102,ANTM,09:43,300.99,301.00,300.84,300.89,300.9236,2269,22
20200102,ANTM,09:44,300.98,300.98,300.84,300.89,300.90818,1100,11
20200102,ANTM,09:45,300.85,301.31,300.85,301.31,301.04917,1200,12
20200102,ANTM,09:46,301.5350,301.80,301.00,301.01,301.25895,3800,28
20200102,ANTM,09:47,301.06,301.22,300.78,300.78,301.10153,2029,20
20200102,ANTM,09:48,300.73,300.73,300.63,300.63,300.7012,382,3
20200102,ANTM,09:49,300.50,300.58,300.23,300.2750,300.42779,1204,12
20200102,ANTM,09:50,300.26,300.55,300.26,300.55,300.44667,300,3
20200102,ANTM,09:51,300.41,300.4550,300.19,300.36,300.36958,1200,11
20200102,ANTM,09:52,300.4650,300.4650,300.4650,300.4650,300.465,470,3
20200102,ANTM,09:53,300.4650,300.52,300.35,300.49,300.43501,1628,10
20200102,ANTM,09:54,300.62,300.63,300.62,300.63,300.62333,300,3
20200102,ANTM,09:55,300.61,300.62,300.61,300.62,300.615,200,2
20200102,ANTM,09:56,300.86,300.90,300.86,300.86,300.86503,795,7
20200102,ANTM,09:57,301.03,301.06,300.82,301.03,300.98618,1004,10
20200102,ANTM,09:58,300.85,300.97,300.64,300.8250,300.7705,1000,10
20200102,ANTM,09:59,300.96,300.98,300.86,300.86,300.92531,1304,13
20200102,ANTM,10:00,300.95,300.97,300.62,300.62,300.76206,5393,51
