Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AOBC,07:00,9.28,9.28,9.28,9.28,9.28,150,1
20200102,AOBC,09:30,9.38,9.38,9.37,9.37,9.37962,8010,2
20200102,AOBC,09:32,9.35,9.35,9.33,9.33,9.33286,1400,13
20200102,AOBC,09:33,9.32,9.34,9.32,9.34,9.32583,951,7
20200102,AOBC,09:34,9.33,9.34,9.33,9.33,9.33278,900,8
20200102,AOBC,09:35,9.3150,9.32,9.3150,9.32,9.3175,200,2
20200102,AOBC,09:36,9.3150,9.3150,9.3150,9.3150,9.315,200,2
20200102,AOBC,09:37,9.32,9.3250,9.30,9.3050,9.30718,2160,13
20200102,AOBC,09:38,9.30,9.30,9.29,9.30,9.2975,1600,16
20200102,AOBC,09:39,9.31,9.31,9.31,9.31,9.31,200,2
20200102,AOBC,09:40,9.31,9.31,9.29,9.30,9.29859,3377,24
20200102,AOBC,09:41,9.30,9.30,9.29,9.30,9.29667,300,3
20200102,AOBC,09:43,9.29,9.29,9.29,9.29,9.29,500,5
20200102,AOBC,09:44,9.30,9.30,9.30,9.30,9.30,100,1
20200102,AOBC,09:45,9.29,9.29,9.26,9.26,9.2724,1613,14
20200102,AOBC,09:46,9.26,9.26,9.26,9.26,9.26,314,3
20200102,AOBC,09:47,9.25,9.25,9.25,9.25,9.25,200,2
20200102,AOBC,09:48,9.24,9.24,9.24,9.24,9.24,200,2
20200102,AOBC,09:49,9.23,9.23,9.23,9.23,9.23,100,1
20200102,AOBC,09:50,9.23,9.23,9.23,9.23,9.23,300,2
20200102,AOBC,09:51,9.2350,9.2350,9.23,9.23,9.23167,300,3
20200102,AOBC,09:52,9.23,9.2350,9.23,9.23,9.23098,508,5
20200102,AOBC,09:53,9.23,9.23,9.22,9.22,9.225,400,4
20200102,AOBC,09:54,9.22,9.24,9.22,9.24,9.23563,1602,12
20200102,AOBC,09:55,9.24,9.25,9.24,9.24,9.24238,420,4
20200102,AOBC,09:56,9.25,9.25,9.25,9.25,9.25,400,3
20200102,AOBC,09:58,9.24,9.24,9.21,9.21,9.22005,2588,20
20200102,AOBC,09:59,9.22,9.22,9.22,9.22,9.22,800,7
20200102,AOBC,10:00,9.22,9.22,9.22,9.22,9.22,1400,11
