Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AOS,09:30,47.91,47.91,47.73,47.77,47.90536,13355,4
20200102,AOS,09:31,47.76,47.76,47.76,47.76,47.76,100,1
20200102,AOS,09:32,47.72,47.80,47.72,47.80,47.74,700,7
20200102,AOS,09:33,47.81,47.86,47.81,47.86,47.83519,1048,10
20200102,AOS,09:34,47.88,47.88,47.84,47.86,47.85765,340,3
20200102,AOS,09:35,47.83,47.93,47.83,47.93,47.86358,1091,9
20200102,AOS,09:36,47.94,47.94,47.88,47.9250,47.91956,1101,10
20200102,AOS,09:37,47.94,47.94,47.87,47.90,47.91,600,6
20200102,AOS,09:38,47.86,47.97,47.86,47.92,47.89888,707,7
20200102,AOS,09:39,47.89,47.96,47.88,47.96,47.91905,1050,9
20200102,AOS,09:40,47.93,47.93,47.87,47.87,47.902,500,5
20200102,AOS,09:41,47.87,47.87,47.84,47.84,47.8475,400,4
20200102,AOS,09:42,47.84,47.86,47.84,47.86,47.85,200,2
20200102,AOS,09:43,47.88,47.91,47.88,47.91,47.88692,1300,13
20200102,AOS,09:44,47.88,47.93,47.88,47.93,47.905,200,2
20200102,AOS,09:45,47.9150,47.9150,47.9150,47.9150,47.915,100,1
20200102,AOS,09:46,47.91,47.91,47.89,47.89,47.90375,800,7
20200102,AOS,09:47,47.87,47.87,47.82,47.84,47.844,500,5
20200102,AOS,09:48,47.85,47.85,47.83,47.83,47.84,400,3
20200102,AOS,09:49,47.80,47.80,47.80,47.80,47.80,100,1
20200102,AOS,09:50,47.74,47.74,47.67,47.67,47.71468,752,6
20200102,AOS,09:51,47.69,47.69,47.68,47.68,47.685,600,6
20200102,AOS,09:52,47.70,47.72,47.68,47.69,47.7025,1200,10
20200102,AOS,09:53,47.67,47.67,47.60,47.62,47.64314,956,7
20200102,AOS,09:54,47.62,47.72,47.62,47.72,47.6568,1076,10
20200102,AOS,09:55,47.69,47.69,47.69,47.69,47.69,200,1
20200102,AOS,09:56,47.71,47.72,47.71,47.72,47.71255,392,3
20200102,AOS,09:57,47.72,47.72,47.71,47.71,47.71667,600,5
20200102,AOS,09:58,47.72,47.72,47.71,47.71,47.7125,400,3
20200102,AOS,10:00,47.68,47.6850,47.65,47.6850,47.6755,1000,10
20200102,AOS,10:01,47.68,47.69,47.68,47.69,47.685,200,2
20200102,AOS,10:02,47.67,47.69,47.65,47.65,47.67179,714,7
20200102,AOS,10:03,47.66,47.66,47.61,47.62,47.64392,1430,14
20200102,AOS,10:04,47.61,47.61,47.61,47.61,47.61,100,1
20200102,AOS,10:05,47.55,47.59,47.55,47.59,47.57667,600,6
20200102,AOS,10:07,47.61,47.61,47.60,47.60,47.6059,731,7
20200102,AOS,10:08,47.59,47.59,47.55,47.55,47.57,400,4
20200102,AOS,10:09,47.58,47.59,47.56,47.56,47.57623,1325,10
20200102,AOS,10:10,47.54,47.54,47.51,47.51,47.528,500,4
20200102,AOS,10:11,47.50,47.52,47.50,47.50,47.5141,1017,10
20200102,AOS,10:12,47.45,47.45,47.38,47.41,47.40841,2244,20
20200102,AOS,10:13,47.44,47.44,47.42,47.42,47.42667,300,3
20200102,AOS,10:14,47.42,47.43,47.42,47.42,47.42511,1928,12
20200102,AOS,10:15,47.39,47.39,47.36,47.36,47.36333,900,5
20200102,AOS,10:16,47.38,47.40,47.36,47.36,47.38258,1955,17
20200102,AOS,10:17,47.34,47.36,47.31,47.36,47.33323,2215,22
20200102,AOS,10:18,47.38,47.41,47.37,47.41,47.39387,1809,18
20200102,AOS,10:19,47.43,47.43,47.40,47.40,47.4257,697,5
20200102,AOS,10:21,47.40,47.4350,47.40,47.4350,47.40866,834,6
20200102,AOS,10:22,47.43,47.43,47.41,47.41,47.42183,551,5
20200102,AOS,10:23,47.39,47.41,47.36,47.40,47.38217,3844,30
20200102,AOS,10:24,47.40,47.41,47.40,47.41,47.40139,1438,11
20200102,AOS,10:25,47.39,47.39,47.39,47.39,47.39,600,5
20200102,AOS,10:27,47.35,47.38,47.35,47.35,47.36385,2815,23
20200102,AOS,10:29,47.35,47.35,47.34,47.34,47.345,200,2
20200102,AOS,10:30,47.34,47.34,47.31,47.31,47.33645,845,5
20200102,AOS,10:32,47.30,47.32,47.30,47.31,47.31128,1567,13
20200102,AOS,10:33,47.31,47.32,47.30,47.32,47.31089,768,7
20200102,AOS,10:34,47.32,47.33,47.32,47.32,47.32215,1861,17
20200102,AOS,10:35,47.32,47.32,47.28,47.28,47.30613,1291,10
20200102,AOS,10:36,47.30,47.33,47.30,47.33,47.30933,2379,19
20200102,AOS,10:37,47.33,47.37,47.33,47.33,47.34867,3199,22
20200102,AOS,10:38,47.34,47.34,47.32,47.32,47.3313,1262,10
20200102,AOS,10:39,47.31,47.35,47.31,47.35,47.33571,700,7
20200102,AOS,10:40,47.33,47.33,47.33,47.33,47.33,300,3
20200102,AOS,10:41,47.34,47.37,47.34,47.37,47.35654,966,8
20200102,AOS,10:43,47.39,47.40,47.39,47.40,47.3927,370,3
20200102,AOS,10:44,47.40,47.41,47.40,47.41,47.40273,1098,9
20200102,AOS,10:45,47.4250,47.43,47.41,47.41,47.42,810,5
20200102,AOS,10:46,47.40,47.40,47.3850,47.40,47.39562,1530,11
20200102,AOS,10:47,47.41,47.43,47.40,47.40,47.41715,1245,8
