Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AOSL,09:30,13.76,13.76,13.76,13.76,13.76,1322,1
20200102,AOSL,09:35,13.77,13.78,13.76,13.76,13.77167,600,6
20200102,AOSL,09:36,13.7050,13.7050,13.7050,13.7050,13.705,100,1
20200102,AOSL,09:37,13.69,13.70,13.64,13.68,13.6775,400,4
20200102,AOSL,09:39,13.75,13.76,13.69,13.69,13.73,500,5
20200102,AOSL,09:40,13.72,13.72,13.72,13.72,13.72,100,1
20200102,AOSL,09:41,13.69,13.69,13.65,13.65,13.66022,881,6
20200102,AOSL,09:44,13.67,13.67,13.66,13.66,13.6625,400,4
20200102,AOSL,09:45,13.63,13.63,13.63,13.63,13.63,100,1
20200102,AOSL,09:50,13.62,13.62,13.58,13.58,13.60617,723,6
20200102,AOSL,09:51,13.56,13.56,13.55,13.55,13.555,200,2
20200102,AOSL,10:03,13.58,13.60,13.58,13.59,13.59,600,6
20200102,AOSL,10:11,13.60,13.60,13.58,13.58,13.58944,1787,6
20200102,AOSL,10:12,13.55,13.55,13.52,13.52,13.54,300,3
20200102,AOSL,10:15,13.51,13.51,13.51,13.51,13.51,200,2
20200102,AOSL,10:17,13.52,13.53,13.52,13.53,13.525,200,2
20200102,AOSL,10:18,13.52,13.52,13.50,13.50,13.515,400,4
20200102,AOSL,10:34,13.5650,13.5650,13.5650,13.5650,13.565,100,1
20200102,AOSL,10:35,13.56,13.56,13.56,13.56,13.56,100,1
20200102,AOSL,10:36,13.59,13.59,13.59,13.59,13.59,100,1
20200102,AOSL,10:38,13.60,13.60,13.59,13.59,13.592,500,5
20200102,AOSL,10:39,13.55,13.55,13.55,13.55,13.55,100,1
20200102,AOSL,10:49,13.53,13.53,13.53,13.53,13.53,100,1
20200102,AOSL,10:55,13.54,13.54,13.54,13.54,13.54,300,3
20200102,AOSL,11:01,13.49,13.49,13.48,13.49,13.485,400,4
20200102,AOSL,11:06,13.46,13.46,13.45,13.45,13.45333,300,3
20200102,AOSL,11:09,13.4550,13.4550,13.4550,13.4550,13.455,100,1
20200102,AOSL,11:13,13.44,13.45,13.44,13.45,13.44196,509,4
20200102,AOSL,11:23,13.44,13.44,13.41,13.41,13.43718,1065,4
20200102,AOSL,11:26,13.42,13.42,13.42,13.42,13.42,100,1
20200102,AOSL,11:29,13.42,13.42,13.42,13.42,13.42,100,1
20200102,AOSL,11:34,13.43,13.43,13.43,13.43,13.43,100,1
20200102,AOSL,12:10,13.50,13.50,13.50,13.50,13.50,100,1
20200102,AOSL,12:11,13.48,13.48,13.48,13.48,13.48,100,1
20200102,AOSL,12:15,13.49,13.49,13.49,13.49,13.49,100,1
20200102,AOSL,12:21,13.51,13.51,13.51,13.51,13.51,100,1
20200102,AOSL,12:36,13.52,13.52,13.52,13.52,13.52,400,2
20200102,AOSL,12:38,13.53,13.58,13.53,13.58,13.5546,748,7
20200102,AOSL,12:39,13.58,13.58,13.58,13.58,13.58,100,1
20200102,AOSL,12:45,13.58,13.58,13.58,13.58,13.58,100,1
20200102,AOSL,12:49,13.55,13.55,13.55,13.55,13.55,100,1
20200102,AOSL,12:53,13.56,13.56,13.56,13.56,13.56,100,1
20200102,AOSL,12:57,13.56,13.56,13.56,13.56,13.56,200,2
20200102,AOSL,12:58,13.56,13.56,13.56,13.56,13.56,600,1
20200102,AOSL,13:03,13.55,13.55,13.55,13.55,13.55,100,1
20200102,AOSL,13:12,13.54,13.54,13.54,13.54,13.54,100,1
20200102,AOSL,13:14,13.54,13.54,13.53,13.53,13.535,200,2
20200102,AOSL,13:32,13.50,13.50,13.50,13.50,13.50,200,2
20200102,AOSL,13:36,13.52,13.52,13.52,13.52,13.52,100,1
20200102,AOSL,13:38,13.52,13.52,13.52,13.52,13.52,100,1
20200102,AOSL,13:39,13.51,13.51,13.49,13.49,13.50,200,2
