Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,APA,05:41,25.63,25.63,25.63,25.63,25.63,200,1
20200102,APA,05:52,25.29,25.29,25.29,25.29,25.29,199,1
20200102,APA,07:00,25.51,25.51,25.51,25.51,25.51,344,3
20200102,APA,07:15,25.72,25.72,25.69,25.70,25.71213,1175,6
20200102,APA,08:01,25.70,25.70,25.70,25.70,25.70,301,1
20200102,APA,08:12,25.74,25.74,25.74,25.74,25.74,300,2
20200102,APA,08:13,25.84,25.84,25.84,25.84,25.84,138,1
20200102,APA,09:30,25.70,25.7350,25.70,25.7350,25.70007,46970,2
20200102,APA,09:31,25.77,25.8550,25.77,25.8550,25.81658,4815,35
20200102,APA,09:32,25.84,25.91,25.83,25.83,25.87614,2309,20
20200102,APA,09:33,25.78,25.79,25.76,25.77,25.77927,1372,11
20200102,APA,09:34,25.76,25.77,25.68,25.68,25.74061,3258,19
20200102,APA,09:35,25.61,25.66,25.53,25.62,25.58418,7664,55
20200102,APA,09:36,25.62,25.63,25.58,25.61,25.6032,4802,35
20200102,APA,09:37,25.59,25.67,25.59,25.60,25.61921,3152,29
20200102,APA,09:38,25.66,25.67,25.62,25.62,25.65308,1300,13
20200102,APA,09:39,25.6350,25.66,25.58,25.62,25.62949,3661,34
20200102,APA,09:40,25.62,25.64,25.59,25.61,25.61484,3641,28
20200102,APA,09:41,25.6150,25.6150,25.52,25.54,25.5483,3960,20
20200102,APA,09:42,25.54,25.56,25.48,25.49,25.52288,3825,32
20200102,APA,09:43,25.48,25.49,25.46,25.46,25.47818,1099,8
20200102,APA,09:44,25.46,25.48,25.45,25.46,25.46718,7421,52
20200102,APA,09:45,25.43,25.45,25.39,25.43,25.42567,8769,61
20200102,APA,09:46,25.42,25.42,25.3950,25.40,25.40812,800,8
20200102,APA,09:47,25.40,25.40,25.35,25.35,25.37837,1227,11
20200102,APA,09:48,25.34,25.35,25.31,25.32,25.33895,5417,32
20200102,APA,09:49,25.33,25.33,25.30,25.30,25.32509,2849,23
20200102,APA,09:50,25.25,25.27,25.2150,25.27,25.23682,5121,37
20200102,APA,09:51,25.25,25.26,25.24,25.25,25.24881,2512,23
20200102,APA,09:52,25.2350,25.25,25.21,25.24,25.23784,3930,33
20200102,APA,09:53,25.24,25.24,25.18,25.20,25.19737,5122,43
20200102,APA,09:54,25.20,25.26,25.20,25.25,25.24436,6771,53
20200102,APA,09:55,25.25,25.25,25.23,25.2450,25.2459,10952,80
20200102,APA,09:56,25.25,25.25,25.19,25.2150,25.21275,19246,114
20200102,APA,09:57,25.22,25.31,25.2150,25.30,25.2605,8327,50
20200102,APA,09:58,25.31,25.38,25.31,25.36,25.3536,4460,27
20200102,APA,09:59,25.37,25.45,25.37,25.45,25.40355,1204,8
20200102,APA,10:00,25.45,25.49,25.44,25.44,25.4678,5690,44
20200102,APA,10:01,25.44,25.46,25.40,25.40,25.42746,1972,15
20200102,APA,10:02,25.40,25.42,25.39,25.39,25.40341,1760,16
20200102,APA,10:03,25.37,25.39,25.37,25.39,25.38156,1284,12
20200102,APA,10:04,25.40,25.40,25.38,25.38,25.39294,850,8
20200102,APA,10:05,25.40,25.40,25.37,25.39,25.38474,1890,15
20200102,APA,10:06,25.40,25.40,25.36,25.40,25.38792,2290,16
20200102,APA,10:07,25.41,25.45,25.41,25.43,25.43222,900,9
20200102,APA,10:08,25.43,25.47,25.43,25.45,25.44541,762,7
20200102,APA,10:09,25.47,25.49,25.46,25.46,25.47445,3115,27
20200102,APA,10:10,25.45,25.47,25.45,25.46,25.45472,6245,19
20200102,APA,10:11,25.45,25.45,25.39,25.39,25.43406,3727,24
20200102,APA,10:12,25.37,25.3850,25.37,25.37,25.37269,1300,9
20200102,APA,10:13,25.3650,25.3650,25.35,25.36,25.35957,1155,10
20200102,APA,10:14,25.35,25.35,25.3250,25.3250,25.33952,1050,9
20200102,APA,10:15,25.3250,25.33,25.28,25.2950,25.31007,3320,27
20200102,APA,10:16,25.3150,25.36,25.3150,25.36,25.33566,3090,26
20200102,APA,10:17,25.37,25.39,25.37,25.39,25.37893,950,8
20200102,APA,10:18,25.40,25.40,25.3550,25.36,25.3747,3482,30
20200102,APA,10:19,25.38,25.42,25.38,25.42,25.4011,3088,21
20200102,APA,10:20,25.42,25.43,25.40,25.43,25.41256,3104,26
20200102,APA,10:21,25.42,25.43,25.40,25.41,25.40543,6176,47
20200102,APA,10:22,25.40,25.40,25.38,25.38,25.39133,1500,12
20200102,APA,10:23,25.37,25.37,25.34,25.35,25.34884,3060,28
20200102,APA,10:24,25.34,25.34,25.30,25.34,25.32603,2015,19
20200102,APA,10:25,25.34,25.3450,25.34,25.34,25.341,500,5
20200102,APA,10:26,25.32,25.33,25.32,25.33,25.32417,600,6
20200102,APA,10:27,25.3250,25.3250,25.30,25.32,25.31658,439,3
20200102,APA,10:28,25.3250,25.35,25.32,25.32,25.33968,4189,32
