Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,APHA,05:05,5.20,5.20,5.20,5.20,5.20,987,2
20200102,APHA,07:00,5.30,5.30,5.30,5.30,5.30,110,1
20200102,APHA,07:10,5.26,5.26,5.25,5.25,5.25083,3599,5
20200102,APHA,07:11,5.34,5.35,5.34,5.35,5.3411,905,3
20200102,APHA,07:27,5.30,5.30,5.30,5.30,5.30,787,1
20200102,APHA,08:00,5.30,5.30,5.30,5.30,5.30,150,1
20200102,APHA,08:12,5.33,5.33,5.33,5.33,5.33,1954,2
20200102,APHA,08:25,5.35,5.35,5.35,5.35,5.35,300,1
20200102,APHA,08:31,5.33,5.33,5.33,5.33,5.33,385,1
20200102,APHA,08:33,5.32,5.32,5.32,5.32,5.32,940,1
20200102,APHA,08:43,5.32,5.32,5.32,5.32,5.32,2000,1
20200102,APHA,08:49,5.32,5.32,5.32,5.32,5.32,4000,1
20200102,APHA,08:53,5.33,5.35,5.33,5.35,5.34797,1113,3
20200102,APHA,08:54,5.35,5.35,5.35,5.35,5.35,2200,6
20200102,APHA,08:57,5.35,5.35,5.35,5.35,5.35,125,1
20200102,APHA,08:59,5.32,5.32,5.32,5.32,5.32,200,2
20200102,APHA,09:00,5.33,5.33,5.33,5.33,5.33,850,3
20200102,APHA,09:02,5.35,5.35,5.35,5.35,5.35,600,4
20200102,APHA,09:07,5.33,5.33,5.33,5.33,5.33,368,1
20200102,APHA,09:10,5.34,5.34,5.34,5.34,5.34,200,1
20200102,APHA,09:13,5.34,5.34,5.34,5.34,5.34,500,1
20200102,APHA,09:14,5.36,5.36,5.34,5.34,5.35233,1298,2
20200102,APHA,09:18,5.33,5.33,5.33,5.33,5.33,938,1
20200102,APHA,09:19,5.34,5.34,5.34,5.34,5.34,463,1
20200102,APHA,09:21,5.32,5.32,5.32,5.32,5.32,1000,1
20200102,APHA,09:24,5.32,5.32,5.32,5.32,5.32,500,2
20200102,APHA,09:28,5.35,5.36,5.35,5.36,5.35773,1147,3
20200102,APHA,09:29,5.37,5.37,5.37,5.37,5.37,1971,2
20200102,APHA,09:30,5.32,5.36,5.29,5.29,5.34917,130385,93
20200102,APHA,09:31,5.29,5.31,5.26,5.31,5.28048,23675,80
20200102,APHA,09:32,5.31,5.33,5.27,5.30,5.2908,19515,65
20200102,APHA,09:33,5.30,5.31,5.28,5.29,5.29653,38080,91
20200102,APHA,09:34,5.29,5.3050,5.29,5.29,5.29885,6550,31
20200102,APHA,09:35,5.29,5.3050,5.28,5.29,5.2899,47830,94
20200102,APHA,09:36,5.29,5.29,5.2350,5.26,5.27095,119446,123
20200102,APHA,09:37,5.26,5.26,5.24,5.25,5.25015,23153,60
20200102,APHA,09:38,5.25,5.25,5.19,5.21,5.22861,59004,145
20200102,APHA,09:39,5.1850,5.22,5.18,5.22,5.20633,10500,33
20200102,APHA,09:40,5.23,5.23,5.18,5.2050,5.20777,12017,50
20200102,APHA,09:41,5.21,5.22,5.19,5.19,5.20738,77466,218
20200102,APHA,09:42,5.19,5.21,5.17,5.17,5.18361,20187,45
20200102,APHA,09:43,5.18,5.20,5.17,5.20,5.18139,14235,44
20200102,APHA,09:44,5.20,5.20,5.16,5.16,5.18694,51864,91
20200102,APHA,09:45,5.16,5.16,5.12,5.12,5.13838,43496,124
20200102,APHA,09:46,5.12,5.13,5.10,5.13,5.10885,29034,76
20200102,APHA,09:47,5.12,5.12,5.0750,5.0850,5.08799,82688,165
20200102,APHA,09:48,5.08,5.08,5.03,5.04,5.05105,44826,112
20200102,APHA,09:49,5.03,5.09,5.03,5.06,5.05888,8050,38
20200102,APHA,09:50,5.07,5.09,5.05,5.06,5.06723,39518,92
20200102,APHA,09:51,5.06,5.10,5.06,5.10,5.08016,15132,56
20200102,APHA,09:52,5.09,5.09,5.07,5.07,5.07776,12700,54
