Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,APRN,09:30,6.64,6.64,6.60,6.60,6.63778,2699,3
20200102,APRN,09:31,6.60,6.60,6.59,6.59,6.595,200,2
20200102,APRN,09:32,6.58,6.59,6.58,6.59,6.585,200,2
20200102,APRN,09:34,6.62,6.62,6.62,6.62,6.62,200,2
20200102,APRN,09:35,6.69,6.69,6.69,6.69,6.69,1056,7
20200102,APRN,09:36,6.75,6.75,6.67,6.69,6.69854,4798,15
20200102,APRN,09:37,6.69,6.69,6.69,6.69,6.69,1922,5
20200102,APRN,09:38,6.65,6.65,6.65,6.65,6.65,100,1
20200102,APRN,09:39,6.65,6.65,6.65,6.65,6.65,200,2
20200102,APRN,09:40,6.65,6.65,6.65,6.65,6.65,300,3
20200102,APRN,09:41,6.64,6.64,6.64,6.64,6.64,100,1
20200102,APRN,09:42,6.65,6.65,6.65,6.65,6.65,892,2
20200102,APRN,09:44,6.68,6.70,6.67,6.70,6.69079,1411,13
20200102,APRN,09:45,6.69,6.69,6.67,6.69,6.68438,1600,9
20200102,APRN,09:47,6.65,6.68,6.65,6.68,6.6675,400,4
20200102,APRN,09:51,6.65,6.65,6.65,6.65,6.65,400,4
20200102,APRN,09:53,6.64,6.64,6.62,6.62,6.63308,5511,20
20200102,APRN,09:55,6.58,6.58,6.58,6.58,6.58,300,3
20200102,APRN,09:56,6.61,6.61,6.61,6.61,6.61,300,3
20200102,APRN,10:04,6.61,6.61,6.61,6.61,6.61,100,1
20200102,APRN,10:05,6.60,6.60,6.60,6.60,6.60,200,2
20200102,APRN,10:06,6.58,6.58,6.58,6.58,6.58,200,2
20200102,APRN,10:09,6.62,6.62,6.62,6.62,6.62,100,1
20200102,APRN,10:12,6.58,6.58,6.58,6.58,6.58,900,3
20200102,APRN,10:13,6.58,6.58,6.58,6.58,6.58,300,3
20200102,APRN,10:14,6.58,6.58,6.58,6.58,6.58,200,2
20200102,APRN,10:15,6.56,6.56,6.56,6.56,6.56,1052,6
20200102,APRN,10:18,6.56,6.56,6.56,6.56,6.56,100,1
20200102,APRN,10:20,6.54,6.54,6.54,6.54,6.54,205,1
20200102,APRN,10:29,6.55,6.57,6.55,6.55,6.554,500,4
20200102,APRN,10:37,6.54,6.54,6.51,6.51,6.5284,2500,8
20200102,APRN,10:41,6.53,6.53,6.53,6.53,6.53,800,6
20200102,APRN,10:43,6.56,6.56,6.56,6.56,6.56,400,4
20200102,APRN,10:44,6.57,6.58,6.55,6.55,6.564,500,5
20200102,APRN,10:56,6.54,6.54,6.54,6.54,6.54,100,1
20200102,APRN,10:57,6.57,6.57,6.57,6.57,6.57,500,4
20200102,APRN,11:00,6.56,6.56,6.55,6.55,6.55667,300,3
20200102,APRN,11:01,6.54,6.55,6.53,6.55,6.5408,2500,7
20200102,APRN,11:06,6.55,6.55,6.53,6.53,6.53367,3000,10
20200102,APRN,11:09,6.53,6.53,6.53,6.53,6.53,156,1
20200102,APRN,11:10,6.53,6.53,6.53,6.53,6.53,1932,5
20200102,APRN,11:18,6.53,6.53,6.53,6.53,6.53,1050,9
20200102,APRN,11:21,6.56,6.56,6.56,6.56,6.56,700,6
20200102,APRN,11:29,6.51,6.51,6.51,6.51,6.51,100,1
20200102,APRN,11:37,6.52,6.52,6.52,6.52,6.52,100,1
20200102,APRN,11:44,6.52,6.52,6.52,6.52,6.52,100,1
20200102,APRN,11:53,6.52,6.52,6.52,6.52,6.52,200,2
