Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,APTO,09:30,5.69,5.70,5.53,5.57,5.65493,19338,39
20200102,APTO,09:31,5.55,5.66,5.55,5.66,5.60269,2600,19
20200102,APTO,09:32,5.63,5.63,5.61,5.61,5.62375,800,8
20200102,APTO,09:34,5.62,5.73,5.62,5.73,5.67226,7499,30
20200102,APTO,09:35,5.71,5.71,5.70,5.71,5.70667,300,3
20200102,APTO,09:36,5.71,5.76,5.71,5.72,5.72209,22926,60
20200102,APTO,09:37,5.71,5.7250,5.70,5.71,5.71057,4400,28
20200102,APTO,09:38,5.71,5.73,5.70,5.7250,5.71561,3300,18
20200102,APTO,09:39,5.73,5.75,5.7050,5.72,5.73272,14148,88
20200102,APTO,09:40,5.71,5.76,5.70,5.72,5.72684,26514,71
20200102,APTO,09:41,5.72,5.72,5.69,5.71,5.70147,6815,30
20200102,APTO,09:42,5.71,5.77,5.71,5.76,5.74885,8247,21
20200102,APTO,09:43,5.75,5.75,5.70,5.70,5.71553,4602,30
20200102,APTO,09:44,5.71,5.77,5.70,5.77,5.75089,8715,24
20200102,APTO,09:45,5.75,5.80,5.71,5.80,5.74631,17025,68
20200102,APTO,09:46,5.79,5.82,5.77,5.80,5.79912,25629,67
20200102,APTO,09:47,5.80,5.82,5.80,5.81,5.80938,3200,20
20200102,APTO,09:48,5.81,5.84,5.81,5.84,5.81896,1634,14
20200102,APTO,09:49,5.83,5.84,5.83,5.84,5.83333,600,6
20200102,APTO,09:50,5.83,5.91,5.83,5.89,5.88033,27737,59
20200102,APTO,09:51,5.87,5.88,5.86,5.88,5.87318,1100,9
20200102,APTO,09:52,5.88,6.00,5.88,5.92,5.9466,18449,88
20200102,APTO,09:53,5.92,5.94,5.90,5.90,5.90908,6658,37
20200102,APTO,09:54,5.90,6.00,5.90,5.99,5.97589,17563,60
20200102,APTO,09:55,6.00,6.03,6.00,6.00,6.00569,15724,44
20200102,APTO,09:56,6.00,6.03,5.98,6.03,6.00101,46072,49
20200102,APTO,09:57,6.01,6.03,6.00,6.00,6.00368,3800,11
20200102,APTO,09:58,6.00,6.00,5.89,5.89,5.96357,25417,41
20200102,APTO,09:59,5.91,5.92,5.90,5.92,5.91,800,5
20200102,APTO,10:00,5.92,5.93,5.91,5.91,5.9116,11888,19
20200102,APTO,10:01,5.90,5.90,5.8810,5.89,5.89229,700,7
20200102,APTO,10:02,5.88,5.88,5.86,5.86,5.87482,1754,13
20200102,APTO,10:03,5.86,5.8650,5.86,5.86,5.86079,713,7
20200102,APTO,10:04,5.86,5.86,5.85,5.85,5.855,400,4
20200102,APTO,10:05,5.85,5.85,5.80,5.8450,5.8261,10516,53
20200102,APTO,10:06,5.83,5.85,5.83,5.8450,5.84187,800,5
20200102,APTO,10:07,5.84,5.84,5.84,5.84,5.84,200,2
20200102,APTO,10:08,5.84,5.84,5.84,5.84,5.84,2800,6
20200102,APTO,10:09,5.84,5.90,5.84,5.90,5.88733,11600,45
20200102,APTO,10:10,5.91,5.97,5.91,5.97,5.94037,11459,36
20200102,APTO,10:11,5.95,5.96,5.92,5.94,5.94566,12807,66
20200102,APTO,10:12,5.93,5.95,5.89,5.90,5.92994,21390,52
20200102,APTO,10:13,5.88,5.88,5.88,5.88,5.88,200,1
