Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,APTX,09:30,3.43,3.49,3.43,3.49,3.43655,916,2
20200102,APTX,09:38,3.49,3.49,3.49,3.49,3.49,700,1
20200102,APTX,09:40,3.52,3.53,3.52,3.53,3.52726,365,3
20200102,APTX,10:03,3.52,3.52,3.51,3.51,3.515,200,2
20200102,APTX,10:08,3.51,3.51,3.51,3.51,3.51,100,1
20200102,APTX,10:10,3.53,3.55,3.53,3.55,3.5404,2500,15
20200102,APTX,10:11,3.54,3.54,3.54,3.54,3.54,900,1
20200102,APTX,10:14,3.58,3.58,3.58,3.58,3.58,289,2
20200102,APTX,10:15,3.61,3.61,3.60,3.60,3.6002,4905,6
20200102,APTX,10:16,3.59,3.60,3.59,3.59,3.59429,700,4
20200102,APTX,10:20,3.60,3.60,3.60,3.60,3.60,200,2
20200102,APTX,10:29,3.59,3.59,3.59,3.59,3.59,100,1
20200102,APTX,10:36,3.57,3.57,3.57,3.57,3.57,200,2
20200102,APTX,10:37,3.57,3.57,3.57,3.57,3.57,1300,5
20200102,APTX,11:09,3.54,3.54,3.54,3.54,3.54,100,1
20200102,APTX,11:10,3.5150,3.52,3.5150,3.52,3.51975,6090,6
20200102,APTX,11:11,3.53,3.58,3.51,3.58,3.53937,2412,23
20200102,APTX,11:12,3.58,3.60,3.57,3.57,3.57588,3279,28
20200102,APTX,11:13,3.59,3.60,3.59,3.60,3.59571,1400,14
20200102,APTX,11:14,3.60,3.60,3.57,3.58,3.58244,7801,35
20200102,APTX,11:15,3.58,3.58,3.57,3.57,3.57697,7600,22
20200102,APTX,11:16,3.56,3.56,3.55,3.55,3.5525,400,4
20200102,APTX,11:18,3.55,3.55,3.55,3.55,3.55,100,1
20200102,APTX,11:19,3.55,3.55,3.55,3.55,3.55,200,1
20200102,APTX,11:20,3.55,3.55,3.55,3.55,3.55,400,2
20200102,APTX,11:21,3.5450,3.5450,3.5450,3.5450,3.545,200,1
20200102,APTX,11:26,3.53,3.53,3.53,3.53,3.53,700,2
20200102,APTX,11:27,3.52,3.52,3.51,3.51,3.51677,310,2
20200102,APTX,11:30,3.50,3.50,3.50,3.50,3.50,200,2
20200102,APTX,11:31,3.50,3.50,3.50,3.50,3.50,100,1
20200102,APTX,11:32,3.50,3.50,3.50,3.50,3.50,3937,9
20200102,APTX,11:39,3.47,3.48,3.47,3.48,3.475,200,2
20200102,APTX,11:47,3.47,3.47,3.47,3.47,3.47,800,7
20200102,APTX,11:48,3.47,3.47,3.47,3.47,3.47,100,1
20200102,APTX,11:51,3.48,3.48,3.48,3.48,3.48,624,5
20200102,APTX,12:00,3.50,3.50,3.50,3.50,3.50,200,2
20200102,APTX,12:03,3.50,3.50,3.50,3.50,3.50,259,1
20200102,APTX,12:04,3.51,3.51,3.51,3.51,3.51,994,3
20200102,APTX,12:38,3.46,3.46,3.46,3.46,3.46,700,2
20200102,APTX,12:42,3.46,3.46,3.46,3.46,3.46,100,1
20200102,APTX,12:52,3.48,3.48,3.48,3.48,3.48,100,1
20200102,APTX,12:55,3.48,3.48,3.48,3.48,3.48,100,1
20200102,APTX,12:59,3.48,3.49,3.48,3.48,3.48205,628,4
20200102,APTX,13:15,3.51,3.51,3.51,3.51,3.51,100,1
20200102,APTX,13:20,3.49,3.49,3.49,3.49,3.49,100,1
20200102,APTX,13:21,3.50,3.50,3.50,3.50,3.50,100,1
20200102,APTX,13:22,3.50,3.50,3.50,3.50,3.50,200,1
20200102,APTX,13:24,3.50,3.50,3.50,3.50,3.50,100,1
20200102,APTX,13:29,3.50,3.50,3.50,3.50,3.50,200,2
20200102,APTX,13:31,3.48,3.48,3.48,3.48,3.48,200,2
20200102,APTX,13:37,3.49,3.49,3.49,3.49,3.49,100,1
20200102,APTX,13:42,3.48,3.48,3.48,3.48,3.48,100,1
20200102,APTX,13:44,3.48,3.49,3.48,3.49,3.48076,1312,9
20200102,APTX,13:54,3.47,3.47,3.47,3.47,3.47,100,1
20200102,APTX,13:55,3.48,3.48,3.48,3.48,3.48,100,1
20200102,APTX,14:02,3.4750,3.4750,3.4750,3.4750,3.475,200,2
20200102,APTX,14:08,3.48,3.48,3.48,3.48,3.48,475,4
20200102,APTX,14:09,3.49,3.49,3.49,3.49,3.49,100,1
20200102,APTX,14:12,3.49,3.50,3.49,3.50,3.49233,429,4
20200102,APTX,14:28,3.50,3.50,3.50,3.50,3.50,400,3
20200102,APTX,14:29,3.50,3.52,3.50,3.52,3.50413,751,5
20200102,APTX,14:31,3.53,3.53,3.53,3.53,3.53,200,2
20200102,APTX,14:37,3.52,3.54,3.52,3.54,3.52472,1695,11
20200102,APTX,14:38,3.55,3.55,3.55,3.55,3.55,100,1
20200102,APTX,14:45,3.51,3.51,3.51,3.51,3.51,100,1
20200102,APTX,14:52,3.53,3.53,3.53,3.53,3.53,100,1
20200102,APTX,14:55,3.53,3.56,3.53,3.56,3.53188,1598,10
20200102,APTX,14:56,3.56,3.56,3.56,3.56,3.56,100,1
20200102,APTX,14:58,3.56,3.56,3.56,3.56,3.56,100,1
20200102,APTX,15:03,3.57,3.61,3.57,3.61,3.58493,608,6
20200102,APTX,15:07,3.63,3.63,3.63,3.63,3.63,100,1
20200102,APTX,15:08,3.63,3.63,3.63,3.63,3.63,100,1
20200102,APTX,15:09,3.63,3.63,3.63,3.63,3.63,100,1
