Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,APVO,07:29,0.67,0.67,0.67,0.67,0.67,1000,1
20200102,APVO,08:29,0.67,0.67,0.67,0.67,0.67,100,1
20200102,APVO,09:30,0.69,0.69,0.6750,0.6750,0.68636,7821,10
20200102,APVO,09:31,0.6745,0.6745,0.67,0.67,0.6703,1700,3
20200102,APVO,09:32,0.6701,0.6701,0.67,0.67,0.67001,4385,5
20200102,APVO,09:33,0.67,0.67,0.6603,0.6603,0.66108,1492,3
20200102,APVO,09:36,0.6604,0.6604,0.6604,0.6604,0.6604,100,1
20200102,APVO,09:39,0.6604,0.6604,0.6604,0.6604,0.6604,100,1
20200102,APVO,09:43,0.6604,0.6604,0.6604,0.6604,0.6604,100,1
20200102,APVO,09:46,0.6607,0.6607,0.6607,0.6607,0.6607,100,1
20200102,APVO,09:47,0.6607,0.6607,0.6607,0.6607,0.6607,100,1
20200102,APVO,09:50,0.6607,0.6607,0.6607,0.6607,0.6607,100,1
20200102,APVO,09:53,0.6612,0.6612,0.6612,0.6612,0.6612,100,1
20200102,APVO,09:57,0.6630,0.6630,0.6630,0.6630,0.663,200,2
20200102,APVO,10:01,0.6630,0.6630,0.6630,0.6630,0.663,100,1
20200102,APVO,10:07,0.6630,0.6630,0.6630,0.6630,0.663,100,1
20200102,APVO,10:13,0.6630,0.6630,0.6630,0.6630,0.663,100,1
20200102,APVO,10:14,0.6630,0.6630,0.6630,0.6630,0.663,600,1
20200102,APVO,10:15,0.6625,0.6625,0.66,0.66,0.66002,12010,15
20200102,APVO,10:17,0.6505,0.6505,0.6505,0.6505,0.6505,100,1
20200102,APVO,10:21,0.6505,0.6505,0.6505,0.6505,0.6505,100,1
20200102,APVO,10:25,0.66,0.66,0.66,0.66,0.66,100,1
20200102,APVO,10:28,0.66,0.66,0.66,0.66,0.66,100,1
20200102,APVO,10:29,0.66,0.66,0.66,0.66,0.66,100,1
20200102,APVO,10:33,0.6505,0.6505,0.6505,0.6505,0.6505,100,1
20200102,APVO,10:37,0.6505,0.6505,0.6505,0.6505,0.6505,100,1
20200102,APVO,10:39,0.6506,0.6506,0.65,0.65,0.6501,38105,8
20200102,APVO,10:40,0.65,0.65,0.65,0.65,0.65,100,1
20200102,APVO,10:44,0.65,0.65,0.65,0.65,0.65,100,1
20200102,APVO,10:49,0.65,0.65,0.65,0.65,0.65,100,1
20200102,APVO,10:51,0.65,0.65,0.65,0.65,0.65,100,1
20200102,APVO,10:53,0.65,0.65,0.65,0.65,0.65,100,1
20200102,APVO,10:57,0.65,0.6504,0.65,0.6504,0.65027,310,2
20200102,APVO,10:58,0.6504,0.6505,0.6504,0.6505,0.65045,200,2
20200102,APVO,11:07,0.6506,0.6506,0.6506,0.6506,0.6506,200,2
20200102,APVO,11:16,0.65,0.65,0.65,0.65,0.65,100,1
20200102,APVO,11:20,0.6510,0.6510,0.6510,0.6510,0.651,600,4
20200102,APVO,11:25,0.65,0.65,0.65,0.65,0.65,100,1
20200102,APVO,11:30,0.65,0.65,0.65,0.65,0.65,100,1
20200102,APVO,11:33,0.65,0.65,0.6495,0.6495,0.64999,4860,9
20200102,APVO,11:35,0.64,0.64,0.64,0.64,0.64,600,3
20200102,APVO,11:36,0.64,0.64,0.64,0.64,0.64,2300,1
20200102,APVO,11:39,0.6397,0.6397,0.6397,0.6397,0.6397,200,2
20200102,APVO,11:40,0.6311,0.6311,0.6311,0.6311,0.6311,200,2
20200102,APVO,11:42,0.6350,0.6350,0.6347,0.6347,0.63495,600,2
20200102,APVO,11:45,0.6370,0.6370,0.6370,0.6370,0.637,100,1
20200102,APVO,11:46,0.6370,0.6370,0.6360,0.6360,0.6365,1000,5
20200102,APVO,11:49,0.6335,0.6335,0.6335,0.6335,0.6335,100,1
20200102,APVO,11:50,0.63,0.63,0.63,0.63,0.63,100,1
20200102,APVO,11:52,0.6369,0.6369,0.6369,0.6369,0.6369,200,1
20200102,APVO,11:53,0.6334,0.6334,0.6334,0.6334,0.6334,160,1
20200102,APVO,11:54,0.63,0.63,0.63,0.63,0.63,100,1
20200102,APVO,11:55,0.6360,0.6360,0.6360,0.6360,0.636,100,1
20200102,APVO,11:57,0.6360,0.6360,0.6360,0.6360,0.636,250,1
20200102,APVO,12:01,0.6360,0.6360,0.6360,0.6360,0.636,100,1
20200102,APVO,12:04,0.6364,0.6364,0.6364,0.6364,0.6364,400,4
20200102,APVO,12:06,0.6360,0.6360,0.6360,0.6360,0.636,660,2
20200102,APVO,12:08,0.6359,0.6359,0.6359,0.6359,0.6359,100,1
20200102,APVO,12:12,0.6340,0.6340,0.6340,0.6340,0.634,100,1
20200102,APVO,12:18,0.6340,0.6366,0.6340,0.6366,0.63643,1489,7
20200102,APVO,12:23,0.6340,0.6340,0.6340,0.6340,0.634,200,2
20200102,APVO,12:29,0.6340,0.6340,0.6340,0.6340,0.634,100,1
20200102,APVO,12:31,0.6340,0.6340,0.6206,0.6206,0.63087,10970,19
20200102,APVO,12:32,0.6241,0.6241,0.6241,0.6241,0.6241,100,1
20200102,APVO,12:35,0.6250,0.6250,0.6250,0.6250,0.625,100,1
20200102,APVO,12:38,0.6250,0.6250,0.6250,0.6250,0.625,100,1
20200102,APVO,12:41,0.6284,0.6299,0.6284,0.6299,0.62985,3300,10
20200102,APVO,12:42,0.6304,0.6365,0.6304,0.6365,0.63162,500,5
20200102,APVO,12:43,0.6365,0.6365,0.6365,0.6365,0.6365,700,4
20200102,APVO,12:44,0.64,0.64,0.64,0.64,0.64,2800,7
20200102,APVO,12:46,0.65,0.65,0.65,0.65,0.65,100,1
20200102,APVO,12:53,0.6450,0.6450,0.6450,0.6450,0.645,1000,3
20200102,APVO,12:55,0.6450,0.6450,0.6450,0.6450,0.645,9300,3
20200102,APVO,13:05,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,13:11,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,13:14,0.64,0.64,0.64,0.64,0.64,9760,1
20200102,APVO,13:17,0.6380,0.6380,0.6380,0.6380,0.638,2000,2
20200102,APVO,13:23,0.6250,0.6250,0.6250,0.6250,0.625,100,1
20200102,APVO,13:29,0.64,0.64,0.6250,0.6250,0.6325,200,2
20200102,APVO,13:35,0.6295,0.6295,0.6295,0.6295,0.6295,100,1
20200102,APVO,13:37,0.6320,0.6320,0.6320,0.6320,0.632,100,1
20200102,APVO,13:38,0.6330,0.6330,0.6330,0.6330,0.633,100,1
20200102,APVO,13:42,0.6285,0.6285,0.6285,0.6285,0.6285,100,1
20200102,APVO,13:43,0.6285,0.6285,0.6285,0.6285,0.6285,100,1
20200102,APVO,13:47,0.63,0.63,0.6288,0.6288,0.6292,2100,6
20200102,APVO,13:48,0.6288,0.6294,0.6288,0.6294,0.6291,200,2
20200102,APVO,13:51,0.6299,0.6344,0.6289,0.6344,0.63005,18166,14
20200102,APVO,14:11,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,14:16,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,14:22,0.64,0.6497,0.64,0.6497,0.64485,200,2
20200102,APVO,14:27,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,14:33,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,14:38,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,14:43,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,14:44,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,14:49,0.6424,0.6434,0.64,0.64,0.64322,3000,3
20200102,APVO,14:51,0.64,0.64,0.64,0.64,0.64,300,2
20200102,APVO,14:53,0.6401,0.6401,0.6401,0.6401,0.6401,100,1
20200102,APVO,14:54,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,14:55,0.6401,0.6401,0.6401,0.6401,0.6401,680,6
20200102,APVO,14:56,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,14:59,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,15:04,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,15:10,0.64,0.64,0.64,0.64,0.64,200,2
20200102,APVO,15:14,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,15:17,0.6401,0.6404,0.6401,0.6404,0.64017,1700,9
20200102,APVO,15:19,0.6446,0.6446,0.6446,0.6446,0.6446,100,1
20200102,APVO,15:26,0.6411,0.6445,0.6410,0.6445,0.64108,4515,5
20200102,APVO,15:30,0.6445,0.6445,0.6445,0.6445,0.6445,2029,10
20200102,APVO,15:31,0.6445,0.6445,0.6445,0.6445,0.6445,3371,3
20200102,APVO,15:34,0.63,0.63,0.63,0.63,0.63,100,1
20200102,APVO,15:37,0.6310,0.6310,0.6310,0.6310,0.631,100,1
20200102,APVO,15:39,0.6444,0.6444,0.6444,0.6444,0.6444,100,1
20200102,APVO,15:46,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,15:47,0.64,0.64,0.64,0.64,0.64,100,1
20200102,APVO,15:51,0.6350,0.6350,0.6350,0.6350,0.635,200,2
20200102,APVO,15:54,0.6350,0.6350,0.6350,0.6350,0.635,300,3
20200102,APVO,15:55,0.6350,0.6350,0.6350,0.6350,0.635,200,2
20200102,APVO,15:56,0.6350,0.6350,0.6350,0.6350,0.635,200,2
20200102,APVO,15:57,0.6350,0.6350,0.6350,0.6350,0.635,300,3
20200102,APVO,15:58,0.6350,0.6350,0.6350,0.6350,0.635,200,2
20200102,APVO,15:59,0.6350,0.6352,0.6350,0.6352,0.63507,300,3
20200102,APVO,16:00,0.6428,0.6428,0.6428,0.6428,0.6428,382,1
20200102,APVO,19:49,0.64,0.64,0.64,0.64,0.64,150,1
