Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AR,07:00,2.89,2.89,2.89,2.89,2.89,387,2
20200102,AR,07:03,2.94,2.94,2.94,2.94,2.94,200,1
20200102,AR,07:07,2.95,2.95,2.95,2.95,2.95,150,1
20200102,AR,08:38,2.93,2.93,2.93,2.93,2.93,500,1
20200102,AR,08:45,2.93,2.93,2.93,2.93,2.93,1500,1
20200102,AR,08:51,2.93,2.93,2.93,2.93,2.93,2000,1
20200102,AR,09:05,2.91,2.91,2.91,2.91,2.91,200,1
20200102,AR,09:30,2.88,2.92,2.88,2.88,2.8823,66255,70
20200102,AR,09:31,2.88,2.88,2.88,2.88,2.88,10000,41
20200102,AR,09:32,2.89,2.89,2.88,2.89,2.88797,16241,73
20200102,AR,09:33,2.88,2.88,2.8550,2.8550,2.8753,17119,90
20200102,AR,09:34,2.85,2.86,2.82,2.82,2.83684,37636,98
20200102,AR,09:35,2.82,2.84,2.82,2.84,2.83048,27396,109
20200102,AR,09:36,2.84,2.85,2.82,2.84,2.83572,14394,63
20200102,AR,09:37,2.84,2.84,2.83,2.83,2.83986,14209,48
20200102,AR,09:38,2.84,2.84,2.84,2.84,2.84,6562,24
20200102,AR,09:39,2.84,2.85,2.84,2.85,2.84266,15967,64
20200102,AR,09:40,2.85,2.85,2.84,2.85,2.84947,9452,35
20200102,AR,09:41,2.85,2.85,2.82,2.82,2.82754,15439,39
20200102,AR,09:42,2.82,2.82,2.81,2.81,2.81844,13857,41
20200102,AR,09:43,2.8150,2.82,2.80,2.80,2.81053,9514,20
20200102,AR,09:44,2.80,2.80,2.79,2.79,2.79759,7247,24
20200102,AR,09:45,2.78,2.78,2.77,2.78,2.77957,25761,63
20200102,AR,09:46,2.78,2.78,2.77,2.77,2.77226,3100,15
20200102,AR,09:47,2.77,2.7750,2.76,2.76,2.76672,20943,49
20200102,AR,09:48,2.76,2.76,2.75,2.75,2.75696,17132,44
20200102,AR,09:49,2.75,2.76,2.75,2.75,2.75656,1600,13
20200102,AR,09:50,2.75,2.7550,2.74,2.75,2.74886,47225,152
20200102,AR,09:51,2.75,2.77,2.75,2.77,2.75894,15332,72
20200102,AR,09:52,2.77,2.78,2.77,2.77,2.77219,19451,79
20200102,AR,09:53,2.78,2.78,2.76,2.77,2.76916,20415,95
20200102,AR,09:54,2.77,2.7750,2.76,2.77,2.76943,22803,67
20200102,AR,09:55,2.77,2.77,2.7650,2.77,2.76903,10862,38
20200102,AR,09:56,2.77,2.77,2.75,2.76,2.75938,24447,86
20200102,AR,09:57,2.76,2.77,2.76,2.77,2.76757,10065,30
20200102,AR,09:58,2.77,2.78,2.7650,2.78,2.77124,28586,86
20200102,AR,09:59,2.78,2.78,2.7750,2.7750,2.77904,2600,17
20200102,AR,10:00,2.77,2.78,2.77,2.78,2.77724,6883,49
20200102,AR,10:01,2.78,2.78,2.77,2.7750,2.77201,7200,37
20200102,AR,10:02,2.7750,2.78,2.7650,2.78,2.77254,24927,95
20200102,AR,10:03,2.78,2.79,2.78,2.79,2.78168,6016,24
20200102,AR,10:04,2.79,2.80,2.7850,2.80,2.79118,7209,34
20200102,AR,10:05,2.79,2.80,2.79,2.80,2.7976,2500,13
20200102,AR,10:06,2.80,2.80,2.78,2.7850,2.79003,45114,125
20200102,AR,10:07,2.7850,2.80,2.7850,2.7950,2.79098,17375,76
20200102,AR,10:08,2.80,2.80,2.7950,2.7950,2.79627,5431,31
20200102,AR,10:09,2.80,2.80,2.79,2.79,2.79314,9461,62
20200102,AR,10:10,2.79,2.79,2.78,2.7850,2.7871,13613,80
20200102,AR,10:11,2.78,2.7850,2.78,2.78,2.7807,13540,38
20200102,AR,10:12,2.77,2.78,2.7650,2.7650,2.77131,18443,85
20200102,AR,10:13,2.77,2.77,2.76,2.76,2.76006,75760,123
20200102,AR,10:14,2.7550,2.7550,2.75,2.75,2.75379,2900,15
20200102,AR,10:15,2.75,2.7550,2.74,2.75,2.74996,27186,80
20200102,AR,10:16,2.7450,2.75,2.7450,2.75,2.74976,6234,31
