Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ARA,09:30,10.35,10.35,10.35,10.35,10.35,1817,1
20200102,ARA,09:40,10.28,10.28,10.28,10.28,10.28,100,1
20200102,ARA,09:45,10.25,10.35,10.25,10.35,10.30959,3340,16
20200102,ARA,09:46,10.31,10.31,10.27,10.27,10.27899,1780,11
20200102,ARA,09:47,10.32,10.32,10.30,10.30,10.3075,400,4
20200102,ARA,09:48,10.35,10.35,10.28,10.32,10.33687,1914,11
20200102,ARA,10:05,10.18,10.19,10.15,10.15,10.1675,400,4
20200102,ARA,10:06,10.14,10.14,10.14,10.14,10.14,200,1
20200102,ARA,10:09,10.17,10.17,10.17,10.17,10.17,100,1
20200102,ARA,10:13,10.08,10.08,10.06,10.06,10.06667,300,3
20200102,ARA,10:18,10.07,10.12,10.07,10.12,10.08667,300,3
20200102,ARA,10:22,10.08,10.12,10.08,10.09,10.0889,2022,11
20200102,ARA,10:23,10.08,10.18,10.08,10.16,10.10681,4514,28
20200102,ARA,10:24,10.13,10.15,10.12,10.15,10.14108,4125,20
20200102,ARA,10:26,10.14,10.15,10.14,10.15,10.145,200,2
20200102,ARA,10:30,10.11,10.11,10.11,10.11,10.11,100,1
20200102,ARA,10:33,10.08,10.08,10.08,10.08,10.08,100,1
20200102,ARA,10:39,10.11,10.11,10.11,10.11,10.11,200,2
20200102,ARA,10:46,10.15,10.15,10.15,10.15,10.15,100,1
20200102,ARA,10:49,10.14,10.14,10.14,10.14,10.14,300,2
20200102,ARA,10:56,10.14,10.14,10.14,10.14,10.14,300,3
20200102,ARA,11:02,10.10,10.10,10.07,10.07,10.07943,530,5
20200102,ARA,11:26,10.00,10.01,10.00,10.01,10.005,200,2
20200102,ARA,11:28,10.02,10.02,10.02,10.02,10.02,100,1
20200102,ARA,11:31,10.02,10.02,10.02,10.02,10.02,200,2
20200102,ARA,11:33,10.04,10.04,10.04,10.04,10.04,100,1
20200102,ARA,11:34,10.04,10.05,10.04,10.04,10.04333,300,3
20200102,ARA,11:37,9.98,10.00,9.98,10.00,9.99435,708,2
20200102,ARA,11:38,10.00,10.01,10.00,10.01,10.00283,707,4
20200102,ARA,11:42,10.07,10.07,10.07,10.07,10.07,100,1
20200102,ARA,11:55,10.13,10.13,10.13,10.13,10.13,100,1
20200102,ARA,11:56,10.11,10.11,10.09,10.10,10.09901,1389,10
20200102,ARA,11:57,10.10,10.13,10.07,10.07,10.10935,1550,12
20200102,ARA,11:58,10.09,10.10,10.09,10.10,10.09941,1689,10
20200102,ARA,11:59,10.10,10.10,10.08,10.08,10.09538,1784,10
20200102,ARA,12:01,10.12,10.12,10.12,10.12,10.12,152,1
20200102,ARA,12:03,10.10,10.10,10.10,10.10,10.10,2500,2
20200102,ARA,12:09,10.09,10.09,10.09,10.09,10.09,100,1
20200102,ARA,12:15,10.04,10.04,10.04,10.04,10.04,100,1
20200102,ARA,12:18,10.04,10.04,10.04,10.04,10.04,200,1
20200102,ARA,12:19,10.02,10.02,10.02,10.02,10.02,200,1
20200102,ARA,12:21,10.00,10.00,10.00,10.00,10.00,120,1
20200102,ARA,12:25,9.95,9.95,9.95,9.95,9.95,229,2
20200102,ARA,12:28,9.97,9.97,9.97,9.97,9.97,150,1
20200102,ARA,12:35,9.93,9.93,9.92,9.92,9.925,200,2
20200102,ARA,12:36,9.92,9.92,9.92,9.92,9.92,300,3
20200102,ARA,12:38,9.92,9.93,9.92,9.92,9.92715,701,6
20200102,ARA,12:41,9.89,9.89,9.84,9.84,9.84997,4574,26
20200102,ARA,12:42,9.85,9.87,9.85,9.87,9.86056,1800,8
20200102,ARA,12:43,9.87,9.87,9.87,9.87,9.87,100,1
20200102,ARA,12:53,9.87,9.87,9.87,9.87,9.87,100,1
20200102,ARA,12:55,9.88,9.89,9.88,9.89,9.88751,401,4
20200102,ARA,12:56,9.88,9.88,9.88,9.88,9.88,200,1
20200102,ARA,12:57,9.90,9.90,9.90,9.90,9.90,200,2
20200102,ARA,13:01,9.8950,9.8950,9.8950,9.8950,9.895,100,1
20200102,ARA,13:02,9.8950,9.8950,9.8950,9.8950,9.895,100,1
20200102,ARA,13:07,9.86,9.86,9.8450,9.8450,9.855,300,3
20200102,ARA,13:11,9.82,9.82,9.82,9.82,9.82,100,1
20200102,ARA,13:12,9.84,9.84,9.84,9.84,9.84,100,1
20200102,ARA,13:13,9.82,9.82,9.82,9.82,9.82,100,1
20200102,ARA,13:23,9.76,9.76,9.76,9.76,9.76,100,1
20200102,ARA,13:33,9.79,9.79,9.79,9.79,9.79,100,1
20200102,ARA,13:43,9.75,9.75,9.75,9.75,9.75,101,1
20200102,ARA,13:45,9.73,9.74,9.73,9.74,9.73333,300,2
20200102,ARA,13:56,9.74,9.74,9.73,9.73,9.73667,300,3
20200102,ARA,14:00,9.71,9.71,9.71,9.71,9.71,100,1
20200102,ARA,14:02,9.74,9.74,9.74,9.74,9.74,100,1
20200102,ARA,14:05,9.72,9.72,9.72,9.72,9.72,100,1
20200102,ARA,14:06,9.73,9.73,9.73,9.73,9.73,100,1
