Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ARCB,09:29,27.86,27.86,27.86,27.86,27.86,100,1
20200102,ARCB,09:30,27.87,27.87,27.87,27.87,27.87,1351,1
20200102,ARCB,09:32,27.98,27.98,27.98,27.98,27.98,100,1
20200102,ARCB,09:35,27.77,27.77,27.77,27.77,27.77,100,1
20200102,ARCB,09:37,27.78,27.78,27.77,27.77,27.775,400,3
20200102,ARCB,09:40,27.7750,27.84,27.7750,27.84,27.8075,200,2
20200102,ARCB,09:51,27.57,27.57,27.57,27.57,27.57,100,1
20200102,ARCB,09:52,27.56,27.56,27.55,27.55,27.555,200,2
20200102,ARCB,10:04,27.58,27.58,27.58,27.58,27.58,100,1
20200102,ARCB,10:05,27.48,27.48,27.48,27.48,27.48,100,1
20200102,ARCB,10:06,27.47,27.47,27.46,27.46,27.465,200,2
20200102,ARCB,10:07,27.46,27.46,27.46,27.46,27.46,100,1
20200102,ARCB,10:11,27.44,27.44,27.44,27.44,27.44,100,1
20200102,ARCB,10:12,27.41,27.41,27.38,27.38,27.395,200,2
20200102,ARCB,10:15,27.32,27.32,27.30,27.30,27.3075,400,3
20200102,ARCB,10:16,27.36,27.36,27.36,27.36,27.36,200,2
20200102,ARCB,10:17,27.39,27.40,27.39,27.40,27.39333,300,3
20200102,ARCB,10:18,27.43,27.43,27.43,27.43,27.43,200,2
20200102,ARCB,10:22,27.45,27.45,27.45,27.45,27.45,100,1
20200102,ARCB,10:30,27.34,27.35,27.34,27.35,27.34333,300,3
20200102,ARCB,10:34,27.29,27.29,27.29,27.29,27.29,200,2
20200102,ARCB,10:35,27.34,27.34,27.34,27.34,27.34,100,1
20200102,ARCB,10:36,27.36,27.36,27.36,27.36,27.36,100,1
20200102,ARCB,10:37,27.39,27.39,27.39,27.39,27.39,200,2
20200102,ARCB,10:41,27.46,27.47,27.46,27.47,27.465,200,2
20200102,ARCB,10:45,27.50,27.56,27.50,27.56,27.53,200,2
20200102,ARCB,10:48,27.56,27.56,27.56,27.56,27.56,100,1
20200102,ARCB,10:52,27.55,27.55,27.55,27.55,27.55,100,1
20200102,ARCB,10:54,27.62,27.62,27.62,27.62,27.62,100,1
20200102,ARCB,10:55,27.63,27.63,27.63,27.63,27.63,100,1
20200102,ARCB,10:57,27.61,27.62,27.61,27.62,27.615,200,2
20200102,ARCB,10:58,27.66,27.66,27.64,27.64,27.65,200,2
20200102,ARCB,10:59,27.62,27.62,27.58,27.58,27.60667,300,3
20200102,ARCB,11:01,27.64,27.64,27.63,27.63,27.635,200,2
20200102,ARCB,11:02,27.63,27.63,27.63,27.63,27.63,100,1
20200102,ARCB,11:04,27.56,27.56,27.53,27.53,27.552,500,5
20200102,ARCB,11:07,27.5250,27.5250,27.5250,27.5250,27.525,100,1
20200102,ARCB,11:12,27.40,27.40,27.40,27.40,27.40,100,1
20200102,ARCB,11:13,27.39,27.39,27.39,27.39,27.39,100,1
20200102,ARCB,11:18,27.31,27.3150,27.31,27.3150,27.3125,200,2
20200102,ARCB,11:19,27.28,27.28,27.28,27.28,27.28,400,4
20200102,ARCB,11:20,27.31,27.31,27.31,27.31,27.31,100,1
20200102,ARCB,11:21,27.31,27.31,27.31,27.31,27.31,100,1
20200102,ARCB,11:24,27.30,27.30,27.24,27.24,27.29272,2335,5
20200102,ARCB,11:25,27.20,27.22,27.17,27.22,27.195,1000,10
20200102,ARCB,11:28,27.26,27.26,27.26,27.26,27.26,100,1
20200102,ARCB,11:29,27.28,27.28,27.28,27.28,27.28,100,1
20200102,ARCB,11:30,27.28,27.28,27.26,27.26,27.268,500,4
20200102,ARCB,11:32,27.28,27.28,27.28,27.28,27.28,100,1
20200102,ARCB,11:34,27.2350,27.2350,27.2350,27.2350,27.235,100,1
20200102,ARCB,11:37,27.21,27.21,27.21,27.21,27.21,100,1
20200102,ARCB,11:38,27.23,27.2450,27.23,27.2450,27.2375,200,2
20200102,ARCB,11:41,27.24,27.24,27.24,27.24,27.24,100,1
20200102,ARCB,11:43,27.2550,27.2550,27.2550,27.2550,27.255,100,1
20200102,ARCB,11:44,27.28,27.28,27.28,27.28,27.28,100,1
