Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ARCE,09:30,44.80,44.80,44.80,44.80,44.80,1725,1
20200102,ARCE,09:40,44.58,44.61,44.58,44.61,44.595,200,2
20200102,ARCE,09:41,44.73,44.74,44.73,44.74,44.735,200,2
20200102,ARCE,09:42,44.77,44.95,44.68,44.89,44.78689,977,4
20200102,ARCE,09:43,44.77,44.77,44.52,44.52,44.70043,805,7
20200102,ARCE,09:45,44.60,44.60,44.50,44.59,44.5674,1741,12
20200102,ARCE,09:46,44.30,44.30,44.30,44.30,44.30,300,1
20200102,ARCE,09:48,44.35,44.35,44.35,44.35,44.35,346,3
20200102,ARCE,09:52,44.50,44.50,44.40,44.40,44.45,200,2
20200102,ARCE,09:54,44.40,44.40,44.19,44.19,44.3475,400,4
20200102,ARCE,09:55,44.16,44.16,44.16,44.16,44.16,100,1
20200102,ARCE,09:58,44.31,44.31,44.31,44.31,44.31,104,1
20200102,ARCE,10:06,44.21,44.21,44.21,44.21,44.21,100,1
20200102,ARCE,10:14,44.21,44.21,44.14,44.14,44.175,200,2
20200102,ARCE,10:19,44.16,44.16,44.16,44.16,44.16,100,1
20200102,ARCE,10:20,44.20,44.20,44.20,44.20,44.20,100,1
20200102,ARCE,10:21,44.19,44.19,44.19,44.19,44.19,100,1
20200102,ARCE,10:31,44.15,44.15,44.15,44.15,44.15,100,1
20200102,ARCE,10:32,44.02,44.02,43.99,43.99,44.00,300,3
20200102,ARCE,10:37,44.06,44.06,44.06,44.06,44.06,100,1
20200102,ARCE,10:39,44.05,44.05,44.05,44.05,44.05,200,2
20200102,ARCE,10:40,43.88,43.97,43.88,43.97,43.93,300,3
20200102,ARCE,10:41,43.99,44.04,43.99,44.04,44.01,300,3
20200102,ARCE,10:43,44.00,44.00,43.96,43.96,43.98,200,2
20200102,ARCE,10:45,44.1150,44.1150,44.00,44.00,44.03171,1109,8
20200102,ARCE,10:46,44.04,44.06,44.04,44.06,44.04667,300,3
20200102,ARCE,10:47,43.98,44.16,43.95,44.08,44.03027,2805,13
20200102,ARCE,10:48,44.0350,44.0350,44.0350,44.0350,44.035,195,1
20200102,ARCE,10:50,44.00,44.00,43.93,43.93,43.965,200,2
20200102,ARCE,10:57,44.00,44.00,44.00,44.00,44.00,100,1
20200102,ARCE,10:58,44.00,44.15,43.98,44.1350,44.04871,788,7
20200102,ARCE,10:59,44.00,44.00,44.00,44.00,44.00,100,1
20200102,ARCE,11:08,44.0550,44.0550,44.00,44.00,44.0275,200,2
20200102,ARCE,11:09,43.97,44.0550,43.97,44.0550,44.00143,1400,9
20200102,ARCE,11:10,44.01,44.14,44.00,44.00,44.025,600,4
20200102,ARCE,11:11,44.06,44.06,44.06,44.06,44.06,106,1
20200102,ARCE,11:13,44.00,44.10,44.00,44.10,44.02496,653,4
20200102,ARCE,11:14,44.10,44.36,44.03,44.1150,44.14918,2694,17
20200102,ARCE,11:15,44.1150,44.1150,43.99,44.0350,44.01707,820,6
20200102,ARCE,11:17,44.01,44.01,44.01,44.01,44.01,100,1
20200102,ARCE,11:21,44.06,44.17,44.06,44.17,44.09427,321,2
20200102,ARCE,11:25,44.09,44.09,44.09,44.09,44.09,100,1
20200102,ARCE,11:33,44.1050,44.1050,44.1050,44.1050,44.105,100,1
20200102,ARCE,11:36,44.04,44.04,44.04,44.04,44.04,100,1
20200102,ARCE,11:43,44.09,44.2450,44.00,44.00,44.12909,1458,12
20200102,ARCE,11:44,44.09,44.09,44.09,44.09,44.09,100,1
20200102,ARCE,11:45,44.20,44.20,44.20,44.20,44.20,100,1
20200102,ARCE,11:48,44.0950,44.0950,44.0950,44.0950,44.095,500,2
20200102,ARCE,11:49,44.00,44.0250,44.00,44.00,44.015,1000,5
20200102,ARCE,11:52,44.09,44.43,44.09,44.43,44.27333,300,3
20200102,ARCE,11:53,44.08,44.08,44.00,44.00,44.03857,700,7
20200102,ARCE,11:54,43.95,43.95,43.95,43.95,43.95,100,1
20200102,ARCE,11:55,44.00,44.00,43.90,43.90,43.95,200,2
20200102,ARCE,11:56,44.09,44.09,44.05,44.05,44.07,200,2
20200102,ARCE,11:57,44.04,44.04,44.04,44.04,44.04,100,1
20200102,ARCE,11:59,44.00,44.00,44.00,44.00,44.00,100,1
20200102,ARCE,12:01,44.0450,44.0450,44.0450,44.0450,44.045,229,1
20200102,ARCE,12:07,44.1050,44.1050,44.1050,44.1050,44.105,382,3
20200102,ARCE,12:09,44.01,44.01,44.00,44.00,44.005,200,2
20200102,ARCE,12:12,44.00,44.00,44.00,44.00,44.00,100,1
20200102,ARCE,12:17,44.02,44.02,44.02,44.02,44.02,200,2
20200102,ARCE,12:27,44.08,44.08,44.08,44.08,44.08,100,1
20200102,ARCE,12:31,44.07,44.10,44.07,44.10,44.08667,300,3
20200102,ARCE,12:33,44.00,44.00,44.00,44.00,44.00,200,1
20200102,ARCE,12:37,44.01,44.03,44.00,44.03,44.01333,300,3
20200102,ARCE,12:38,43.96,44.00,43.96,44.00,43.992,500,2
20200102,ARCE,12:41,43.99,44.17,43.99,44.17,44.03207,1902,14
20200102,ARCE,12:42,44.09,44.09,44.03,44.03,44.05,600,6
