Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ARD,09:30,19.76,19.76,19.76,19.76,19.76,405,1
20200102,ARD,09:58,19.64,19.64,19.64,19.64,19.64,100,1
20200102,ARD,09:59,19.64,19.64,19.64,19.64,19.64,111,1
20200102,ARD,10:00,19.68,19.68,19.68,19.68,19.68,280,1
20200102,ARD,10:01,19.62,19.62,19.62,19.62,19.62,100,1
20200102,ARD,10:05,19.58,19.58,19.58,19.58,19.58,100,1
20200102,ARD,10:12,19.61,19.61,19.60,19.60,19.60333,300,3
20200102,ARD,10:15,19.52,19.52,19.52,19.52,19.52,100,1
20200102,ARD,10:20,19.53,19.53,19.53,19.53,19.53,100,1
20200102,ARD,10:21,19.50,19.50,19.50,19.50,19.50,100,1
20200102,ARD,10:22,19.49,19.49,19.49,19.49,19.49,100,1
20200102,ARD,10:24,19.54,19.73,19.53,19.60,19.6524,5191,43
20200102,ARD,10:28,19.60,19.60,19.60,19.60,19.60,200,2
20200102,ARD,10:37,19.54,19.57,19.54,19.57,19.555,200,2
20200102,ARD,10:44,19.53,19.53,19.53,19.53,19.53,100,1
20200102,ARD,10:49,19.51,19.51,19.51,19.51,19.51,100,1
20200102,ARD,10:51,19.51,19.51,19.49,19.49,19.50,400,4
20200102,ARD,10:52,19.49,19.49,19.49,19.49,19.49,100,1
20200102,ARD,10:56,19.51,19.51,19.51,19.51,19.51,300,3
20200102,ARD,11:08,19.50,19.50,19.50,19.50,19.50,100,1
20200102,ARD,11:09,19.48,19.48,19.48,19.48,19.48,100,1
20200102,ARD,11:13,19.47,19.50,19.47,19.50,19.4775,400,3
20200102,ARD,11:19,19.49,19.49,19.49,19.49,19.49,296,2
20200102,ARD,11:34,19.48,19.48,19.46,19.46,19.47,200,2
20200102,ARD,11:54,19.40,19.40,19.40,19.40,19.40,100,1
20200102,ARD,11:56,19.41,19.41,19.41,19.41,19.41,100,1
20200102,ARD,11:58,19.42,19.42,19.42,19.42,19.42,100,1
20200102,ARD,12:11,19.40,19.40,19.40,19.40,19.40,100,1
20200102,ARD,12:35,19.41,19.41,19.41,19.41,19.41,100,1
20200102,ARD,12:37,19.40,19.40,19.40,19.40,19.40,200,2
20200102,ARD,12:40,19.42,19.42,19.42,19.42,19.42,100,1
20200102,ARD,12:43,19.39,19.39,19.39,19.39,19.39,100,1
20200102,ARD,12:49,19.39,19.39,19.39,19.39,19.39,100,1
20200102,ARD,12:50,19.39,19.39,19.35,19.35,19.37974,390,3
20200102,ARD,13:04,19.36,19.36,19.36,19.36,19.36,100,1
20200102,ARD,13:20,19.38,19.38,19.38,19.38,19.38,100,1
20200102,ARD,13:21,19.38,19.38,19.38,19.38,19.38,200,2
20200102,ARD,13:31,19.37,19.37,19.37,19.37,19.37,300,3
20200102,ARD,13:36,19.35,19.35,19.35,19.35,19.35,200,2
20200102,ARD,13:37,19.35,19.35,19.35,19.35,19.35,100,1
20200102,ARD,13:39,19.34,19.34,19.34,19.34,19.34,100,1
20200102,ARD,13:50,19.34,19.34,19.34,19.34,19.34,100,1
20200102,ARD,13:54,19.34,19.34,19.34,19.34,19.34,400,3
20200102,ARD,13:57,19.34,19.34,19.34,19.34,19.34,200,2
20200102,ARD,14:04,19.36,19.36,19.36,19.36,19.36,190,1
20200102,ARD,14:05,19.35,19.35,19.35,19.35,19.35,100,1
20200102,ARD,14:34,19.36,19.41,19.36,19.40,19.38182,2200,18
20200102,ARD,14:35,19.43,19.44,19.43,19.44,19.435,200,2
20200102,ARD,14:41,19.44,19.44,19.44,19.44,19.44,200,1
20200102,ARD,14:46,19.40,19.40,19.40,19.40,19.40,100,1
20200102,ARD,14:55,19.38,19.38,19.38,19.38,19.38,100,1
20200102,ARD,14:57,19.38,19.38,19.38,19.38,19.38,100,1
20200102,ARD,15:03,19.37,19.37,19.37,19.37,19.37,200,2
20200102,ARD,15:15,19.39,19.39,19.39,19.39,19.39,101,1
20200102,ARD,15:22,19.42,19.42,19.42,19.42,19.42,100,1
20200102,ARD,15:23,19.43,19.43,19.42,19.42,19.42333,300,3
20200102,ARD,15:30,19.41,19.41,19.41,19.41,19.41,100,1
20200102,ARD,15:32,19.41,19.41,19.40,19.40,19.405,200,2
20200102,ARD,15:35,19.43,19.43,19.43,19.43,19.43,100,1
20200102,ARD,15:49,19.43,19.43,19.43,19.43,19.43,100,1
20200102,ARD,15:50,19.43,19.43,19.43,19.43,19.43,100,1
20200102,ARD,15:53,19.43,19.43,19.43,19.43,19.43,400,4
20200102,ARD,15:56,19.44,19.48,19.44,19.46,19.45117,1074,8
20200102,ARD,15:57,19.46,19.46,19.46,19.46,19.46,600,4
20200102,ARD,15:58,19.47,19.47,19.47,19.47,19.47,100,1
20200102,ARD,15:59,19.47,19.49,19.47,19.47,19.47538,1300,10
20200102,ARD,16:01,19.48,19.48,19.48,19.48,19.48,3882,1
