Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ARDX,09:30,7.59,7.59,7.59,7.59,7.59,3953,1
20200102,ARDX,09:34,7.57,7.57,7.57,7.57,7.57,500,5
20200102,ARDX,09:36,7.56,7.56,7.56,7.56,7.56,100,1
20200102,ARDX,09:39,7.55,7.55,7.53,7.53,7.54556,450,4
20200102,ARDX,09:40,7.51,7.51,7.45,7.45,7.50333,900,5
20200102,ARDX,09:41,7.44,7.44,7.44,7.44,7.44,200,2
20200102,ARDX,09:42,7.42,7.42,7.3210,7.35,7.37261,10386,48
20200102,ARDX,09:43,7.34,7.36,7.34,7.36,7.35,200,2
20200102,ARDX,09:44,7.34,7.34,7.34,7.34,7.34,200,2
20200102,ARDX,09:45,7.3350,7.35,7.3350,7.35,7.345,300,3
20200102,ARDX,09:46,7.32,7.33,7.32,7.32,7.32286,700,5
20200102,ARDX,09:47,7.31,7.33,7.30,7.33,7.3075,1600,13
20200102,ARDX,09:48,7.3150,7.33,7.30,7.30,7.3186,2145,15
20200102,ARDX,09:49,7.31,7.31,7.31,7.31,7.31,100,1
20200102,ARDX,09:50,7.32,7.32,7.32,7.32,7.32,100,1
20200102,ARDX,09:53,7.3350,7.35,7.3350,7.35,7.34125,400,3
20200102,ARDX,09:56,7.37,7.37,7.37,7.37,7.37,1000,2
20200102,ARDX,09:58,7.36,7.36,7.30,7.30,7.34269,1890,7
20200102,ARDX,10:07,7.3650,7.3650,7.3650,7.3650,7.365,100,1
20200102,ARDX,10:08,7.38,7.38,7.38,7.38,7.38,100,1
20200102,ARDX,10:10,7.37,7.38,7.37,7.38,7.375,200,2
20200102,ARDX,10:11,7.39,7.39,7.36,7.36,7.36966,5877,12
20200102,ARDX,10:14,7.36,7.36,7.33,7.33,7.34934,7600,15
20200102,ARDX,10:15,7.33,7.33,7.31,7.31,7.32357,700,6
20200102,ARDX,10:16,7.30,7.30,7.30,7.30,7.30,1157,7
20200102,ARDX,10:17,7.30,7.3050,7.30,7.3050,7.3025,200,2
20200102,ARDX,10:18,7.30,7.30,7.30,7.30,7.30,331,3
20200102,ARDX,10:20,7.29,7.29,7.29,7.29,7.29,510,3
20200102,ARDX,10:21,7.26,7.26,7.24,7.24,7.25714,1399,6
