Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ARGT,09:29,26.55,26.59,26.55,26.59,26.56371,350,2
20200102,ARGT,09:30,26.59,26.59,26.59,26.59,26.59,6853,1
20200102,ARGT,09:39,26.97,27.02,26.97,27.00,27.00259,2700,9
20200102,ARGT,09:41,27.00,27.00,27.00,27.00,27.00,226,1
20200102,ARGT,09:44,27.00,27.04,27.00,27.04,27.00597,670,4
20200102,ARGT,09:46,27.03,27.04,27.03,27.04,27.03333,300,2
20200102,ARGT,10:05,27.06,27.06,27.06,27.06,27.06,200,2
20200102,ARGT,10:12,27.06,27.06,27.06,27.06,27.06,149,1
20200102,ARGT,10:16,27.02,27.02,27.02,27.02,27.02,100,1
20200102,ARGT,10:17,27.00,27.00,27.00,27.00,27.00,1099,5
20200102,ARGT,10:18,26.98,26.98,26.98,26.98,26.98,200,2
20200102,ARGT,10:20,26.93,26.93,26.93,26.93,26.93,700,2
20200102,ARGT,10:22,26.90,26.90,26.90,26.90,26.90,200,2
20200102,ARGT,10:36,26.88,26.88,26.88,26.88,26.88,592,1
20200102,ARGT,10:37,26.90,26.90,26.90,26.90,26.90,500,5
20200102,ARGT,10:38,26.89,26.89,26.88,26.88,26.88516,6200,12
20200102,ARGT,10:40,26.88,26.88,26.88,26.88,26.88,200,1
20200102,ARGT,10:42,26.88,26.88,26.88,26.88,26.88,300,2
20200102,ARGT,10:44,26.88,26.88,26.88,26.88,26.88,200,1
20200102,ARGT,10:46,26.88,26.88,26.88,26.88,26.88,400,2
20200102,ARGT,10:47,26.88,26.88,26.88,26.88,26.88,445,2
20200102,ARGT,10:49,26.90,26.90,26.90,26.90,26.90,200,1
20200102,ARGT,10:50,26.90,26.90,26.90,26.90,26.90,100,1
20200102,ARGT,10:55,26.92,26.92,26.92,26.92,26.92,100,1
20200102,ARGT,11:05,26.93,26.93,26.93,26.93,26.93,100,1
20200102,ARGT,11:12,26.94,26.94,26.94,26.94,26.94,100,1
20200102,ARGT,11:14,26.91,26.91,26.91,26.91,26.91,100,1
20200102,ARGT,11:17,26.91,26.91,26.91,26.91,26.91,100,1
20200102,ARGT,11:26,26.91,26.91,26.91,26.91,26.91,100,1
20200102,ARGT,11:28,26.90,26.90,26.90,26.90,26.90,100,1
20200102,ARGT,11:30,26.88,26.88,26.87,26.87,26.875,200,2
20200102,ARGT,11:35,26.81,26.81,26.81,26.81,26.81,100,1
20200102,ARGT,11:52,26.7850,26.80,26.7850,26.80,26.7925,200,2
20200102,ARGT,12:20,26.78,26.78,26.78,26.78,26.78,100,1
20200102,ARGT,13:23,26.62,26.62,26.62,26.62,26.62,100,1
20200102,ARGT,13:24,26.65,26.65,26.64,26.64,26.645,200,2
20200102,ARGT,13:25,26.61,26.62,26.61,26.62,26.616,500,4
20200102,ARGT,13:26,26.62,26.64,26.62,26.64,26.62333,600,4
20200102,ARGT,13:28,26.65,26.65,26.65,26.65,26.65,122,1
20200102,ARGT,13:35,26.64,26.64,26.64,26.64,26.64,200,2
20200102,ARGT,13:57,26.6350,26.64,26.6350,26.64,26.638,500,2
20200102,ARGT,14:00,26.63,26.63,26.63,26.63,26.63,100,1
20200102,ARGT,14:02,26.64,26.64,26.64,26.64,26.64,700,4
20200102,ARGT,14:05,26.64,26.64,26.64,26.64,26.64,1200,5
20200102,ARGT,14:06,26.64,26.64,26.64,26.64,26.64,527,2
