Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ARI,09:30,18.29,18.30,18.29,18.29,18.29076,12530,9
20200102,ARI,09:31,18.2950,18.2950,18.26,18.26,18.28152,9686,44
20200102,ARI,09:32,18.27,18.27,18.2650,18.27,18.2696,2500,13
20200102,ARI,09:34,18.28,18.28,18.26,18.26,18.27652,3164,24
20200102,ARI,09:35,18.25,18.26,18.25,18.26,18.25286,700,6
20200102,ARI,09:36,18.27,18.27,18.27,18.27,18.27,300,2
20200102,ARI,09:37,18.28,18.28,18.2750,18.2750,18.2775,200,2
20200102,ARI,09:38,18.28,18.29,18.28,18.29,18.28687,1600,11
20200102,ARI,09:39,18.29,18.29,18.2850,18.2850,18.28833,600,5
20200102,ARI,09:40,18.2850,18.2850,18.28,18.28,18.282,500,5
20200102,ARI,09:41,18.2850,18.2850,18.28,18.28,18.28167,600,6
20200102,ARI,09:42,18.28,18.2850,18.26,18.26,18.27321,3313,12
20200102,ARI,09:43,18.26,18.27,18.26,18.27,18.26479,1360,7
20200102,ARI,09:44,18.28,18.28,18.28,18.28,18.28,300,3
20200102,ARI,09:45,18.28,18.28,18.28,18.28,18.28,100,1
20200102,ARI,09:46,18.28,18.28,18.28,18.28,18.28,200,2
20200102,ARI,09:48,18.27,18.28,18.27,18.2750,18.27423,946,8
20200102,ARI,09:49,18.2750,18.2750,18.2750,18.2750,18.275,200,2
20200102,ARI,09:50,18.27,18.2750,18.27,18.27,18.27125,400,3
20200102,ARI,09:51,18.28,18.28,18.26,18.26,18.27012,4150,25
20200102,ARI,09:52,18.2550,18.26,18.25,18.26,18.25144,3468,22
20200102,ARI,09:53,18.2550,18.2550,18.25,18.25,18.251,500,4
20200102,ARI,09:54,18.25,18.25,18.25,18.25,18.25,1453,10
20200102,ARI,09:55,18.25,18.25,18.25,18.25,18.25,100,1
20200102,ARI,09:56,18.25,18.25,18.25,18.25,18.25,500,5
20200102,ARI,09:57,18.25,18.25,18.25,18.25,18.25,300,3
20200102,ARI,09:58,18.25,18.2550,18.25,18.2550,18.25116,1717,10
20200102,ARI,10:00,18.2550,18.2550,18.2550,18.2550,18.255,467,3
20200102,ARI,10:01,18.2550,18.2550,18.2550,18.2550,18.255,300,3
20200102,ARI,10:02,18.25,18.25,18.25,18.25,18.25,100,1
20200102,ARI,10:03,18.26,18.26,18.26,18.26,18.26,506,5
20200102,ARI,10:04,18.26,18.26,18.26,18.26,18.26,400,3
20200102,ARI,10:05,18.26,18.26,18.26,18.26,18.26,200,2
20200102,ARI,10:06,18.2550,18.26,18.2550,18.26,18.259,500,5
20200102,ARI,10:07,18.26,18.26,18.25,18.25,18.25334,2846,21
20200102,ARI,10:08,18.25,18.2550,18.25,18.25,18.251,500,4
20200102,ARI,10:09,18.2550,18.26,18.25,18.26,18.25562,800,5
20200102,ARI,10:10,18.25,18.25,18.25,18.25,18.25,100,1
20200102,ARI,10:11,18.25,18.2550,18.25,18.2550,18.25167,300,3
20200102,ARI,10:12,18.2550,18.26,18.2550,18.2550,18.25625,400,4
20200102,ARI,10:13,18.2550,18.2550,18.25,18.25,18.25027,7465,31
20200102,ARI,10:14,18.25,18.25,18.25,18.25,18.25,600,5
20200102,ARI,10:15,18.24,18.2450,18.2350,18.2350,18.24018,2829,16
20200102,ARI,10:16,18.24,18.24,18.24,18.24,18.24,900,6
20200102,ARI,10:17,18.23,18.2350,18.22,18.23,18.22867,1886,15
