Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ARKK,07:00,50.00,50.00,50.00,50.00,50.00,230,1
20200102,ARKK,09:30,50.64,50.64,50.55,50.55,50.63453,14165,6
20200102,ARKK,09:32,50.33,50.33,50.33,50.33,50.33,100,1
20200102,ARKK,09:33,50.40,50.40,50.40,50.40,50.40,200,2
20200102,ARKK,09:35,50.43,50.43,50.43,50.43,50.43,150,1
20200102,ARKK,09:36,50.52,50.53,50.52,50.53,50.525,600,6
20200102,ARKK,09:37,50.55,50.55,50.55,50.55,50.55,300,3
20200102,ARKK,09:38,50.52,50.52,50.52,50.52,50.52,100,1
20200102,ARKK,09:42,50.31,50.31,50.31,50.31,50.31,200,2
20200102,ARKK,09:43,50.27,50.27,50.27,50.27,50.27,100,1
20200102,ARKK,09:46,50.25,50.25,50.25,50.25,50.25,100,1
20200102,ARKK,09:49,50.19,50.21,50.19,50.21,50.20873,5500,16
20200102,ARKK,09:57,50.30,50.31,50.30,50.31,50.305,200,2
20200102,ARKK,09:58,50.28,50.29,50.22,50.22,50.265,500,5
20200102,ARKK,09:59,50.27,50.32,50.27,50.32,50.30487,717,6
20200102,ARKK,10:00,50.36,50.36,50.36,50.36,50.36,300,2
20200102,ARKK,10:03,50.28,50.28,50.28,50.28,50.28,263,2
20200102,ARKK,10:07,50.30,50.30,50.30,50.30,50.30,475,4
20200102,ARKK,10:15,50.10,50.10,50.10,50.10,50.10,100,1
20200102,ARKK,10:16,50.03,50.03,50.00,50.00,50.02,1200,9
20200102,ARKK,10:17,50.00,50.05,50.00,50.05,50.03,250,2
20200102,ARKK,10:19,50.08,50.08,50.08,50.08,50.08,200,2
20200102,ARKK,10:23,50.01,50.03,50.01,50.03,50.01931,9920,29
20200102,ARKK,10:24,50.00,50.00,50.00,50.00,50.00,200,2
20200102,ARKK,10:29,50.05,50.05,50.05,50.05,50.05,707,6
20200102,ARKK,10:30,50.00,50.00,50.00,50.00,50.00,126,1
20200102,ARKK,10:32,49.95,49.95,49.95,49.95,49.95,200,2
20200102,ARKK,10:41,50.03,50.03,50.03,50.03,50.03,200,2
20200102,ARKK,10:43,50.05,50.05,50.05,50.05,50.05,200,2
20200102,ARKK,10:45,50.08,50.08,50.08,50.08,50.08,100,1
20200102,ARKK,11:01,50.20,50.20,50.20,50.20,50.20,100,1
20200102,ARKK,11:09,50.14,50.14,50.14,50.14,50.14,158,1
20200102,ARKK,11:14,50.16,50.16,50.12,50.12,50.135,800,7
20200102,ARKK,11:18,50.16,50.16,50.16,50.16,50.16,100,1
20200102,ARKK,11:19,50.14,50.14,50.14,50.14,50.14,100,1
20200102,ARKK,11:23,50.12,50.12,50.12,50.12,50.12,100,1
20200102,ARKK,11:24,50.14,50.14,50.14,50.14,50.14,227,2
20200102,ARKK,11:26,50.11,50.11,50.10,50.10,50.10333,300,3
20200102,ARKK,11:28,50.11,50.11,50.11,50.11,50.11,400,4
20200102,ARKK,11:29,50.10,50.10,50.10,50.10,50.10,527,4
20200102,ARKK,11:31,50.05,50.05,50.05,50.05,50.05,200,2
