Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ARL,09:30,17.15,17.15,17.15,17.15,17.15,100,1
20200102,ARL,10:04,17.44,17.44,17.44,17.44,17.44,100,1
20200102,ARL,14:35,16.70,16.70,16.70,16.70,16.70,100,1
20200102,ARL,14:38,17.10,17.10,16.98,16.98,17.04146,205,2
20200102,ARL,14:42,16.60,16.60,16.60,16.60,16.60,105,1
20200102,ARL,14:43,17.05,17.05,17.05,17.05,17.05,105,1
20200102,ARL,14:46,16.55,16.55,16.55,16.55,16.55,105,1
20200102,ARL,14:47,17.10,17.10,17.10,17.10,17.10,110,1
20200102,ARL,14:50,16.60,16.60,16.60,16.60,16.60,105,1
20200102,ARL,14:51,16.60,16.60,16.08,16.08,16.34,200,2
20200102,ARL,14:52,16.65,16.65,16.65,16.65,16.65,110,1
20200102,ARL,14:53,17.05,17.05,17.05,17.05,17.05,101,1
20200102,ARL,14:54,16.55,16.55,16.55,16.55,16.55,103,1
20200102,ARL,14:55,17.10,17.10,17.10,17.10,17.10,105,1
20200102,ARL,14:59,16.89,16.89,16.89,16.89,16.89,100,1
20200102,ARL,15:07,16.83,16.83,16.83,16.83,16.83,100,1
20200102,ARL,16:02,16.33,16.33,16.33,16.33,16.33,106,1
