Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ARLP,09:28,10.97,10.97,10.97,10.97,10.97,1914,4
20200102,ARLP,09:29,10.98,10.98,10.98,10.98,10.98,1000,2
20200102,ARLP,09:30,11.00,11.00,11.00,11.00,11.00,23204,4
20200102,ARLP,09:31,11.05,11.05,11.05,11.05,11.05,3671,5
20200102,ARLP,09:32,11.06,11.06,11.06,11.06,11.06,500,5
20200102,ARLP,09:33,11.07,11.10,11.07,11.10,11.08348,1150,8
20200102,ARLP,09:34,11.10,11.10,11.09,11.09,11.096,500,4
20200102,ARLP,09:35,11.06,11.11,11.06,11.11,11.10604,4800,10
20200102,ARLP,09:36,11.12,11.16,11.12,11.15,11.1381,2873,13
20200102,ARLP,09:38,11.14,11.14,11.14,11.14,11.14,500,4
20200102,ARLP,09:39,11.13,11.13,11.09,11.09,11.11,200,2
20200102,ARLP,09:40,11.12,11.12,11.09,11.09,11.10122,1641,7
20200102,ARLP,09:41,11.09,11.10,11.09,11.10,11.09914,3500,10
20200102,ARLP,09:42,11.13,11.15,11.12,11.15,11.14442,3586,14
20200102,ARLP,09:43,11.13,11.13,11.13,11.13,11.13,300,3
20200102,ARLP,09:44,11.14,11.14,11.14,11.14,11.14,500,5
20200102,ARLP,09:45,11.14,11.15,11.14,11.15,11.14577,2600,14
20200102,ARLP,09:46,11.14,11.14,11.13,11.13,11.13673,1071,9
20200102,ARLP,09:47,11.11,11.12,11.11,11.11,11.11179,1675,7
20200102,ARLP,09:48,11.11,11.15,11.11,11.14,11.13214,1400,11
20200102,ARLP,09:49,11.12,11.12,11.12,11.12,11.12,375,2
20200102,ARLP,09:50,11.13,11.14,11.11,11.14,11.12286,817,8
20200102,ARLP,09:51,11.13,11.14,11.12,11.12,11.12875,800,7
20200102,ARLP,09:52,11.12,11.13,11.12,11.13,11.12923,2602,16
20200102,ARLP,09:53,11.13,11.18,11.13,11.18,11.15023,4400,10
20200102,ARLP,09:54,11.16,11.16,11.16,11.16,11.16,100,1
20200102,ARLP,09:55,11.18,11.18,11.18,11.18,11.18,100,1
20200102,ARLP,09:56,11.18,11.19,11.18,11.19,11.18833,600,6
20200102,ARLP,09:57,11.18,11.20,11.18,11.20,11.18045,4447,8
20200102,ARLP,09:58,11.20,11.26,11.20,11.26,11.21286,1400,9
20200102,ARLP,09:59,11.27,11.27,11.25,11.27,11.262,500,5
20200102,ARLP,10:01,11.27,11.27,11.19,11.19,11.2175,400,4
20200102,ARLP,10:02,11.20,11.2050,11.1950,11.20,11.20023,4427,19
20200102,ARLP,10:03,11.20,11.24,11.20,11.22,11.20457,7196,19
20200102,ARLP,10:04,11.22,11.22,11.21,11.22,11.21743,3736,18
20200102,ARLP,10:05,11.21,11.22,11.19,11.19,11.20286,700,7
20200102,ARLP,10:06,11.19,11.19,11.18,11.19,11.18769,650,5
20200102,ARLP,10:07,11.18,11.19,11.17,11.19,11.17321,2800,26
20200102,ARLP,10:08,11.1850,11.23,11.1850,11.23,11.20036,1400,10
20200102,ARLP,10:10,11.25,11.26,11.25,11.26,11.2525,400,4
20200102,ARLP,10:11,11.25,11.26,11.25,11.26,11.25072,1393,8
20200102,ARLP,10:13,11.25,11.25,11.24,11.24,11.246,500,3
20200102,ARLP,10:15,11.23,11.23,11.21,11.22,11.22444,900,9
20200102,ARLP,10:16,11.21,11.21,11.20,11.20,11.20181,1661,11
20200102,ARLP,10:17,11.21,11.22,11.21,11.22,11.2125,400,4
20200102,ARLP,10:18,11.24,11.24,11.24,11.24,11.24,100,1
20200102,ARLP,10:22,11.23,11.23,11.23,11.23,11.23,500,5
20200102,ARLP,10:24,11.21,11.23,11.21,11.23,11.22083,1200,10
20200102,ARLP,10:25,11.23,11.25,11.23,11.24,11.23999,6891,9
20200102,ARLP,10:27,11.22,11.22,11.22,11.22,11.22,956,6
20200102,ARLP,10:28,11.23,11.24,11.23,11.24,11.23154,1300,8
20200102,ARLP,10:30,11.24,11.24,11.24,11.24,11.24,200,2
20200102,ARLP,10:31,11.24,11.24,11.2350,11.2350,11.23813,800,6
20200102,ARLP,10:32,11.25,11.25,11.25,11.25,11.25,100,1
20200102,ARLP,10:33,11.25,11.25,11.25,11.25,11.25,100,1
20200102,ARLP,10:34,11.24,11.24,11.24,11.24,11.24,100,1
20200102,ARLP,10:35,11.24,11.24,11.23,11.23,11.23742,3100,11
20200102,ARLP,10:37,11.23,11.23,11.23,11.23,11.23,1340,10
20200102,ARLP,10:39,11.23,11.23,11.23,11.23,11.23,200,2
20200102,ARLP,10:40,11.23,11.23,11.22,11.22,11.22308,1300,9
20200102,ARLP,10:41,11.22,11.23,11.22,11.23,11.2248,834,8
20200102,ARLP,10:42,11.24,11.24,11.24,11.24,11.24,700,7
20200102,ARLP,10:43,11.24,11.26,11.24,11.26,11.2493,4309,20
20200102,ARLP,10:44,11.25,11.25,11.21,11.21,11.23891,5050,23
20200102,ARLP,10:45,11.23,11.2350,11.23,11.2350,11.23417,600,6
20200102,ARLP,10:47,11.25,11.25,11.25,11.25,11.25,250,1
20200102,ARLP,10:48,11.26,11.27,11.26,11.27,11.26545,1284,6
20200102,ARLP,10:49,11.29,11.29,11.29,11.29,11.29,200,2
20200102,ARLP,10:50,11.28,11.31,11.28,11.31,11.30333,600,6
20200102,ARLP,10:51,11.30,11.30,11.29,11.30,11.29963,2725,8
20200102,ARLP,10:52,11.30,11.32,11.30,11.32,11.30884,760,5
20200102,ARLP,10:53,11.33,11.33,11.33,11.33,11.33,200,1
20200102,ARLP,10:54,11.32,11.32,11.32,11.32,11.32,500,4
20200102,ARLP,10:56,11.33,11.33,11.33,11.33,11.33,500,4
20200102,ARLP,10:57,11.33,11.34,11.33,11.34,11.33667,600,6
20200102,ARLP,11:00,11.33,11.34,11.32,11.34,11.335,1200,6
20200102,ARLP,11:01,11.34,11.34,11.34,11.34,11.34,460,4
20200102,ARLP,11:03,11.34,11.34,11.34,11.34,11.34,572,5
20200102,ARLP,11:04,11.35,11.35,11.35,11.35,11.35,2626,14
20200102,ARLP,11:05,11.3450,11.37,11.3450,11.37,11.35296,2700,8
20200102,ARLP,11:06,11.36,11.36,11.36,11.36,11.36,1000,3
20200102,ARLP,11:07,11.37,11.38,11.37,11.38,11.37909,1100,5
20200102,ARLP,11:08,11.39,11.41,11.39,11.41,11.39571,700,5
20200102,ARLP,11:09,11.43,11.43,11.42,11.42,11.4232,938,7
20200102,ARLP,11:10,11.43,11.44,11.43,11.44,11.43309,434,3
20200102,ARLP,11:11,11.4250,11.4250,11.4250,11.4250,11.425,104,1
20200102,ARLP,11:12,11.43,11.43,11.4050,11.4050,11.41929,700,7
20200102,ARLP,11:13,11.4050,11.4050,11.4050,11.4050,11.405,100,1
20200102,ARLP,11:14,11.42,11.42,11.42,11.42,11.42,500,5
20200102,ARLP,11:15,11.41,11.41,11.41,11.41,11.41,302,1
20200102,ARLP,11:16,11.42,11.42,11.42,11.42,11.42,100,1
20200102,ARLP,11:17,11.42,11.42,11.4050,11.4050,11.41194,1800,16
20200102,ARLP,11:18,11.40,11.41,11.40,11.40,11.40571,1400,5
20200102,ARLP,11:20,11.41,11.41,11.41,11.41,11.41,405,3
20200102,ARLP,11:22,11.42,11.42,11.42,11.42,11.42,814,5
20200102,ARLP,11:23,11.43,11.43,11.43,11.43,11.43,200,2
20200102,ARLP,11:24,11.43,11.43,11.43,11.43,11.43,2284,10
20200102,ARLP,11:25,11.43,11.43,11.43,11.43,11.43,300,3
20200102,ARLP,11:26,11.43,11.43,11.43,11.43,11.43,100,1
20200102,ARLP,11:28,11.4350,11.4350,11.43,11.43,11.4325,200,2
20200102,ARLP,11:29,11.4350,11.4350,11.4350,11.4350,11.435,100,1
20200102,ARLP,11:31,11.43,11.43,11.43,11.43,11.43,700,3
20200102,ARLP,11:32,11.43,11.43,11.43,11.43,11.43,100,1
20200102,ARLP,11:34,11.43,11.43,11.43,11.43,11.43,500,5
