Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AROC,09:30,10.09,10.13,10.09,10.13,10.09186,17697,8
20200102,AROC,09:31,10.10,10.10,10.10,10.10,10.10,228,2
20200102,AROC,09:32,10.11,10.14,10.11,10.14,10.12796,668,5
20200102,AROC,09:33,10.14,10.15,10.14,10.15,10.14851,6700,11
20200102,AROC,09:34,10.16,10.16,10.1250,10.1250,10.1425,1400,9
20200102,AROC,09:35,10.11,10.11,10.09,10.10,10.10455,1100,11
20200102,AROC,09:36,10.12,10.15,10.12,10.15,10.13941,1365,11
20200102,AROC,09:37,10.15,10.17,10.15,10.15,10.16109,9888,15
20200102,AROC,09:38,10.14,10.1450,10.14,10.1450,10.14091,1099,10
20200102,AROC,09:39,10.15,10.15,10.14,10.14,10.14752,1977,15
20200102,AROC,09:40,10.13,10.14,10.13,10.14,10.135,400,3
20200102,AROC,09:41,10.13,10.13,10.10,10.10,10.12072,5395,25
20200102,AROC,09:42,10.12,10.12,10.12,10.12,10.12,400,3
20200102,AROC,09:43,10.12,10.13,10.11,10.11,10.11867,1500,10
20200102,AROC,09:44,10.10,10.11,10.10,10.11,10.10429,700,5
20200102,AROC,09:45,10.11,10.12,10.11,10.12,10.11775,645,5
20200102,AROC,09:46,10.12,10.12,10.12,10.12,10.12,2000,7
20200102,AROC,09:47,10.1150,10.1150,10.1150,10.1150,10.115,100,1
20200102,AROC,09:48,10.11,10.1150,10.11,10.11,10.11079,5047,22
20200102,AROC,09:49,10.10,10.11,10.10,10.11,10.10557,2256,16
20200102,AROC,09:50,10.10,10.10,10.07,10.07,10.08387,3100,17
20200102,AROC,09:51,10.08,10.0850,10.08,10.08,10.08014,3658,24
20200102,AROC,09:52,10.0850,10.09,10.0850,10.09,10.089,500,5
20200102,AROC,09:53,10.09,10.0950,10.09,10.09,10.09071,1400,11
20200102,AROC,09:54,10.09,10.10,10.09,10.0950,10.09611,900,5
20200102,AROC,09:55,10.0950,10.10,10.09,10.10,10.09366,4012,28
20200102,AROC,09:56,10.11,10.11,10.0950,10.10,10.10085,2500,15
20200102,AROC,09:57,10.10,10.12,10.10,10.12,10.1041,3219,21
20200102,AROC,09:58,10.1150,10.1150,10.09,10.09,10.10623,2253,15
20200102,AROC,09:59,10.10,10.11,10.10,10.11,10.1044,3010,18
20200102,AROC,10:00,10.11,10.12,10.11,10.11,10.11078,1290,9
20200102,AROC,10:01,10.10,10.10,10.10,10.10,10.10,600,5
20200102,AROC,10:02,10.08,10.08,10.07,10.07,10.07333,1800,15
20200102,AROC,10:03,10.08,10.09,10.08,10.09,10.08285,1052,7
20200102,AROC,10:04,10.0950,10.0950,10.0950,10.0950,10.095,500,4
20200102,AROC,10:05,10.0950,10.10,10.09,10.09,10.09589,6587,41
20200102,AROC,10:06,10.09,10.09,10.0750,10.0750,10.08437,800,7
20200102,AROC,10:07,10.08,10.08,10.08,10.08,10.08,1900,17
20200102,AROC,10:08,10.08,10.08,10.08,10.08,10.08,900,6
20200102,AROC,10:10,10.08,10.08,10.08,10.08,10.08,269,2
20200102,AROC,10:11,10.08,10.09,10.08,10.09,10.08391,1536,9
20200102,AROC,10:12,10.0850,10.10,10.0850,10.10,10.08937,3318,29
20200102,AROC,10:13,10.0950,10.0950,10.0950,10.0950,10.095,100,1
20200102,AROC,10:14,10.10,10.10,10.0950,10.0950,10.09833,300,3
20200102,AROC,10:15,10.10,10.10,10.05,10.06,10.08839,9465,60
20200102,AROC,10:16,10.05,10.06,10.05,10.0550,10.05489,716,7
20200102,AROC,10:17,10.05,10.0550,10.04,10.0550,10.04827,2600,17
20200102,AROC,10:18,10.05,10.06,10.05,10.06,10.05451,1480,9
20200102,AROC,10:19,10.0650,10.0650,10.0650,10.0650,10.065,100,1
20200102,AROC,10:20,10.07,10.07,10.06,10.0650,10.0651,1517,12
20200102,AROC,10:21,10.07,10.0750,10.07,10.07,10.07084,1860,13
20200102,AROC,10:22,10.07,10.07,10.06,10.06,10.06545,653,5
20200102,AROC,10:23,10.06,10.06,10.04,10.04,10.04949,2635,16
20200102,AROC,10:24,10.04,10.05,10.03,10.04,10.04088,5808,33
20200102,AROC,10:25,10.04,10.04,10.03,10.03,10.0324,1250,9
20200102,AROC,10:26,10.02,10.02,10.01,10.01,10.01625,400,4
20200102,AROC,10:27,10.0150,10.0150,10.0050,10.01,10.01164,3348,18
20200102,AROC,10:28,10.01,10.02,10.01,10.02,10.01798,1488,13
20200102,AROC,10:29,10.0150,10.02,10.0150,10.02,10.0175,200,2
20200102,AROC,10:30,10.03,10.0350,10.02,10.02,10.02883,2985,14
20200102,AROC,10:31,10.02,10.03,10.02,10.03,10.02538,1300,9
20200102,AROC,10:32,10.03,10.05,10.03,10.05,10.03732,4488,17
20200102,AROC,10:33,10.06,10.06,10.06,10.06,10.06,1913,14
20200102,AROC,10:34,10.05,10.05,10.05,10.05,10.05,400,4
20200102,AROC,10:35,10.04,10.04,10.04,10.04,10.04,200,2
20200102,AROC,10:36,10.04,10.05,10.04,10.05,10.0425,800,4
20200102,AROC,10:37,10.05,10.0550,10.05,10.05,10.05085,2938,17
20200102,AROC,10:38,10.0450,10.08,10.0450,10.07,10.06163,8621,59
20200102,AROC,10:39,10.06,10.06,10.05,10.05,10.05667,1200,12
20200102,AROC,10:40,10.05,10.0550,10.05,10.0550,10.05064,777,4
20200102,AROC,10:41,10.07,10.07,10.07,10.07,10.07,400,2
20200102,AROC,10:42,10.07,10.07,10.06,10.06,10.065,200,2
20200102,AROC,10:43,10.06,10.06,10.06,10.06,10.06,700,6
20200102,AROC,10:44,10.05,10.05,10.05,10.05,10.05,263,2
20200102,AROC,10:45,10.0550,10.0550,10.0550,10.0550,10.055,100,1
20200102,AROC,10:46,10.06,10.07,10.06,10.07,10.06918,2426,15
20200102,AROC,10:47,10.07,10.07,10.07,10.07,10.07,446,3
20200102,AROC,10:48,10.07,10.07,10.07,10.07,10.07,300,2
20200102,AROC,10:49,10.08,10.09,10.08,10.09,10.08364,1100,7
20200102,AROC,10:50,10.09,10.09,10.0850,10.0850,10.08667,300,3
20200102,AROC,10:51,10.08,10.08,10.0750,10.08,10.07983,2969,22
20200102,AROC,10:52,10.0750,10.0750,10.07,10.07,10.07024,2121,17
20200102,AROC,10:53,10.07,10.07,10.07,10.07,10.07,200,2
20200102,AROC,10:54,10.07,10.08,10.07,10.08,10.07663,297,2
