Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ARTL,09:28,2.78,2.78,2.78,2.78,2.78,100,1
20200102,ARTL,09:30,2.88,2.88,2.88,2.88,2.88,800,1
20200102,ARTL,09:31,2.71,2.71,2.71,2.71,2.71,100,1
20200102,ARTL,09:58,2.76,2.76,2.76,2.76,2.76,100,1
20200102,ARTL,10:16,2.75,2.75,2.75,2.75,2.75,400,2
20200102,ARTL,10:22,2.71,2.71,2.66,2.66,2.694,1000,4
20200102,ARTL,10:23,2.59,2.59,2.58,2.58,2.58333,300,2
20200102,ARTL,10:26,2.62,2.62,2.62,2.62,2.62,1000,3
20200102,ARTL,10:37,2.65,2.65,2.62,2.62,2.626,500,3
20200102,ARTL,11:02,2.63,2.63,2.63,2.63,2.63,1160,4
20200102,ARTL,11:10,2.67,2.73,2.67,2.73,2.68111,899,7
20200102,ARTL,11:11,2.73,2.74,2.73,2.74,2.73889,1805,5
20200102,ARTL,11:12,2.8350,2.8350,2.83,2.83,2.8307,716,6
20200102,ARTL,11:13,2.78,2.78,2.78,2.78,2.78,200,2
20200102,ARTL,11:19,2.79,2.83,2.79,2.83,2.82669,2415,11
20200102,ARTL,11:40,2.73,2.73,2.73,2.73,2.73,300,1
20200102,ARTL,13:26,2.77,2.77,2.77,2.77,2.77,1000,2
20200102,ARTL,13:27,2.77,2.77,2.77,2.77,2.77,445,1
20200102,ARTL,13:29,2.77,2.77,2.77,2.77,2.77,2055,4
20200102,ARTL,15:01,2.74,2.74,2.72,2.72,2.731,1000,9
20200102,ARTL,15:15,2.72,2.72,2.72,2.72,2.72,598,1
20200102,ARTL,15:27,2.73,2.73,2.73,2.73,2.73,577,5
20200102,ARTL,15:39,2.73,2.73,2.73,2.73,2.73,150,1
20200102,ARTL,15:51,2.77,2.77,2.77,2.77,2.77,768,1
