Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ARWR,07:20,63.52,63.52,63.51,63.51,63.51444,450,2
20200102,ARWR,08:04,63.74,63.74,63.74,63.74,63.74,100,1
20200102,ARWR,08:05,63.74,63.74,63.74,63.74,63.74,100,1
20200102,ARWR,08:11,63.75,63.75,63.75,63.75,63.75,500,2
20200102,ARWR,08:22,63.60,63.60,63.60,63.60,63.60,905,1
20200102,ARWR,09:23,63.55,63.55,63.55,63.55,63.55,100,1
20200102,ARWR,09:30,63.62,64.00,62.66,62.66,63.58418,32267,60
20200102,ARWR,09:31,62.50,62.59,60.75,61.20,61.6653,35464,171
20200102,ARWR,09:32,60.95,62.21,60.95,62.21,61.40619,4297,28
20200102,ARWR,09:33,61.93,62.39,61.87,62.39,62.21961,8922,69
20200102,ARWR,09:34,62.60,62.90,62.60,62.67,62.70251,5131,21
20200102,ARWR,09:35,62.55,62.88,62.54,62.54,62.66143,700,6
20200102,ARWR,09:36,62.70,62.90,62.56,62.60,62.77154,1300,13
20200102,ARWR,09:37,62.77,62.77,62.54,62.70,62.62778,900,9
20200102,ARWR,09:38,62.49,62.77,62.32,62.52,62.45741,1350,11
20200102,ARWR,09:39,62.79,62.79,62.17,62.17,62.32627,957,6
20200102,ARWR,09:40,62.02,62.17,62.02,62.17,62.03792,901,9
20200102,ARWR,09:41,62.02,62.10,61.75,61.75,62.00846,4618,32
20200102,ARWR,09:42,61.57,62.08,61.55,62.08,61.65107,2800,28
20200102,ARWR,09:43,62.14,62.20,61.73,61.73,62.01612,7320,28
20200102,ARWR,09:44,61.90,61.90,61.72,61.76,61.75486,2510,19
20200102,ARWR,09:45,61.72,61.85,61.61,61.7750,61.72553,3233,28
20200102,ARWR,09:46,61.74,61.74,61.52,61.73,61.60326,5230,45
20200102,ARWR,09:47,61.63,61.74,61.52,61.6050,61.63961,2289,14
20200102,ARWR,09:48,61.52,61.59,61.52,61.58,61.53209,4412,31
20200102,ARWR,09:49,61.63,61.67,61.40,61.62,61.56012,7377,64
20200102,ARWR,09:50,61.60,61.61,61.33,61.56,61.50589,2923,27
20200102,ARWR,09:51,61.64,61.9050,61.64,61.70,61.78082,12826,56
20200102,ARWR,09:52,61.83,62.06,61.78,62.03,61.86056,4301,17
20200102,ARWR,09:53,62.06,62.16,61.96,62.01,62.02152,4804,43
20200102,ARWR,09:54,62.14,62.19,62.14,62.19,62.165,200,2
20200102,ARWR,09:55,62.19,62.50,62.19,62.50,62.31782,1880,16
20200102,ARWR,09:56,62.58,62.58,62.32,62.32,62.40577,1300,13
20200102,ARWR,09:57,62.35,62.44,62.28,62.38,62.36778,900,8
20200102,ARWR,09:58,62.38,62.40,62.1250,62.40,62.34795,1681,12
20200102,ARWR,09:59,62.40,62.40,62.11,62.37,62.3419,2100,15
20200102,ARWR,10:00,62.25,62.27,62.25,62.27,62.2575,400,4
20200102,ARWR,10:01,62.37,62.37,62.37,62.37,62.37,100,1
20200102,ARWR,10:02,62.3850,62.49,62.3850,62.46,62.45786,700,6
20200102,ARWR,10:03,62.55,62.84,62.55,62.82,62.67673,2033,13
20200102,ARWR,10:04,62.82,63.00,62.82,63.00,62.83179,6174,12
20200102,ARWR,10:05,62.92,63.10,62.90,62.93,62.99258,3100,29
20200102,ARWR,10:06,63.00,63.13,62.9350,63.13,63.00661,984,7
20200102,ARWR,10:07,63.06,63.06,63.00,63.00,63.04,400,4
20200102,ARWR,10:08,62.94,62.9450,62.94,62.94,62.94167,300,3
20200102,ARWR,10:09,63.03,63.03,62.97,62.97,62.99571,700,7
20200102,ARWR,10:10,62.90,63.10,62.90,63.01,62.97215,860,5
20200102,ARWR,10:11,62.90,62.97,62.83,62.88,62.88668,1201,10
20200102,ARWR,10:12,62.9750,63.01,62.96,62.96,62.97727,550,4
20200102,ARWR,10:13,62.95,63.04,62.91,62.96,62.97364,2200,21
20200102,ARWR,10:14,63.03,63.03,62.95,63.00,62.98125,2513,17
20200102,ARWR,10:15,62.96,62.96,62.93,62.93,62.95,300,3
20200102,ARWR,10:16,62.95,62.95,62.95,62.95,62.95,100,1
20200102,ARWR,10:17,62.97,63.34,62.97,63.34,63.162,3000,25
20200102,ARWR,10:18,63.33,63.33,63.07,63.15,63.17112,2526,23
20200102,ARWR,10:19,63.05,63.16,63.04,63.16,63.08833,600,4
