Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ASA,09:30,13.75,13.75,13.75,13.75,13.75,2441,1
20200102,ASA,09:31,13.78,13.78,13.78,13.78,13.78,100,1
20200102,ASA,09:32,13.78,13.78,13.78,13.78,13.78,750,4
20200102,ASA,09:34,13.78,13.79,13.78,13.79,13.78667,300,3
20200102,ASA,09:35,13.80,13.80,13.80,13.80,13.80,1050,5
20200102,ASA,09:42,13.83,13.83,13.82,13.82,13.826,500,4
20200102,ASA,09:43,13.82,13.82,13.82,13.82,13.82,100,1
20200102,ASA,09:45,13.81,13.81,13.81,13.81,13.81,650,2
20200102,ASA,09:46,13.78,13.78,13.78,13.78,13.78,400,1
20200102,ASA,09:47,13.80,13.80,13.78,13.78,13.79,1100,4
20200102,ASA,09:49,13.78,13.78,13.78,13.78,13.78,1378,2
20200102,ASA,09:57,13.72,13.72,13.71,13.71,13.715,200,2
20200102,ASA,10:04,13.74,13.74,13.74,13.74,13.74,100,1
20200102,ASA,10:05,13.75,13.75,13.75,13.75,13.75,1859,3
20200102,ASA,10:08,13.77,13.77,13.77,13.77,13.77,1409,3
20200102,ASA,10:13,13.75,13.75,13.75,13.75,13.75,2048,6
20200102,ASA,10:29,13.83,13.85,13.83,13.85,13.84,400,2
20200102,ASA,10:39,13.85,13.85,13.85,13.85,13.85,500,1
20200102,ASA,10:53,13.88,13.88,13.88,13.88,13.88,200,2
20200102,ASA,10:54,13.85,13.85,13.85,13.85,13.85,100,1
20200102,ASA,11:08,13.85,13.85,13.83,13.83,13.84,400,4
20200102,ASA,11:11,13.83,13.83,13.81,13.81,13.81667,600,4
20200102,ASA,11:23,13.82,13.82,13.82,13.82,13.82,1050,5
20200102,ASA,11:24,13.81,13.81,13.78,13.78,13.79071,280,2
20200102,ASA,11:28,13.79,13.79,13.77,13.77,13.78333,300,3
20200102,ASA,11:29,13.76,13.76,13.76,13.76,13.76,100,1
20200102,ASA,11:30,13.76,13.76,13.76,13.76,13.76,100,1
20200102,ASA,11:39,13.79,13.79,13.79,13.79,13.79,100,1
20200102,ASA,11:47,13.76,13.76,13.76,13.76,13.76,100,1
20200102,ASA,11:48,13.76,13.76,13.76,13.76,13.76,100,1
20200102,ASA,11:54,13.76,13.76,13.76,13.76,13.76,200,2
20200102,ASA,11:55,13.76,13.76,13.75,13.75,13.754,250,2
20200102,ASA,12:03,13.74,13.74,13.71,13.71,13.716,500,5
20200102,ASA,12:06,13.70,13.70,13.70,13.70,13.70,100,1
20200102,ASA,12:09,13.70,13.70,13.70,13.70,13.70,300,3
20200102,ASA,12:14,13.72,13.72,13.72,13.72,13.72,405,3
20200102,ASA,12:20,13.69,13.69,13.68,13.68,13.685,300,3
20200102,ASA,12:21,13.69,13.69,13.68,13.69,13.68208,2648,8
20200102,ASA,12:22,13.68,13.68,13.67,13.67,13.67375,800,6
20200102,ASA,12:25,13.69,13.69,13.66,13.66,13.66334,2514,5
20200102,ASA,12:28,13.65,13.65,13.63,13.63,13.6355,2000,6
20200102,ASA,12:32,13.66,13.66,13.65,13.65,13.656,500,5
20200102,ASA,13:07,13.67,13.67,13.67,13.67,13.67,200,2
20200102,ASA,13:10,13.6750,13.6750,13.6750,13.6750,13.675,100,1
20200102,ASA,13:13,13.67,13.67,13.67,13.67,13.67,1315,3
20200102,ASA,13:15,13.67,13.67,13.67,13.67,13.67,100,1
20200102,ASA,13:20,13.66,13.66,13.66,13.66,13.66,100,1
20200102,ASA,13:23,13.68,13.68,13.68,13.68,13.68,100,1
20200102,ASA,13:28,13.69,13.69,13.69,13.69,13.69,200,2
20200102,ASA,13:33,13.67,13.67,13.67,13.67,13.67,900,8
20200102,ASA,13:35,13.67,13.67,13.67,13.67,13.67,500,4
20200102,ASA,13:41,13.68,13.69,13.68,13.69,13.68857,700,5
20200102,ASA,13:42,13.70,13.70,13.70,13.70,13.70,100,1
20200102,ASA,13:47,13.72,13.72,13.72,13.72,13.72,100,1
20200102,ASA,13:57,13.72,13.72,13.72,13.72,13.72,100,1
20200102,ASA,13:59,13.72,13.72,13.72,13.72,13.72,100,1
20200102,ASA,14:12,13.73,13.73,13.73,13.73,13.73,100,1
20200102,ASA,14:18,13.74,13.74,13.74,13.74,13.74,100,1
20200102,ASA,14:22,13.74,13.74,13.74,13.74,13.74,100,1
20200102,ASA,14:26,13.74,13.74,13.74,13.74,13.74,100,1
20200102,ASA,14:29,13.74,13.74,13.74,13.74,13.74,100,1
20200102,ASA,14:30,13.71,13.71,13.71,13.71,13.71,100,1
20200102,ASA,14:33,13.71,13.71,13.71,13.71,13.71,900,9
20200102,ASA,14:39,13.7050,13.71,13.7050,13.71,13.70857,700,4
20200102,ASA,14:40,13.72,13.73,13.72,13.73,13.725,400,3
20200102,ASA,14:56,13.73,13.73,13.73,13.73,13.73,200,2
20200102,ASA,14:57,13.72,13.72,13.70,13.70,13.71,200,2
20200102,ASA,15:06,13.70,13.70,13.69,13.69,13.69818,550,3
20200102,ASA,15:36,13.73,13.74,13.72,13.74,13.73643,1400,7
20200102,ASA,15:40,13.74,13.74,13.74,13.74,13.74,200,2
20200102,ASA,15:44,13.74,13.75,13.74,13.75,13.74583,1030,4
20200102,ASA,15:51,13.76,13.76,13.76,13.76,13.76,100,1
20200102,ASA,15:59,13.75,13.78,13.75,13.77,13.76145,1861,13
20200102,ASA,16:03,13.70,13.70,13.70,13.70,13.70,1004,1
