Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ASB,09:30,22.13,22.13,22.04,22.07,22.11888,11041,16
20200102,ASB,09:31,22.06,22.11,22.01,22.04,22.04915,5137,36
20200102,ASB,09:32,22.05,22.08,22.05,22.08,22.05429,700,4
20200102,ASB,09:33,22.09,22.13,22.09,22.12,22.0968,2058,14
20200102,ASB,09:34,22.12,22.13,22.10,22.10,22.12,500,5
20200102,ASB,09:35,22.07,22.10,22.07,22.10,22.09309,5685,14
20200102,ASB,09:36,22.10,22.10,22.09,22.09,22.09628,637,6
20200102,ASB,09:37,22.12,22.12,22.09,22.09,22.096,500,3
20200102,ASB,09:38,22.0750,22.0750,22.04,22.06,22.0585,1000,9
20200102,ASB,09:39,22.07,22.08,22.07,22.08,22.075,200,2
20200102,ASB,09:40,22.08,22.10,22.08,22.09,22.09038,1060,10
20200102,ASB,09:41,22.07,22.08,22.05,22.05,22.06844,3200,24
20200102,ASB,09:42,22.06,22.07,22.06,22.06,22.06455,550,4
20200102,ASB,09:43,22.07,22.07,22.07,22.07,22.07,100,1
20200102,ASB,09:44,22.06,22.06,22.06,22.06,22.06,139,1
20200102,ASB,09:45,22.06,22.07,22.06,22.07,22.06833,600,6
20200102,ASB,09:46,22.06,22.06,22.05,22.05,22.05706,850,6
20200102,ASB,09:47,22.04,22.04,22.03,22.04,22.03532,1174,10
20200102,ASB,09:48,22.04,22.04,22.04,22.04,22.04,100,1
20200102,ASB,09:49,22.04,22.04,22.02,22.02,22.02944,900,8
20200102,ASB,09:50,22.02,22.02,22.0150,22.0150,22.0175,200,2
20200102,ASB,09:51,22.00,22.01,21.99,21.99,22.00267,1500,14
20200102,ASB,09:52,22.00,22.00,21.99,22.00,21.99873,1577,12
20200102,ASB,09:53,21.9850,21.9850,21.9850,21.9850,21.985,100,1
20200102,ASB,09:54,21.99,22.00,21.99,21.99,21.9911,909,8
20200102,ASB,09:55,21.99,22.01,21.99,22.01,21.99667,900,8
20200102,ASB,09:56,21.9950,22.02,21.99,22.02,22.00143,700,7
20200102,ASB,09:57,22.01,22.01,22.01,22.01,22.01,500,4
20200102,ASB,09:58,22.00,22.00,22.00,22.00,22.00,400,3
20200102,ASB,09:59,22.00,22.01,22.00,22.01,22.0025,400,4
20200102,ASB,10:00,22.00,22.01,22.00,22.00,22.00199,502,4
20200102,ASB,10:01,21.99,21.99,21.9850,21.99,21.98973,1847,16
20200102,ASB,10:02,21.98,21.99,21.98,21.98,21.98273,1100,11
20200102,ASB,10:03,21.99,21.99,21.98,21.98,21.98692,1950,16
20200102,ASB,10:04,21.99,21.99,21.99,21.99,21.99,500,5
20200102,ASB,10:05,21.98,21.98,21.97,21.97,21.975,600,5
20200102,ASB,10:06,21.97,21.97,21.97,21.97,21.97,400,4
20200102,ASB,10:07,21.97,21.97,21.97,21.97,21.97,600,6
20200102,ASB,10:08,21.98,21.98,21.98,21.98,21.98,400,4
20200102,ASB,10:09,21.98,21.98,21.98,21.98,21.98,500,5
20200102,ASB,10:10,21.99,21.99,21.98,21.98,21.98394,254,2
20200102,ASB,10:11,21.97,21.97,21.97,21.97,21.97,400,3
20200102,ASB,10:12,21.95,21.95,21.9450,21.9450,21.9475,200,2
20200102,ASB,10:13,21.94,21.94,21.93,21.93,21.93365,787,6
20200102,ASB,10:14,21.94,21.95,21.94,21.95,21.94727,1100,8
20200102,ASB,10:15,21.94,21.94,21.92,21.92,21.92832,1746,13
20200102,ASB,10:16,21.93,21.94,21.93,21.93,21.93143,1400,8
20200102,ASB,10:17,21.92,21.9250,21.90,21.92,21.91003,2596,18
20200102,ASB,10:18,21.92,21.92,21.92,21.92,21.92,400,4
20200102,ASB,10:19,21.93,21.93,21.93,21.93,21.93,100,1
20200102,ASB,10:20,21.93,21.93,21.93,21.93,21.93,100,1
20200102,ASB,10:21,21.9350,21.94,21.9350,21.94,21.93651,1291,5
20200102,ASB,10:22,21.96,21.96,21.95,21.95,21.95106,946,8
20200102,ASB,10:23,21.94,21.94,21.92,21.92,21.92281,1600,12
20200102,ASB,10:24,21.91,21.9150,21.91,21.9150,21.9125,200,2
20200102,ASB,10:25,21.91,21.91,21.90,21.90,21.90314,954,8
20200102,ASB,10:26,21.90,21.90,21.90,21.90,21.90,1400,10
20200102,ASB,10:27,21.89,21.90,21.89,21.89,21.8925,600,4
20200102,ASB,10:28,21.89,21.90,21.89,21.89,21.8925,1200,10
20200102,ASB,10:29,21.89,21.89,21.89,21.89,21.89,1800,12
20200102,ASB,10:30,21.90,21.90,21.88,21.89,21.89308,1300,10
20200102,ASB,10:31,21.88,21.88,21.8750,21.8750,21.87833,600,6
20200102,ASB,10:32,21.87,21.87,21.86,21.87,21.86866,748,7
20200102,ASB,10:33,21.86,21.87,21.86,21.87,21.865,600,5
20200102,ASB,10:34,21.87,21.89,21.87,21.89,21.88,600,6
20200102,ASB,10:36,21.90,21.90,21.89,21.89,21.8925,400,4
20200102,ASB,10:37,21.89,21.89,21.88,21.88,21.88636,2200,12
20200102,ASB,10:38,21.8650,21.8650,21.86,21.86,21.86165,303,3
20200102,ASB,10:39,21.86,21.86,21.86,21.86,21.86,1094,8
20200102,ASB,10:40,21.86,21.86,21.86,21.86,21.86,200,2
20200102,ASB,10:41,21.86,21.87,21.86,21.87,21.86167,600,5
20200102,ASB,10:42,21.87,21.87,21.87,21.87,21.87,300,3
20200102,ASB,10:43,21.87,21.87,21.87,21.87,21.87,1437,11
20200102,ASB,10:44,21.87,21.87,21.87,21.87,21.87,700,5
20200102,ASB,10:45,21.87,21.87,21.87,21.87,21.87,100,1
20200102,ASB,10:46,21.87,21.87,21.87,21.87,21.87,250,2
20200102,ASB,10:47,21.87,21.87,21.87,21.87,21.87,2400,19
20200102,ASB,10:48,21.87,21.87,21.85,21.86,21.86268,2241,21
20200102,ASB,10:49,21.87,21.88,21.87,21.88,21.87187,800,7
20200102,ASB,10:50,21.88,21.90,21.88,21.90,21.88692,1300,12
20200102,ASB,10:51,21.89,21.89,21.89,21.89,21.89,1200,12
20200102,ASB,10:52,21.90,21.90,21.90,21.90,21.90,200,2
20200102,ASB,10:53,21.90,21.90,21.90,21.90,21.90,200,2
20200102,ASB,10:54,21.90,21.91,21.90,21.91,21.90633,2634,20
20200102,ASB,10:56,21.92,21.92,21.92,21.92,21.92,491,2
20200102,ASB,10:57,21.92,21.92,21.92,21.92,21.92,400,3
20200102,ASB,10:58,21.92,21.93,21.92,21.93,21.92182,1100,9
20200102,ASB,10:59,21.93,21.93,21.92,21.92,21.92875,800,5
20200102,ASB,11:00,21.92,21.93,21.92,21.93,21.925,800,6
20200102,ASB,11:01,21.94,21.94,21.93,21.93,21.9325,400,3
20200102,ASB,11:02,21.93,21.9350,21.92,21.92,21.92844,1600,12
20200102,ASB,11:03,21.92,21.92,21.90,21.90,21.90947,2486,18
20200102,ASB,11:04,21.90,21.90,21.90,21.90,21.90,100,1
20200102,ASB,11:05,21.90,21.90,21.89,21.89,21.89398,498,4
20200102,ASB,11:06,21.90,21.90,21.89,21.89,21.89469,320,3
20200102,ASB,11:07,21.90,21.90,21.89,21.90,21.89883,1713,13
20200102,ASB,11:08,21.89,21.89,21.8750,21.88,21.88145,2468,21
20200102,ASB,11:09,21.89,21.90,21.8850,21.8950,21.89348,2300,17
20200102,ASB,11:10,21.90,21.91,21.90,21.91,21.905,200,2
20200102,ASB,11:11,21.9050,21.9050,21.9050,21.9050,21.905,200,2
20200102,ASB,11:12,21.91,21.92,21.9050,21.91,21.91195,2308,19
20200102,ASB,11:13,21.91,21.91,21.90,21.90,21.905,600,5
20200102,ASB,11:14,21.90,21.9050,21.90,21.9050,21.90034,1485,10
20200102,ASB,11:15,21.90,21.90,21.90,21.90,21.90,900,5
20200102,ASB,11:16,21.90,21.90,21.90,21.90,21.90,1300,13
20200102,ASB,11:17,21.90,21.90,21.90,21.90,21.90,700,4
20200102,ASB,11:18,21.90,21.90,21.90,21.90,21.90,100,1
20200102,ASB,11:19,21.8950,21.8950,21.89,21.89,21.89118,850,6
20200102,ASB,11:20,21.89,21.89,21.89,21.89,21.89,210,2
20200102,ASB,11:21,21.89,21.89,21.89,21.89,21.89,1032,9
20200102,ASB,11:23,21.90,21.9050,21.90,21.9050,21.90096,1044,7
20200102,ASB,11:24,21.91,21.92,21.91,21.92,21.91667,450,4
20200102,ASB,11:25,21.92,21.92,21.91,21.91,21.91831,883,7
20200102,ASB,11:26,21.91,21.91,21.89,21.89,21.90484,1550,14
20200102,ASB,11:27,21.90,21.90,21.8950,21.8950,21.89977,2145,16
20200102,ASB,11:28,21.90,21.91,21.90,21.91,21.90875,800,6
20200102,ASB,11:29,21.92,21.93,21.92,21.93,21.926,1000,6
20200102,ASB,11:30,21.93,21.93,21.93,21.93,21.93,700,5
20200102,ASB,11:31,21.93,21.93,21.93,21.93,21.93,500,4
