Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ASC,09:30,9.14,9.14,9.09,9.09,9.13816,5429,3
20200102,ASC,09:32,9.09,9.09,9.09,9.09,9.09,100,1
20200102,ASC,09:34,9.16,9.20,9.16,9.17,9.17667,300,3
20200102,ASC,09:35,9.16,9.16,9.16,9.16,9.16,100,1
20200102,ASC,09:36,9.17,9.17,9.17,9.17,9.17,300,2
20200102,ASC,09:37,9.17,9.17,9.15,9.15,9.1648,1384,10
20200102,ASC,09:38,9.17,9.20,9.16,9.19,9.181,1000,9
20200102,ASC,09:39,9.19,9.19,9.19,9.19,9.19,600,5
20200102,ASC,09:40,9.18,9.18,9.18,9.18,9.18,300,3
20200102,ASC,09:42,9.19,9.19,9.19,9.19,9.19,2100,9
20200102,ASC,09:45,9.19,9.19,9.19,9.19,9.19,900,3
20200102,ASC,09:47,9.19,9.19,9.18,9.18,9.184,500,3
20200102,ASC,09:49,9.17,9.17,9.17,9.17,9.17,568,4
20200102,ASC,09:50,9.16,9.16,9.15,9.15,9.15524,1050,4
20200102,ASC,09:51,9.14,9.15,9.12,9.12,9.13917,2400,15
20200102,ASC,09:52,9.15,9.17,9.15,9.16,9.1555,1000,5
20200102,ASC,09:57,9.19,9.19,9.18,9.18,9.1876,2500,11
20200102,ASC,09:58,9.16,9.16,9.16,9.16,9.16,200,2
20200102,ASC,09:59,9.16,9.16,9.16,9.16,9.16,200,2
20200102,ASC,10:00,9.15,9.15,9.15,9.15,9.15,700,4
20200102,ASC,10:01,9.14,9.16,9.14,9.16,9.15143,700,4
20200102,ASC,10:02,9.15,9.15,9.15,9.15,9.15,850,4
20200102,ASC,10:04,9.14,9.14,9.13,9.13,9.1375,400,2
20200102,ASC,10:05,9.13,9.13,9.13,9.13,9.13,300,3
20200102,ASC,10:06,9.13,9.14,9.11,9.11,9.12125,2400,13
20200102,ASC,10:07,9.11,9.11,9.09,9.09,9.10118,1700,13
20200102,ASC,10:10,9.11,9.11,9.10,9.10,9.104,250,2
20200102,ASC,10:11,9.09,9.09,9.09,9.09,9.09,600,3
20200102,ASC,10:16,9.04,9.04,9.04,9.04,9.04,200,2
20200102,ASC,10:23,9.04,9.04,9.04,9.04,9.04,100,1
20200102,ASC,10:24,9.04,9.04,8.99,8.99,9.02786,1404,6
20200102,ASC,10:27,9.00,9.00,9.00,9.00,9.00,200,1
20200102,ASC,10:28,9.02,9.02,9.02,9.02,9.02,100,1
