Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ASG,09:30,6.50,6.50,6.50,6.50,6.50,5264,1
20200102,ASG,09:31,6.47,6.47,6.45,6.45,6.45183,1101,2
20200102,ASG,09:34,6.49,6.49,6.49,6.49,6.49,800,2
20200102,ASG,09:44,6.50,6.50,6.50,6.50,6.50,100,1
20200102,ASG,09:47,6.49,6.50,6.49,6.50,6.49896,964,9
20200102,ASG,10:02,6.50,6.50,6.50,6.50,6.50,900,5
20200102,ASG,10:05,6.50,6.50,6.49,6.49,6.49084,1194,3
20200102,ASG,10:37,6.49,6.49,6.49,6.49,6.49,1258,1
20200102,ASG,11:39,6.48,6.48,6.43,6.43,6.4513,4011,13
20200102,ASG,11:40,6.42,6.42,6.40,6.40,6.40393,5348,11
20200102,ASG,12:01,6.40,6.40,6.40,6.40,6.40,1000,5
20200102,ASG,12:06,6.42,6.42,6.41,6.41,6.41288,1041,6
20200102,ASG,12:18,6.44,6.44,6.44,6.44,6.44,1338,3
20200102,ASG,12:20,6.45,6.45,6.45,6.45,6.45,900,1
20200102,ASG,13:16,6.43,6.43,6.43,6.43,6.43,500,3
20200102,ASG,13:26,6.42,6.42,6.42,6.42,6.42,1800,4
20200102,ASG,13:27,6.43,6.44,6.43,6.44,6.43256,672,6
20200102,ASG,13:33,6.45,6.45,6.45,6.45,6.45,1268,2
20200102,ASG,13:34,6.45,6.45,6.44,6.44,6.44054,5509,4
20200102,ASG,13:45,6.44,6.44,6.44,6.44,6.44,1447,4
20200102,ASG,13:48,6.43,6.43,6.43,6.43,6.43,200,2
20200102,ASG,15:13,6.45,6.45,6.45,6.45,6.45,100,1
20200102,ASG,15:22,6.45,6.45,6.45,6.45,6.45,300,1
20200102,ASG,15:37,6.43,6.44,6.43,6.44,6.43403,5482,25
20200102,ASG,15:38,6.44,6.44,6.44,6.44,6.44,1188,7
20200102,ASG,15:41,6.4450,6.4450,6.4450,6.4450,6.445,100,1
20200102,ASG,15:42,6.45,6.45,6.45,6.45,6.45,800,2
20200102,ASG,15:43,6.45,6.45,6.45,6.45,6.45,1985,10
20200102,ASG,15:49,6.45,6.45,6.44,6.44,6.44493,1014,5
20200102,ASG,15:57,6.4450,6.4450,6.44,6.44,6.44026,1914,9
20200102,ASG,15:59,6.44,6.45,6.43,6.44,6.44064,3132,14
20200102,ASG,16:02,6.44,6.44,6.42,6.42,6.43712,695,2
