Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ASHR,04:00,30.00,30.00,30.00,30.00,30.00,200,1
20200102,ASHR,04:01,30.00,30.00,30.00,30.00,30.00,400,3
20200102,ASHR,04:15,30.08,30.08,30.08,30.08,30.08,200,1
20200102,ASHR,04:21,30.07,30.07,30.07,30.07,30.07,2000,1
20200102,ASHR,04:47,30.10,30.10,30.10,30.10,30.10,160,1
20200102,ASHR,06:58,30.09,30.09,30.09,30.09,30.09,200,1
20200102,ASHR,07:00,30.08,30.08,30.08,30.08,30.08,900,2
20200102,ASHR,07:02,30.10,30.10,30.10,30.10,30.10,500,1
20200102,ASHR,07:03,30.11,30.11,30.11,30.11,30.11,1000,1
20200102,ASHR,07:12,30.07,30.07,30.07,30.07,30.07,900,2
20200102,ASHR,07:21,30.06,30.06,30.06,30.06,30.06,200,1
20200102,ASHR,07:30,30.06,30.06,30.06,30.06,30.06,200,1
20200102,ASHR,07:34,30.06,30.07,30.06,30.07,30.06333,300,3
20200102,ASHR,07:35,30.07,30.07,30.07,30.07,30.07,100,1
20200102,ASHR,07:40,30.05,30.07,30.04,30.04,30.05818,1100,3
20200102,ASHR,07:41,30.07,30.07,30.07,30.07,30.07,300,1
20200102,ASHR,07:42,30.07,30.07,30.07,30.07,30.07,800,1
20200102,ASHR,08:01,30.07,30.07,30.07,30.07,30.07,200,1
20200102,ASHR,08:02,30.07,30.07,30.07,30.07,30.07,700,1
20200102,ASHR,08:09,30.07,30.07,30.07,30.07,30.07,500,1
20200102,ASHR,08:24,30.07,30.07,30.07,30.07,30.07,1568,3
20200102,ASHR,08:32,30.11,30.11,30.11,30.11,30.11,200,1
20200102,ASHR,08:46,30.12,30.12,30.12,30.12,30.12,100,1
20200102,ASHR,08:54,30.11,30.11,30.11,30.11,30.11,190,1
20200102,ASHR,09:23,30.09,30.09,30.09,30.09,30.09,200,1
20200102,ASHR,09:25,30.07,30.07,30.05,30.05,30.06277,4700,4
20200102,ASHR,09:28,30.05,30.05,30.04,30.04,30.04867,1500,2
20200102,ASHR,09:29,30.03,30.09,30.02,30.04,30.03767,5580,10
20200102,ASHR,09:30,30.08,30.11,30.06,30.08,30.08258,87735,121
20200102,ASHR,09:31,30.09,30.10,30.0550,30.0550,30.07738,16799,72
20200102,ASHR,09:32,30.0550,30.0550,30.0550,30.0550,30.055,7600,74
20200102,ASHR,09:33,30.0550,30.10,30.05,30.0850,30.07792,23345,105
20200102,ASHR,09:34,30.09,30.10,30.09,30.09,30.09337,22685,97
20200102,ASHR,09:35,30.09,30.12,30.09,30.12,30.10179,24380,61
