Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ASIX,09:30,20.05,20.05,20.05,20.05,20.05,2658,1
20200102,ASIX,09:36,20.07,20.07,20.07,20.07,20.07,232,2
20200102,ASIX,09:40,20.15,20.17,20.15,20.17,20.16,200,2
20200102,ASIX,09:41,20.09,20.09,20.09,20.09,20.09,200,2
20200102,ASIX,09:46,20.06,20.06,20.06,20.06,20.06,200,1
20200102,ASIX,09:47,20.04,20.04,20.04,20.04,20.04,100,1
20200102,ASIX,09:48,19.97,19.97,19.97,19.97,19.97,103,1
20200102,ASIX,09:51,19.87,19.87,19.77,19.83,19.80923,1300,12
20200102,ASIX,09:53,19.84,19.86,19.84,19.86,19.845,400,4
20200102,ASIX,09:54,19.85,19.87,19.85,19.87,19.86029,206,2
20200102,ASIX,10:03,19.84,19.84,19.84,19.84,19.84,200,2
20200102,ASIX,10:04,19.84,19.84,19.63,19.68,19.7135,7397,51
20200102,ASIX,10:08,19.67,19.67,19.67,19.67,19.67,100,1
20200102,ASIX,10:10,19.64,19.64,19.64,19.64,19.64,100,1
20200102,ASIX,10:14,19.58,19.61,19.5350,19.61,19.59187,820,7
20200102,ASIX,10:21,19.70,19.70,19.70,19.70,19.70,100,1
20200102,ASIX,10:23,19.65,19.65,19.65,19.65,19.65,100,1
20200102,ASIX,10:24,19.57,19.57,19.57,19.57,19.57,100,1
20200102,ASIX,10:25,19.52,19.52,19.51,19.51,19.5175,400,3
20200102,ASIX,10:33,19.4950,19.52,19.47,19.52,19.49563,800,7
20200102,ASIX,10:34,19.53,19.53,19.53,19.53,19.53,350,3
20200102,ASIX,10:35,19.54,19.54,19.54,19.54,19.54,200,2
20200102,ASIX,10:39,19.54,19.57,19.54,19.57,19.55408,426,4
20200102,ASIX,10:44,19.6150,19.6150,19.6150,19.6150,19.615,100,1
20200102,ASIX,10:46,19.62,19.62,19.62,19.62,19.62,129,1
20200102,ASIX,10:48,19.65,19.65,19.65,19.65,19.65,177,1
20200102,ASIX,10:49,19.67,19.68,19.67,19.6750,19.675,400,4
20200102,ASIX,10:52,19.73,19.73,19.73,19.73,19.73,100,1
20200102,ASIX,10:54,19.73,19.73,19.73,19.73,19.73,100,1
20200102,ASIX,10:55,19.76,19.76,19.76,19.76,19.76,300,3
20200102,ASIX,10:58,19.75,19.75,19.74,19.74,19.74688,321,3
20200102,ASIX,11:00,19.72,19.72,19.72,19.72,19.72,200,2
20200102,ASIX,11:03,19.68,19.75,19.68,19.70,19.69582,1701,15
20200102,ASIX,11:05,19.73,19.73,19.73,19.73,19.73,100,1
20200102,ASIX,11:06,19.75,19.75,19.75,19.75,19.75,200,1
20200102,ASIX,11:07,19.74,19.74,19.74,19.74,19.74,100,1
20200102,ASIX,11:10,19.72,19.72,19.72,19.72,19.72,200,2
20200102,ASIX,11:15,19.73,19.73,19.69,19.69,19.69598,5474,21
20200102,ASIX,11:17,19.65,19.65,19.65,19.65,19.65,1318,2
20200102,ASIX,11:19,19.65,19.66,19.64,19.66,19.65006,6437,5
20200102,ASIX,11:22,19.64,19.64,19.6250,19.64,19.63571,700,6
20200102,ASIX,11:24,19.65,19.68,19.65,19.68,19.66,300,2
20200102,ASIX,11:26,19.65,19.65,19.65,19.65,19.65,100,1
20200102,ASIX,11:29,19.66,19.67,19.66,19.67,19.66333,300,2
20200102,ASIX,11:32,19.67,19.67,19.67,19.67,19.67,100,1
20200102,ASIX,11:33,19.67,19.67,19.67,19.67,19.67,100,1
20200102,ASIX,11:34,19.64,19.64,19.60,19.60,19.63,400,3
20200102,ASIX,11:45,19.56,19.56,19.56,19.56,19.56,100,1
20200102,ASIX,11:47,19.55,19.55,19.55,19.55,19.55,100,1
20200102,ASIX,11:48,19.56,19.56,19.56,19.56,19.56,100,1
20200102,ASIX,11:50,19.58,19.59,19.58,19.59,19.58333,300,2
20200102,ASIX,11:53,19.61,19.64,19.61,19.64,19.63,300,3
20200102,ASIX,11:55,19.63,19.63,19.63,19.63,19.63,100,1
20200102,ASIX,11:57,19.63,19.63,19.63,19.63,19.63,200,2
20200102,ASIX,11:59,19.68,19.68,19.68,19.68,19.68,100,1
20200102,ASIX,12:05,19.69,19.69,19.69,19.69,19.69,100,1
20200102,ASIX,12:07,19.70,19.70,19.70,19.70,19.70,100,1
20200102,ASIX,12:08,19.71,19.71,19.71,19.71,19.71,100,1
20200102,ASIX,12:09,19.71,19.71,19.71,19.71,19.71,100,1
20200102,ASIX,12:16,19.69,19.69,19.69,19.69,19.69,100,1
20200102,ASIX,12:17,19.68,19.68,19.68,19.68,19.68,200,2
20200102,ASIX,12:26,19.70,19.70,19.70,19.70,19.70,100,1
20200102,ASIX,12:35,19.67,19.67,19.67,19.67,19.67,300,3
20200102,ASIX,12:36,19.65,19.65,19.65,19.65,19.65,100,1
20200102,ASIX,12:37,19.65,19.65,19.65,19.65,19.65,100,1
20200102,ASIX,12:46,19.64,19.64,19.62,19.62,19.63,520,5
20200102,ASIX,12:51,19.64,19.66,19.64,19.66,19.644,500,3
20200102,ASIX,12:52,19.65,19.65,19.65,19.65,19.65,200,1
20200102,ASIX,12:55,19.65,19.65,19.64,19.64,19.64751,402,4
20200102,ASIX,12:57,19.62,19.62,19.60,19.60,19.61333,300,2
20200102,ASIX,12:59,19.61,19.61,19.61,19.61,19.61,200,2
20200102,ASIX,13:01,19.59,19.59,19.59,19.59,19.59,100,1
20200102,ASIX,13:05,19.58,19.58,19.58,19.58,19.58,105,1
20200102,ASIX,13:06,19.56,19.56,19.5590,19.56,19.55975,804,7
20200102,ASIX,13:09,19.55,19.55,19.55,19.55,19.55,100,1
20200102,ASIX,13:15,19.59,19.59,19.59,19.59,19.59,400,3
20200102,ASIX,13:19,19.60,19.60,19.60,19.60,19.60,100,1
20200102,ASIX,13:20,19.61,19.61,19.61,19.61,19.61,100,1
20200102,ASIX,13:24,19.64,19.64,19.64,19.64,19.64,302,1
20200102,ASIX,13:29,19.65,19.65,19.65,19.65,19.65,100,1
20200102,ASIX,13:30,19.65,19.65,19.62,19.62,19.642,500,4
20200102,ASIX,13:31,19.6350,19.65,19.6350,19.65,19.6425,200,2
20200102,ASIX,13:35,19.63,19.63,19.63,19.63,19.63,200,2
20200102,ASIX,13:40,19.62,19.62,19.62,19.62,19.62,100,1
20200102,ASIX,13:42,19.63,19.63,19.63,19.63,19.63,101,1
20200102,ASIX,13:45,19.62,19.63,19.62,19.63,19.62286,700,5
20200102,ASIX,13:47,19.64,19.64,19.64,19.64,19.64,100,1
20200102,ASIX,13:48,19.65,19.65,19.65,19.65,19.65,200,2
20200102,ASIX,13:49,19.65,19.65,19.65,19.65,19.65,100,1
20200102,ASIX,13:50,19.65,19.65,19.65,19.65,19.65,300,3
20200102,ASIX,13:54,19.65,19.65,19.65,19.65,19.65,200,2
20200102,ASIX,13:55,19.65,19.65,19.65,19.65,19.65,144,1
20200102,ASIX,13:57,19.67,19.67,19.67,19.67,19.67,700,4
20200102,ASIX,13:59,19.6750,19.6750,19.6750,19.6750,19.675,100,1
20200102,ASIX,14:04,19.69,19.69,19.69,19.69,19.69,300,3
20200102,ASIX,14:08,19.71,19.71,19.71,19.71,19.71,165,1
20200102,ASIX,14:12,19.73,19.73,19.71,19.71,19.72,600,4
20200102,ASIX,14:16,19.66,19.66,19.65,19.66,19.65417,600,6
20200102,ASIX,14:19,19.67,19.67,19.67,19.67,19.67,200,2
20200102,ASIX,14:20,19.70,19.70,19.70,19.70,19.70,100,1
20200102,ASIX,14:22,19.70,19.70,19.70,19.70,19.70,100,1
20200102,ASIX,14:25,19.70,19.70,19.69,19.69,19.69333,300,3
20200102,ASIX,14:26,19.71,19.71,19.71,19.71,19.71,1000,9
20200102,ASIX,14:27,19.72,19.72,19.72,19.72,19.72,300,2
20200102,ASIX,14:30,19.73,19.73,19.73,19.73,19.73,299,1
20200102,ASIX,14:31,19.7350,19.7350,19.72,19.72,19.7275,200,2
20200102,ASIX,14:34,19.73,19.73,19.73,19.73,19.73,300,3
20200102,ASIX,14:37,19.74,19.7450,19.73,19.7450,19.73875,400,4
20200102,ASIX,14:40,19.75,19.75,19.75,19.75,19.75,140,1
20200102,ASIX,14:42,19.76,19.78,19.76,19.78,19.772,500,4
20200102,ASIX,14:44,19.80,19.80,19.80,19.80,19.80,100,1
20200102,ASIX,14:45,19.78,19.78,19.7550,19.7550,19.77167,300,2
20200102,ASIX,14:46,19.7450,19.75,19.7450,19.75,19.7475,200,2
20200102,ASIX,14:47,19.75,19.75,19.75,19.75,19.75,100,1
20200102,ASIX,14:49,19.78,19.78,19.78,19.78,19.78,696,5
20200102,ASIX,14:50,19.79,19.82,19.79,19.82,19.79583,1200,10
20200102,ASIX,14:51,19.83,19.83,19.81,19.81,19.82545,1424,9
20200102,ASIX,14:55,19.81,19.81,19.81,19.81,19.81,300,3
20200102,ASIX,14:59,19.80,19.81,19.80,19.81,19.80084,1201,11
20200102,ASIX,15:01,19.81,19.81,19.81,19.81,19.81,100,1
20200102,ASIX,15:02,19.82,19.82,19.82,19.82,19.82,304,2
