Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ASML,04:01,298.87,298.90,298.78,298.90,298.855,400,3
20200102,ASML,04:02,298.88,299.00,298.88,299.00,298.94,200,2
20200102,ASML,04:12,299.37,299.37,299.37,299.37,299.37,100,1
20200102,ASML,04:38,299.13,299.13,299.13,299.13,299.13,100,1
20200102,ASML,04:42,299.08,299.08,299.04,299.04,299.05143,700,5
20200102,ASML,04:44,299.04,299.04,299.04,299.04,299.04,290,2
20200102,ASML,06:06,299.17,299.19,299.17,299.19,299.17667,300,2
20200102,ASML,06:12,299.23,299.23,299.23,299.23,299.23,100,1
20200102,ASML,06:15,299.34,299.34,299.34,299.34,299.34,100,1
20200102,ASML,06:32,299.13,299.13,299.13,299.13,299.13,100,1
20200102,ASML,06:42,299.15,299.15,299.13,299.13,299.14,500,3
20200102,ASML,06:47,299.19,299.19,299.13,299.13,299.162,500,3
20200102,ASML,06:49,299.45,299.45,299.45,299.45,299.45,100,1
20200102,ASML,06:51,299.75,299.75,299.74,299.75,299.74417,480,3
20200102,ASML,06:52,299.67,299.67,299.67,299.67,299.67,100,1
20200102,ASML,06:56,299.38,299.38,299.38,299.38,299.38,100,1
20200102,ASML,07:04,299.65,299.65,299.65,299.65,299.65,100,1
20200102,ASML,07:15,299.79,299.79,299.79,299.79,299.79,100,1
20200102,ASML,07:20,299.78,299.78,299.78,299.78,299.78,165,1
20200102,ASML,07:23,299.94,299.94,299.94,299.94,299.94,800,4
20200102,ASML,07:24,299.94,300.00,299.94,300.00,299.96757,370,2
20200102,ASML,07:38,300.51,300.51,300.51,300.51,300.51,100,1
20200102,ASML,07:40,300.66,300.69,300.66,300.69,300.675,200,2
20200102,ASML,07:52,301.04,301.04,301.04,301.04,301.04,100,1
20200102,ASML,07:56,300.57,300.57,300.57,300.57,300.57,100,1
20200102,ASML,08:18,301.21,301.21,301.17,301.17,301.19,400,2
20200102,ASML,08:21,301.70,301.70,301.70,301.70,301.70,100,1
20200102,ASML,08:24,301.94,301.94,301.94,301.94,301.94,200,2
20200102,ASML,08:27,301.84,301.84,301.84,301.84,301.84,100,1
20200102,ASML,08:30,301.70,301.70,301.70,301.70,301.70,100,1
20200102,ASML,08:35,301.63,301.63,301.63,301.63,301.63,100,1
20200102,ASML,08:39,301.56,301.56,301.56,301.56,301.56,100,1
20200102,ASML,08:45,301.74,301.74,301.74,301.74,301.74,100,1
20200102,ASML,08:58,301.77,301.77,301.77,301.77,301.77,200,2
20200102,ASML,09:02,301.58,301.58,301.30,301.30,301.41857,1216,8
20200102,ASML,09:05,301.41,301.41,301.41,301.41,301.41,200,1
20200102,ASML,09:06,301.34,301.34,301.34,301.34,301.34,100,1
20200102,ASML,09:07,301.09,301.09,301.05,301.05,301.07095,210,2
20200102,ASML,09:08,301.05,301.05,301.05,301.05,301.05,200,1
20200102,ASML,09:09,300.91,300.91,300.91,300.91,300.91,200,1
20200102,ASML,09:12,301.00,301.00,301.00,301.00,301.00,100,1
20200102,ASML,09:16,301.12,301.12,301.12,301.12,301.12,200,1
20200102,ASML,09:17,301.08,301.08,301.04,301.04,301.06667,300,2
20200102,ASML,09:21,301.00,301.00,300.85,300.85,300.92137,496,3
20200102,ASML,09:24,301.07,301.07,301.04,301.04,301.06,300,3
20200102,ASML,09:28,301.21,301.93,301.20,301.57,301.39287,5359,30
20200102,ASML,09:29,301.30,301.30,301.30,301.30,301.30,200,2
20200102,ASML,09:30,301.27,301.27,300.82,301.27,301.18909,14096,42
20200102,ASML,09:31,301.21,301.22,301.01,301.01,301.12377,1432,10
20200102,ASML,09:32,301.03,301.07,300.61,300.74,300.81489,2514,23
20200102,ASML,09:33,301.00,301.01,300.78,300.96,300.95126,2054,14
20200102,ASML,09:34,301.03,301.52,300.99,301.18,301.2102,2751,24
20200102,ASML,09:35,301.25,301.54,301.25,301.33,301.43059,3536,23
20200102,ASML,09:36,301.27,301.27,301.20,301.20,301.25609,1860,8
20200102,ASML,09:37,301.31,301.31,301.19,301.19,301.23762,441,3
20200102,ASML,09:38,301.23,301.23,301.14,301.19,301.18571,700,5
20200102,ASML,09:39,301.18,301.29,301.15,301.25,301.21808,504,5
20200102,ASML,09:40,301.17,301.22,301.16,301.22,301.17364,1100,9
20200102,ASML,09:42,301.21,301.21,301.16,301.16,301.185,200,2
20200102,ASML,09:43,301.1250,301.20,301.05,301.20,301.125,300,3
20200102,ASML,09:44,301.26,301.30,301.04,301.04,301.26926,1424,11
20200102,ASML,09:46,301.28,301.62,301.28,301.62,301.44836,9916,67
20200102,ASML,09:47,301.51,301.91,301.48,301.91,301.73713,9927,52
20200102,ASML,09:48,301.97,302.28,301.81,302.07,302.02482,8969,47
20200102,ASML,09:49,302.10,302.19,302.10,302.18,302.15086,815,5
20200102,ASML,09:50,302.33,302.35,302.01,302.01,302.22263,950,7
20200102,ASML,09:51,302.20,302.20,302.20,302.20,302.20,100,1
20200102,ASML,09:52,302.13,302.16,302.09,302.16,302.12,400,4
20200102,ASML,09:53,302.01,302.26,301.95,302.26,302.06422,5872,32
20200102,ASML,09:54,302.35,302.48,302.35,302.48,302.412,500,3
20200102,ASML,09:55,302.54,302.69,302.46,302.53,302.57874,2332,19
20200102,ASML,09:56,302.47,302.65,302.43,302.65,302.57385,5465,33
20200102,ASML,09:57,302.78,303.17,302.68,303.17,303.00595,10326,71
20200102,ASML,09:58,303.09,303.32,303.07,303.10,303.13916,3255,25
20200102,ASML,09:59,303.13,303.21,303.01,303.09,303.10945,2886,24
20200102,ASML,10:00,302.92,302.92,302.71,302.71,302.8475,400,4
20200102,ASML,10:01,302.70,302.70,302.70,302.70,302.70,300,3
20200102,ASML,10:02,302.56,302.56,302.39,302.39,302.50227,441,4
20200102,ASML,10:03,302.34,302.34,302.12,302.23,302.20814,1395,11
20200102,ASML,10:04,302.35,302.35,302.19,302.22,302.29794,557,4
20200102,ASML,10:07,302.22,302.30,302.22,302.30,302.26917,1200,7
20200102,ASML,10:08,302.22,302.22,302.20,302.20,302.20612,327,3
20200102,ASML,10:09,302.34,302.38,302.34,302.38,302.36,1250,7
20200102,ASML,10:10,302.42,302.65,302.42,302.65,302.49684,898,7
20200102,ASML,10:11,302.63,302.63,302.50,302.50,302.5712,1313,11
20200102,ASML,10:12,302.4350,302.4350,302.40,302.40,302.4175,200,2
20200102,ASML,10:13,302.45,302.45,302.45,302.45,302.45,300,1
20200102,ASML,10:14,302.44,302.44,302.28,302.28,302.36263,1900,13
20200102,ASML,10:15,302.20,302.20,301.78,301.78,302.06846,1300,11
20200102,ASML,10:16,301.77,301.91,301.66,301.66,301.76653,1013,10
20200102,ASML,10:17,301.61,301.72,301.61,301.72,301.6475,400,3
20200102,ASML,10:20,301.76,301.76,301.49,301.75,301.67564,3499,27
20200102,ASML,10:21,301.76,301.76,301.62,301.62,301.71333,300,2
20200102,ASML,10:23,301.49,301.5650,301.43,301.43,301.46938,800,5
20200102,ASML,10:24,301.54,301.54,301.54,301.54,301.54,100,1
20200102,ASML,10:25,301.60,301.60,301.56,301.56,301.58234,453,3
