Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ASNA,09:30,7.76,7.89,7.76,7.81,7.78481,4052,3
20200102,ASNA,09:32,7.86,7.86,7.80,7.80,7.83,200,2
20200102,ASNA,09:33,7.82,7.82,7.77,7.79,7.79,700,7
20200102,ASNA,09:34,7.83,7.83,7.83,7.83,7.83,100,1
20200102,ASNA,09:36,7.75,7.75,7.69,7.69,7.71529,785,6
20200102,ASNA,09:38,7.82,7.82,7.82,7.82,7.82,100,1
20200102,ASNA,09:39,7.94,7.94,7.90,7.90,7.92,200,2
20200102,ASNA,09:40,7.91,7.92,7.91,7.92,7.91077,1300,4
20200102,ASNA,09:41,7.86,7.88,7.79,7.88,7.82286,700,7
20200102,ASNA,09:42,7.76,7.76,7.69,7.74,7.74587,2583,15
20200102,ASNA,09:43,7.85,7.94,7.84,7.94,7.85294,2280,12
20200102,ASNA,09:44,7.92,7.92,7.92,7.92,7.92,100,1
20200102,ASNA,09:45,7.85,7.86,7.78,7.79,7.81295,3049,15
20200102,ASNA,09:46,7.81,7.85,7.81,7.84,7.83595,3700,24
20200102,ASNA,09:47,7.85,7.85,7.85,7.85,7.85,100,1
20200102,ASNA,09:49,7.78,7.78,7.78,7.78,7.78,100,1
20200102,ASNA,09:54,7.70,7.77,7.69,7.75,7.69872,2337,9
20200102,ASNA,10:00,7.79,7.79,7.79,7.79,7.79,200,2
20200102,ASNA,10:01,7.73,7.73,7.68,7.68,7.7125,800,7
20200102,ASNA,10:02,7.68,7.68,7.65,7.66,7.67426,6800,22
20200102,ASNA,10:03,7.69,7.72,7.66,7.66,7.70166,1203,11
20200102,ASNA,10:04,7.66,7.66,7.66,7.66,7.66,300,3
20200102,ASNA,10:05,7.68,7.68,7.64,7.64,7.67509,2650,10
20200102,ASNA,10:07,7.63,7.64,7.63,7.64,7.63161,1240,10
20200102,ASNA,10:08,7.64,7.71,7.64,7.64,7.66348,3115,22
20200102,ASNA,10:09,7.68,7.70,7.66,7.66,7.6931,1450,10
20200102,ASNA,10:10,7.67,7.73,7.67,7.73,7.68538,3278,21
20200102,ASNA,10:11,7.72,7.72,7.70,7.71,7.711,1000,9
20200102,ASNA,10:12,7.67,7.67,7.67,7.67,7.67,100,1
20200102,ASNA,10:13,7.69,7.69,7.69,7.69,7.69,200,2
20200102,ASNA,10:14,7.70,7.70,7.69,7.69,7.69857,700,6
20200102,ASNA,10:15,7.66,7.66,7.66,7.66,7.66,200,2
20200102,ASNA,10:28,7.67,7.68,7.67,7.68,7.67333,300,3
20200102,ASNA,10:29,7.61,7.65,7.52,7.63,7.59523,8888,34
20200102,ASNA,10:30,7.58,7.58,7.55,7.55,7.56571,700,7
20200102,ASNA,10:32,7.57,7.57,7.57,7.57,7.57,200,1
20200102,ASNA,10:37,7.55,7.55,7.55,7.55,7.55,100,1
20200102,ASNA,10:38,7.57,7.63,7.52,7.63,7.53562,8709,30
20200102,ASNA,10:39,7.58,7.58,7.58,7.58,7.58,1329,8
20200102,ASNA,10:40,7.59,7.66,7.59,7.66,7.63,2100,15
20200102,ASNA,10:43,7.66,7.66,7.66,7.66,7.66,200,2
20200102,ASNA,10:46,7.60,7.61,7.58,7.61,7.595,1000,7
20200102,ASNA,10:50,7.63,7.63,7.63,7.63,7.63,100,1
20200102,ASNA,10:53,7.60,7.68,7.58,7.68,7.62563,3375,24
20200102,ASNA,10:54,7.67,7.67,7.64,7.64,7.655,300,3
20200102,ASNA,10:55,7.63,7.63,7.61,7.61,7.61533,1500,11
20200102,ASNA,10:56,7.61,7.68,7.61,7.66,7.65912,1700,14
20200102,ASNA,10:57,7.67,7.67,7.64,7.64,7.65709,705,6
20200102,ASNA,10:58,7.62,7.62,7.62,7.62,7.62,400,3
20200102,ASNA,11:04,7.59,7.59,7.59,7.59,7.59,100,1
20200102,ASNA,11:06,7.59,7.61,7.59,7.61,7.60,200,2
20200102,ASNA,11:08,7.57,7.57,7.57,7.57,7.57,100,1
20200102,ASNA,11:09,7.57,7.57,7.57,7.57,7.57,100,1
20200102,ASNA,11:13,7.58,7.58,7.58,7.58,7.58,400,4
20200102,ASNA,11:14,7.56,7.56,7.56,7.56,7.56,300,1
20200102,ASNA,11:18,7.53,7.53,7.53,7.53,7.53,1494,10
20200102,ASNA,11:19,7.54,7.5850,7.54,7.5850,7.57571,1400,11
20200102,ASNA,11:20,7.56,7.57,7.51,7.57,7.53714,700,7
20200102,ASNA,11:21,7.54,7.59,7.54,7.59,7.55453,1324,10
20200102,ASNA,11:24,7.54,7.54,7.54,7.54,7.54,200,2
20200102,ASNA,11:25,7.54,7.54,7.54,7.54,7.54,200,2
20200102,ASNA,11:26,7.54,7.54,7.54,7.54,7.54,100,1
20200102,ASNA,11:30,7.53,7.56,7.53,7.55,7.55252,2780,22
20200102,ASNA,11:31,7.56,7.67,7.56,7.67,7.60221,3622,29
20200102,ASNA,11:32,7.64,7.64,7.58,7.58,7.605,800,7
20200102,ASNA,11:33,7.54,7.59,7.54,7.59,7.565,200,2
20200102,ASNA,11:34,7.55,7.62,7.52,7.62,7.55412,2985,19
20200102,ASNA,11:35,7.60,7.63,7.55,7.59,7.59673,4900,31
20200102,ASNA,11:36,7.59,7.64,7.5550,7.62,7.59133,4868,34
20200102,ASNA,11:37,7.62,7.62,7.62,7.62,7.62,200,2
20200102,ASNA,11:38,7.57,7.63,7.56,7.63,7.59512,4300,26
20200102,ASNA,11:39,7.63,7.66,7.59,7.60,7.61167,600,6
20200102,ASNA,11:40,7.56,7.68,7.54,7.68,7.59516,4380,31
20200102,ASNA,11:41,7.63,7.63,7.57,7.62,7.58769,1300,11
20200102,ASNA,11:42,7.59,7.61,7.57,7.61,7.58604,1903,11
20200102,ASNA,11:45,7.60,7.60,7.60,7.60,7.60,300,1
20200102,ASNA,11:46,7.59,7.59,7.59,7.59,7.59,100,1
20200102,ASNA,11:47,7.65,7.67,7.65,7.67,7.655,400,4
20200102,ASNA,11:48,7.61,7.67,7.61,7.65,7.63908,824,7
20200102,ASNA,11:49,7.60,7.60,7.60,7.60,7.60,100,1
20200102,ASNA,11:51,7.54,7.56,7.54,7.56,7.546,500,5
20200102,ASNA,11:52,7.58,7.60,7.58,7.60,7.585,400,4
20200102,ASNA,11:53,7.60,7.64,7.58,7.63,7.61143,3500,21
20200102,ASNA,11:54,7.63,7.67,7.63,7.63,7.638,500,3
20200102,ASNA,12:03,7.65,7.65,7.65,7.65,7.65,200,2
20200102,ASNA,12:06,7.63,7.66,7.63,7.66,7.6367,896,8
20200102,ASNA,12:07,7.62,7.62,7.62,7.62,7.62,300,3
20200102,ASNA,12:09,7.59,7.62,7.59,7.60,7.59775,1097,10
20200102,ASNA,12:10,7.61,7.70,7.61,7.65,7.65646,3399,26
20200102,ASNA,12:11,7.65,7.65,7.63,7.63,7.63475,842,7
20200102,ASNA,12:12,7.63,7.67,7.63,7.67,7.65234,2742,16
20200102,ASNA,12:13,7.70,7.70,7.66,7.66,7.6909,2220,17
20200102,ASNA,12:14,7.66,7.68,7.66,7.68,7.6675,400,4
20200102,ASNA,12:15,7.69,7.69,7.69,7.69,7.69,100,1
20200102,ASNA,12:16,7.68,7.68,7.65,7.65,7.66571,1400,10
20200102,ASNA,12:28,7.61,7.63,7.61,7.63,7.62,600,5
20200102,ASNA,12:29,7.64,7.69,7.64,7.68,7.67082,2503,20
20200102,ASNA,12:30,7.6950,7.6950,7.66,7.66,7.6832,890,5
20200102,ASNA,12:31,7.68,7.68,7.68,7.68,7.68,100,1
20200102,ASNA,12:32,7.64,7.6650,7.62,7.65,7.6353,5792,26
20200102,ASNA,12:33,7.66,7.67,7.63,7.65,7.64435,6513,29
20200102,ASNA,12:34,7.65,7.68,7.65,7.68,7.66111,900,6
20200102,ASNA,12:35,7.67,7.67,7.67,7.67,7.67,200,2
20200102,ASNA,12:36,7.67,7.67,7.61,7.63,7.62961,2580,13
20200102,ASNA,12:38,7.61,7.64,7.61,7.64,7.61429,700,7
20200102,ASNA,12:41,7.64,7.64,7.64,7.64,7.64,200,2
20200102,ASNA,12:42,7.63,7.63,7.61,7.61,7.62,300,3
20200102,ASNA,12:49,7.60,7.61,7.60,7.61,7.60079,1258,8
20200102,ASNA,12:50,7.62,7.63,7.62,7.63,7.62667,900,6
20200102,ASNA,12:51,7.62,7.62,7.62,7.62,7.62,300,2
20200102,ASNA,12:52,7.63,7.63,7.63,7.63,7.63,100,1
20200102,ASNA,12:53,7.62,7.62,7.62,7.62,7.62,100,1
20200102,ASNA,12:57,7.62,7.62,7.62,7.62,7.62,100,1
