Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ASND,09:30,140.54,141.2150,140.54,140.8550,140.74771,2010,9
20200102,ASND,09:31,140.84,141.2050,140.12,140.12,140.69763,1900,18
20200102,ASND,09:32,140.79,140.79,139.67,139.67,139.9965,1864,16
20200102,ASND,09:34,140.14,140.14,140.13,140.14,140.13856,696,6
20200102,ASND,09:36,139.92,140.00,139.92,140.00,139.99199,999,6
20200102,ASND,09:39,140.1950,140.20,140.0150,140.0150,140.1525,400,4
20200102,ASND,09:40,139.76,139.76,139.76,139.76,139.76,100,1
20200102,ASND,09:43,139.80,139.80,139.40,139.40,139.60,200,2
20200102,ASND,09:44,139.54,139.94,139.54,139.94,139.74,200,2
20200102,ASND,09:45,139.98,140.00,139.98,140.00,139.99333,300,3
20200102,ASND,09:55,140.44,140.44,140.44,140.44,140.44,400,4
20200102,ASND,09:56,140.39,140.57,140.06,140.57,140.22906,834,8
20200102,ASND,09:57,140.25,140.25,140.25,140.25,140.25,300,3
20200102,ASND,09:58,140.2550,140.2550,140.2550,140.2550,140.255,100,1
20200102,ASND,09:59,140.50,140.50,140.50,140.50,140.50,200,2
20200102,ASND,10:00,140.70,140.70,140.70,140.70,140.70,100,1
20200102,ASND,10:01,140.79,140.82,140.51,140.66,140.71618,1700,17
20200102,ASND,10:02,140.80,140.80,140.70,140.70,140.75,200,2
20200102,ASND,10:03,140.5450,140.5450,140.5450,140.5450,140.545,100,1
20200102,ASND,10:04,140.54,140.5450,140.54,140.5450,140.54125,400,4
20200102,ASND,10:05,140.69,140.7750,140.4850,140.4850,140.63335,1808,18
20200102,ASND,10:06,140.54,140.57,140.54,140.57,140.56068,322,3
20200102,ASND,10:07,140.7550,141.06,140.7550,141.06,140.84214,700,3
20200102,ASND,10:08,140.91,141.01,140.7650,140.7650,140.89936,780,7
20200102,ASND,10:09,140.73,140.73,140.73,140.73,140.73,100,1
20200102,ASND,10:10,140.81,141.08,140.81,141.08,141.03,700,7
20200102,ASND,10:12,141.09,141.09,141.0150,141.0150,141.06625,400,4
20200102,ASND,10:13,141.26,141.26,141.10,141.2450,141.21283,371,3
20200102,ASND,10:14,141.2450,141.2450,141.05,141.05,141.11375,400,4
20200102,ASND,10:16,141.03,141.03,140.78,140.95,140.9271,393,3
20200102,ASND,10:17,141.01,141.01,140.95,140.95,140.96222,900,9
20200102,ASND,10:19,140.93,140.96,140.93,140.95,140.95,800,8
20200102,ASND,10:20,140.8850,140.95,140.78,140.78,140.877,500,5
20200102,ASND,10:26,140.95,140.95,140.95,140.95,140.95,100,1
