Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ASPU,09:30,8.00,8.03,7.99,7.99,8.00283,8279,12
20200102,ASPU,09:40,8.01,8.01,8.01,8.01,8.01,100,1
20200102,ASPU,09:47,8.01,8.01,8.01,8.01,8.01,100,1
20200102,ASPU,09:51,8.00,8.00,8.00,8.00,8.00,1101,2
20200102,ASPU,09:53,8.01,8.01,8.01,8.01,8.01,100,1
20200102,ASPU,10:02,7.88,7.88,7.88,7.88,7.88,100,1
20200102,ASPU,10:13,7.89,7.89,7.89,7.89,7.89,100,1
20200102,ASPU,10:25,7.91,7.91,7.91,7.91,7.91,100,1
20200102,ASPU,10:45,7.89,7.90,7.89,7.90,7.8925,400,4
20200102,ASPU,10:51,7.86,7.86,7.86,7.86,7.86,200,2
20200102,ASPU,11:04,7.89,7.89,7.89,7.89,7.89,283,2
20200102,ASPU,11:16,7.92,7.92,7.92,7.92,7.92,100,1
20200102,ASPU,11:24,7.96,7.96,7.96,7.96,7.96,100,1
20200102,ASPU,11:37,7.97,7.97,7.97,7.97,7.97,100,1
20200102,ASPU,11:43,7.97,7.97,7.97,7.97,7.97,198,1
20200102,ASPU,11:47,7.97,7.97,7.97,7.97,7.97,300,3
20200102,ASPU,12:05,7.99,7.99,7.99,7.99,7.99,100,1
20200102,ASPU,12:30,7.99,7.99,7.99,7.99,7.99,100,1
20200102,ASPU,12:31,8.0050,8.0050,8.0050,8.0050,8.005,200,2
20200102,ASPU,12:37,8.0050,8.0050,8.0050,8.0050,8.005,100,1
20200102,ASPU,12:39,8.00,8.00,8.00,8.00,8.00,600,2
20200102,ASPU,13:03,8.02,8.02,8.02,8.02,8.02,100,1
20200102,ASPU,13:04,8.0150,8.0150,7.97,7.97,8.00054,925,7
20200102,ASPU,13:06,7.97,7.99,7.96,7.99,7.97923,1300,13
20200102,ASPU,13:08,7.98,8.00,7.98,8.00,7.99333,300,3
20200102,ASPU,13:09,7.9950,7.9950,7.98,7.98,7.9875,200,2
20200102,ASPU,13:10,7.97,7.97,7.97,7.97,7.97,200,2
20200102,ASPU,13:15,7.97,8.01,7.97,8.01,7.99026,608,6
20200102,ASPU,13:21,7.96,7.96,7.96,7.96,7.96,600,6
20200102,ASPU,13:26,7.9650,7.9650,7.9650,7.9650,7.965,200,2
20200102,ASPU,13:38,7.92,7.92,7.92,7.92,7.92,200,2
20200102,ASPU,13:39,7.93,7.97,7.93,7.97,7.95143,1400,14
20200102,ASPU,13:40,7.96,7.96,7.94,7.95,7.955,600,6
20200102,ASPU,13:41,7.95,7.99,7.93,7.94,7.95465,4083,23
20200102,ASPU,13:44,7.94,7.95,7.94,7.95,7.94333,300,3
20200102,ASPU,14:12,7.88,7.93,7.88,7.93,7.905,300,3
20200102,ASPU,14:15,7.93,7.94,7.88,7.90,7.90286,700,7
20200102,ASPU,14:20,7.90,7.90,7.90,7.90,7.90,100,1
20200102,ASPU,14:26,7.89,7.91,7.88,7.90,7.89195,1025,8
20200102,ASPU,14:35,7.89,7.91,7.89,7.91,7.90,200,2
20200102,ASPU,14:36,7.8950,7.8950,7.8950,7.8950,7.895,100,1
20200102,ASPU,14:38,7.88,7.88,7.87,7.87,7.87167,600,6
20200102,ASPU,14:45,7.88,7.88,7.88,7.88,7.88,100,1
20200102,ASPU,14:49,7.91,7.92,7.91,7.92,7.915,200,2
20200102,ASPU,14:50,7.92,7.92,7.92,7.92,7.92,100,1
20200102,ASPU,15:05,7.93,7.93,7.93,7.93,7.93,500,4
20200102,ASPU,15:06,7.93,7.97,7.93,7.97,7.94667,300,3
20200102,ASPU,15:21,7.97,7.97,7.97,7.97,7.97,100,1
20200102,ASPU,15:23,7.98,7.98,7.98,7.98,7.98,100,1
20200102,ASPU,15:27,7.98,8.00,7.98,8.00,7.98333,600,5
20200102,ASPU,15:35,7.9850,7.9850,7.9850,7.9850,7.985,100,1
20200102,ASPU,15:36,7.98,7.99,7.97,7.97,7.982,500,5
20200102,ASPU,15:48,7.97,7.97,7.97,7.97,7.97,700,6
20200102,ASPU,15:51,8.00,8.00,8.00,8.00,8.00,200,2
20200102,ASPU,15:52,8.00,8.00,8.00,8.00,8.00,100,1
20200102,ASPU,15:53,8.00,8.01,8.00,8.01,8.00128,779,5
20200102,ASPU,15:54,8.02,8.12,8.02,8.12,8.06814,3769,22
20200102,ASPU,15:55,8.12,8.22,8.12,8.22,8.18319,5651,41
20200102,ASPU,15:56,8.24,8.25,8.22,8.25,8.23878,4100,34
20200102,ASPU,15:57,8.25,8.25,8.25,8.25,8.25,1554,7
20200102,ASPU,15:58,8.24,8.25,8.24,8.25,8.24857,1400,11
20200102,ASPU,15:59,8.25,8.32,8.25,8.32,8.28562,4506,30
20200102,ASPU,16:00,8.32,8.32,8.32,8.32,8.32,1338,1
