Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ASRV,09:30,4.20,4.20,4.20,4.20,4.20,1113,3
20200102,ASRV,10:18,4.24,4.24,4.24,4.24,4.24,200,2
20200102,ASRV,10:37,4.24,4.24,4.24,4.24,4.24,200,2
20200102,ASRV,10:54,4.25,4.26,4.25,4.26,4.25083,1200,3
20200102,ASRV,11:00,4.25,4.25,4.25,4.25,4.25,6000,6
20200102,ASRV,11:01,4.25,4.25,4.24,4.24,4.24957,2333,4
20200102,ASRV,11:59,4.25,4.25,4.25,4.25,4.25,1516,6
20200102,ASRV,12:05,4.25,4.25,4.25,4.25,4.25,100,1
20200102,ASRV,13:50,4.25,4.25,4.25,4.25,4.25,490,1
20200102,ASRV,14:02,4.25,4.25,4.25,4.25,4.25,200,1
20200102,ASRV,15:02,4.24,4.24,4.24,4.24,4.24,3390,7
