Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ASYS,09:30,7.10,7.10,7.10,7.10,7.10,1131,1
20200102,ASYS,09:40,7.21,7.21,7.21,7.21,7.21,100,1
20200102,ASYS,09:44,7.16,7.16,7.16,7.16,7.16,100,1
20200102,ASYS,09:45,7.16,7.20,7.16,7.20,7.18,200,2
20200102,ASYS,09:54,7.16,7.16,7.16,7.16,7.16,300,3
20200102,ASYS,09:58,7.19,7.19,7.19,7.19,7.19,100,1
20200102,ASYS,09:59,7.20,7.22,7.20,7.22,7.20418,479,3
20200102,ASYS,10:02,7.22,7.22,7.22,7.22,7.22,100,1
20200102,ASYS,10:04,7.22,7.22,7.22,7.22,7.22,100,1
20200102,ASYS,10:10,7.26,7.26,7.26,7.26,7.26,100,1
20200102,ASYS,10:15,7.26,7.26,7.26,7.26,7.26,100,1
20200102,ASYS,10:17,7.27,7.27,7.27,7.27,7.27,818,2
20200102,ASYS,10:23,7.29,7.29,7.29,7.29,7.29,100,1
20200102,ASYS,10:25,7.29,7.29,7.29,7.29,7.29,200,1
20200102,ASYS,10:35,7.29,7.29,7.29,7.29,7.29,100,1
20200102,ASYS,10:44,7.29,7.32,7.29,7.32,7.30067,2380,10
20200102,ASYS,10:45,7.33,7.33,7.33,7.33,7.33,200,2
20200102,ASYS,10:46,7.34,7.34,7.34,7.34,7.34,100,1
20200102,ASYS,10:48,7.35,7.35,7.35,7.35,7.35,100,1
20200102,ASYS,10:52,7.3450,7.3450,7.25,7.25,7.29231,2600,24
20200102,ASYS,11:01,7.26,7.26,7.23,7.26,7.25143,700,7
20200102,ASYS,11:04,7.29,7.29,7.29,7.29,7.29,100,1
20200102,ASYS,11:06,7.29,7.30,7.28,7.30,7.29565,690,6
20200102,ASYS,11:21,7.30,7.30,7.30,7.30,7.30,200,2
20200102,ASYS,11:26,7.28,7.28,7.28,7.28,7.28,100,1
20200102,ASYS,11:37,7.26,7.26,7.25,7.25,7.25667,300,3
20200102,ASYS,12:06,7.26,7.26,7.26,7.26,7.26,300,3
20200102,ASYS,12:12,7.26,7.26,7.26,7.26,7.26,100,1
20200102,ASYS,12:22,7.2550,7.2550,7.2350,7.2350,7.245,200,2
20200102,ASYS,12:23,7.22,7.22,7.22,7.22,7.22,400,4
20200102,ASYS,12:27,7.2250,7.2250,7.2250,7.2250,7.225,200,2
20200102,ASYS,12:41,7.22,7.22,7.22,7.22,7.22,100,1
20200102,ASYS,13:02,7.24,7.24,7.24,7.24,7.24,100,1
20200102,ASYS,13:15,7.23,7.23,7.23,7.23,7.23,400,4
20200102,ASYS,13:31,7.20,7.20,7.20,7.20,7.20,100,1
20200102,ASYS,13:48,7.22,7.22,7.22,7.22,7.22,400,3
20200102,ASYS,14:17,7.24,7.25,7.24,7.25,7.245,200,2
20200102,ASYS,14:19,7.25,7.25,7.25,7.25,7.25,100,1
20200102,ASYS,14:22,7.29,7.29,7.29,7.29,7.29,200,2
20200102,ASYS,14:25,7.29,7.29,7.29,7.29,7.29,300,3
20200102,ASYS,14:26,7.30,7.30,7.30,7.30,7.30,943,5
20200102,ASYS,14:30,7.33,7.33,7.33,7.33,7.33,100,1
20200102,ASYS,14:38,7.31,7.31,7.28,7.28,7.301,1000,10
20200102,ASYS,15:02,7.32,7.32,7.32,7.32,7.32,100,1
20200102,ASYS,15:14,7.28,7.28,7.28,7.28,7.28,100,1
20200102,ASYS,15:18,7.30,7.30,7.30,7.30,7.30,200,2
20200102,ASYS,15:22,7.28,7.28,7.28,7.28,7.28,200,2
20200102,ASYS,15:32,7.29,7.29,7.29,7.29,7.29,481,4
20200102,ASYS,15:49,7.31,7.31,7.31,7.31,7.31,100,1
20200102,ASYS,15:55,7.31,7.31,7.31,7.31,7.31,100,1
20200102,ASYS,15:58,7.28,7.28,7.28,7.28,7.28,605,4
20200102,ASYS,16:00,7.26,7.26,7.26,7.26,7.26,199,1
