Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AT,09:30,2.34,2.35,2.34,2.35,2.34602,3291,6
20200102,AT,09:33,2.34,2.35,2.34,2.35,2.34167,600,6
20200102,AT,09:34,2.34,2.34,2.34,2.34,2.34,100,1
20200102,AT,09:36,2.35,2.35,2.35,2.35,2.35,7399,14
20200102,AT,09:37,2.35,2.35,2.35,2.35,2.35,300,3
20200102,AT,09:38,2.35,2.35,2.35,2.35,2.35,300,3
20200102,AT,09:39,2.35,2.35,2.35,2.35,2.35,600,2
20200102,AT,09:40,2.3550,2.36,2.3550,2.36,2.35982,22817,36
20200102,AT,09:41,2.36,2.36,2.36,2.36,2.36,200,2
20200102,AT,09:51,2.36,2.36,2.35,2.35,2.35897,7305,34
20200102,AT,09:52,2.35,2.35,2.35,2.35,2.35,100,1
20200102,AT,09:54,2.35,2.35,2.34,2.35,2.34952,2100,18
20200102,AT,09:55,2.35,2.35,2.35,2.35,2.35,700,5
20200102,AT,10:05,2.36,2.36,2.36,2.36,2.36,453,3
20200102,AT,10:09,2.3550,2.3550,2.3550,2.3550,2.355,100,1
20200102,AT,10:13,2.36,2.36,2.3550,2.3550,2.35562,800,2
20200102,AT,10:19,2.36,2.36,2.35,2.35,2.35727,1100,10
20200102,AT,10:21,2.36,2.36,2.36,2.36,2.36,100,1
20200102,AT,10:31,2.3550,2.3550,2.3550,2.3550,2.355,100,1
20200102,AT,10:34,2.36,2.36,2.35,2.35,2.35844,1600,8
20200102,AT,10:35,2.35,2.35,2.35,2.35,2.35,200,2
20200102,AT,10:47,2.36,2.36,2.35,2.35,2.355,1300,3
20200102,AT,10:55,2.36,2.36,2.36,2.36,2.36,100,1
20200102,AT,11:08,2.35,2.35,2.35,2.35,2.35,400,4
20200102,AT,11:22,2.3550,2.3550,2.3550,2.3550,2.355,100,1
20200102,AT,11:23,2.35,2.35,2.35,2.35,2.35,100,1
20200102,AT,11:25,2.35,2.35,2.34,2.3450,2.34969,30809,49
20200102,AT,11:26,2.35,2.35,2.34,2.34,2.34094,1600,13
20200102,AT,11:27,2.34,2.34,2.34,2.34,2.34,100,1
20200102,AT,11:33,2.35,2.35,2.35,2.35,2.35,300,1
20200102,AT,11:36,2.34,2.3450,2.33,2.33,2.3382,1392,10
20200102,AT,11:40,2.34,2.34,2.34,2.34,2.34,1400,3
20200102,AT,11:52,2.34,2.34,2.34,2.34,2.34,800,3
20200102,AT,11:53,2.33,2.33,2.33,2.33,2.33,100,1
20200102,AT,11:56,2.34,2.34,2.34,2.34,2.34,300,2
20200102,AT,12:00,2.34,2.34,2.34,2.34,2.34,300,2
20200102,AT,12:04,2.34,2.34,2.34,2.34,2.34,300,2
20200102,AT,12:09,2.34,2.34,2.34,2.34,2.34,300,2
20200102,AT,12:19,2.34,2.34,2.33,2.33,2.33778,900,6
20200102,AT,12:28,2.33,2.34,2.33,2.34,2.33857,700,5
20200102,AT,12:34,2.34,2.34,2.34,2.34,2.34,400,2
20200102,AT,12:44,2.34,2.34,2.33,2.33,2.33714,700,4
20200102,AT,12:48,2.34,2.34,2.34,2.34,2.34,300,2
20200102,AT,12:59,2.34,2.34,2.34,2.34,2.34,700,4
20200102,AT,13:00,2.33,2.34,2.33,2.33,2.3325,400,4
20200102,AT,13:04,2.3350,2.3350,2.3350,2.3350,2.335,100,1
20200102,AT,13:12,2.34,2.34,2.34,2.34,2.34,1000,5
