Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ATAX,09:30,7.66,7.66,7.66,7.66,7.66,5066,1
20200102,ATAX,10:21,7.6550,7.6550,7.64,7.6550,7.65,300,3
20200102,ATAX,10:30,7.66,7.66,7.64,7.64,7.65,8200,14
20200102,ATAX,10:45,7.64,7.64,7.64,7.64,7.64,100,1
20200102,ATAX,11:02,7.62,7.63,7.62,7.62,7.62113,2658,15
20200102,ATAX,11:03,7.62,7.62,7.62,7.62,7.62,300,3
20200102,ATAX,11:07,7.62,7.62,7.6150,7.6150,7.61903,513,4
20200102,ATAX,11:21,7.61,7.62,7.61,7.62,7.61429,700,5
20200102,ATAX,11:22,7.62,7.67,7.62,7.67,7.63114,7026,16
20200102,ATAX,11:23,7.67,7.67,7.67,7.67,7.67,1100,9
20200102,ATAX,11:24,7.67,7.68,7.67,7.68,7.678,500,3
20200102,ATAX,11:25,7.6750,7.6750,7.6750,7.6750,7.675,300,2
20200102,ATAX,11:27,7.69,7.69,7.69,7.69,7.69,100,1
20200102,ATAX,11:28,7.69,7.70,7.69,7.70,7.692,500,5
20200102,ATAX,11:32,7.70,7.71,7.6950,7.71,7.70174,1211,6
20200102,ATAX,11:33,7.70,7.70,7.70,7.70,7.70,600,4
20200102,ATAX,11:34,7.70,7.70,7.69,7.69,7.6925,400,2
20200102,ATAX,11:35,7.69,7.69,7.69,7.69,7.69,600,2
20200102,ATAX,11:36,7.6850,7.6850,7.6850,7.6850,7.685,200,1
20200102,ATAX,11:37,7.69,7.69,7.69,7.69,7.69,300,3
20200102,ATAX,11:38,7.69,7.69,7.67,7.67,7.68,900,7
20200102,ATAX,11:39,7.6650,7.68,7.6650,7.68,7.67556,900,6
20200102,ATAX,11:40,7.70,7.70,7.67,7.68,7.67765,850,7
20200102,ATAX,11:41,7.70,7.70,7.68,7.68,7.68667,300,2
20200102,ATAX,11:42,7.68,7.68,7.68,7.68,7.68,1100,9
20200102,ATAX,11:43,7.68,7.68,7.67,7.67,7.67444,900,7
20200102,ATAX,11:44,7.67,7.68,7.65,7.65,7.665,400,4
20200102,ATAX,11:45,7.65,7.65,7.65,7.65,7.65,300,3
20200102,ATAX,12:54,7.64,7.64,7.63,7.63,7.63725,414,4
20200102,ATAX,12:59,7.65,7.65,7.65,7.65,7.65,100,1
20200102,ATAX,13:00,7.62,7.63,7.62,7.63,7.62882,1700,9
20200102,ATAX,14:22,7.63,7.66,7.63,7.66,7.63566,530,2
20200102,ATAX,14:53,7.63,7.64,7.63,7.64,7.6325,400,4
20200102,ATAX,15:13,7.61,7.63,7.61,7.63,7.61321,623,5
20200102,ATAX,15:23,7.62,7.62,7.62,7.62,7.62,200,1
20200102,ATAX,15:38,7.6150,7.62,7.6150,7.62,7.61878,823,5
20200102,ATAX,15:48,7.65,7.65,7.65,7.65,7.65,100,1
20200102,ATAX,15:59,7.66,7.66,7.66,7.66,7.66,388,2
20200102,ATAX,16:00,7.64,7.64,7.64,7.64,7.64,172,1
