Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ATH,09:30,47.33,47.55,47.33,47.55,47.34246,6090,3
20200102,ATH,09:35,47.40,47.43,47.30,47.31,47.39049,2914,26
20200102,ATH,09:36,47.38,47.39,47.38,47.39,47.38664,595,4
20200102,ATH,09:37,47.36,47.36,47.28,47.28,47.32429,700,7
20200102,ATH,09:38,47.30,47.30,47.30,47.30,47.30,100,1
20200102,ATH,09:39,47.31,47.31,47.31,47.31,47.31,201,2
20200102,ATH,09:40,47.32,47.33,47.32,47.33,47.325,400,3
20200102,ATH,09:41,47.29,47.31,47.29,47.30,47.30148,1500,12
20200102,ATH,09:42,47.33,47.33,47.33,47.33,47.33,300,3
20200102,ATH,09:47,47.28,47.2850,47.25,47.2850,47.27278,900,9
20200102,ATH,09:48,47.27,47.27,47.24,47.24,47.25667,900,9
20200102,ATH,09:49,47.22,47.22,47.18,47.18,47.19451,667,6
20200102,ATH,09:50,47.22,47.26,47.22,47.26,47.2293,430,4
20200102,ATH,09:52,47.28,47.30,47.28,47.30,47.28395,506,4
20200102,ATH,09:54,47.33,47.33,47.33,47.33,47.33,300,1
20200102,ATH,09:55,47.33,47.34,47.33,47.34,47.33333,300,2
20200102,ATH,09:56,47.37,47.37,47.32,47.32,47.34889,900,9
20200102,ATH,09:57,47.35,47.35,47.27,47.29,47.3217,2297,20
20200102,ATH,09:58,47.28,47.28,47.22,47.22,47.26167,600,6
20200102,ATH,09:59,47.21,47.21,47.21,47.21,47.21,100,1
20200102,ATH,10:00,47.21,47.21,47.17,47.17,47.19667,300,2
20200102,ATH,10:01,47.15,47.15,47.09,47.09,47.11333,600,6
20200102,ATH,10:02,47.06,47.06,47.00,47.00,47.03333,360,3
20200102,ATH,10:03,47.04,47.10,46.99,47.06,47.06048,1869,12
20200102,ATH,10:04,47.06,47.09,47.06,47.09,47.0876,1252,9
20200102,ATH,10:05,47.07,47.07,47.07,47.07,47.07,100,1
20200102,ATH,10:06,47.07,47.09,47.07,47.09,47.078,1250,8
20200102,ATH,10:07,47.09,47.09,47.09,47.09,47.09,1628,12
20200102,ATH,10:09,47.12,47.17,47.12,47.17,47.1325,400,4
20200102,ATH,10:11,47.15,47.16,47.13,47.13,47.14937,1600,11
20200102,ATH,10:12,47.13,47.13,47.10,47.10,47.115,200,2
20200102,ATH,10:13,47.13,47.15,47.08,47.08,47.11169,1283,11
20200102,ATH,10:14,47.08,47.08,47.08,47.08,47.08,100,1
20200102,ATH,10:15,47.07,47.08,47.07,47.08,47.074,500,5
20200102,ATH,10:21,47.15,47.16,47.13,47.16,47.14873,842,6
20200102,ATH,10:22,47.14,47.14,47.14,47.14,47.14,300,3
20200102,ATH,10:23,47.11,47.11,47.08,47.08,47.08933,1500,15
20200102,ATH,10:24,47.05,47.06,47.05,47.06,47.05102,982,9
20200102,ATH,10:25,47.05,47.05,47.05,47.05,47.05,226,2
20200102,ATH,10:26,47.02,47.02,47.02,47.02,47.02,200,2
20200102,ATH,10:27,47.02,47.02,46.98,47.02,47.00875,800,8
20200102,ATH,10:30,47.02,47.04,47.02,47.04,47.03,400,3
20200102,ATH,10:32,47.09,47.09,47.09,47.09,47.09,100,1
20200102,ATH,10:33,47.09,47.09,47.06,47.08,47.08001,719,6
20200102,ATH,10:34,47.10,47.10,47.09,47.09,47.096,500,4
20200102,ATH,10:37,47.07,47.07,47.07,47.07,47.07,400,4
20200102,ATH,10:38,47.05,47.05,47.0150,47.0150,47.03071,700,6
20200102,ATH,10:39,47.03,47.04,47.03,47.04,47.03376,266,2
20200102,ATH,10:40,47.02,47.02,47.02,47.02,47.02,100,1
20200102,ATH,10:41,47.03,47.03,47.02,47.02,47.028,500,4
20200102,ATH,10:44,47.03,47.03,47.02,47.02,47.025,200,2
20200102,ATH,10:45,47.0350,47.0350,47.01,47.01,47.0175,600,5
20200102,ATH,10:48,47.01,47.01,46.98,46.99,47.00222,900,9
20200102,ATH,10:49,47.02,47.02,47.02,47.02,47.02,100,1
20200102,ATH,10:50,47.04,47.05,47.02,47.05,47.0375,400,3
20200102,ATH,10:51,47.04,47.04,47.04,47.04,47.04,200,2
20200102,ATH,10:54,47.07,47.07,47.06,47.06,47.06384,649,5
20200102,ATH,10:56,47.12,47.12,47.11,47.11,47.115,400,4
20200102,ATH,10:57,47.10,47.12,47.09,47.12,47.09818,1100,11
20200102,ATH,10:58,47.14,47.14,47.14,47.14,47.14,100,1
20200102,ATH,10:59,47.12,47.12,47.10,47.10,47.105,400,4
20200102,ATH,11:01,47.14,47.17,47.14,47.17,47.14714,700,6
20200102,ATH,11:02,47.15,47.15,47.13,47.13,47.138,500,4
20200102,ATH,11:03,47.12,47.12,47.12,47.12,47.12,300,3
20200102,ATH,11:04,47.08,47.08,47.07,47.07,47.078,500,4
20200102,ATH,11:05,47.02,47.02,47.02,47.02,47.02,100,1
20200102,ATH,11:06,47.05,47.07,47.05,47.06,47.05915,328,3
20200102,ATH,11:07,47.02,47.02,47.02,47.02,47.02,100,1
20200102,ATH,11:09,46.98,47.01,46.96,46.96,46.9825,400,4
20200102,ATH,11:10,46.96,46.96,46.96,46.96,46.96,200,2
20200102,ATH,11:11,46.98,46.98,46.98,46.98,46.98,100,1
20200102,ATH,11:12,46.99,47.04,46.99,47.04,47.02,300,3
20200102,ATH,11:13,47.02,47.02,47.01,47.01,47.01833,600,5
20200102,ATH,11:15,47.03,47.03,47.01,47.01,47.01973,584,5
20200102,ATH,11:16,47.01,47.01,47.00,47.00,47.00333,300,3
20200102,ATH,11:17,46.99,46.99,46.99,46.99,46.99,348,3
20200102,ATH,11:18,46.94,46.94,46.94,46.94,46.94,100,1
20200102,ATH,11:20,46.98,46.98,46.95,46.95,46.96,400,4
20200102,ATH,11:21,46.96,46.96,46.96,46.96,46.96,198,1
20200102,ATH,11:24,47.05,47.05,47.05,47.05,47.05,100,1
20200102,ATH,11:26,47.00,47.00,47.00,47.00,47.00,100,1
20200102,ATH,11:27,46.98,47.01,46.98,47.01,46.995,400,4
20200102,ATH,11:28,47.00,47.01,47.00,47.01,47.00361,510,4
20200102,ATH,11:29,47.02,47.02,47.02,47.02,47.02,200,2
20200102,ATH,11:30,47.04,47.08,47.04,47.08,47.06,200,2
20200102,ATH,11:31,47.07,47.08,47.06,47.08,47.07,900,8
20200102,ATH,11:33,47.08,47.08,47.08,47.08,47.08,393,3
20200102,ATH,11:34,47.08,47.08,47.04,47.05,47.06326,1135,9
20200102,ATH,11:36,47.04,47.04,47.04,47.04,47.04,400,4
20200102,ATH,11:38,47.07,47.08,47.06,47.06,47.06678,908,8
20200102,ATH,11:39,47.06,47.06,47.06,47.06,47.06,100,1
20200102,ATH,11:40,47.06,47.06,47.06,47.06,47.06,400,4
20200102,ATH,11:41,47.05,47.06,47.05,47.05,47.05333,300,3
20200102,ATH,11:42,47.05,47.06,47.05,47.06,47.055,200,2
20200102,ATH,11:43,47.06,47.06,47.06,47.06,47.06,513,4
20200102,ATH,11:44,47.07,47.07,47.07,47.07,47.07,200,2
20200102,ATH,11:45,47.08,47.09,47.08,47.09,47.08145,690,6
20200102,ATH,11:48,47.10,47.10,47.10,47.10,47.10,100,1
20200102,ATH,11:49,47.10,47.11,47.09,47.10,47.10,683,6
20200102,ATH,11:50,47.09,47.09,47.09,47.09,47.09,218,2
20200102,ATH,11:51,47.11,47.11,47.11,47.11,47.11,100,1
20200102,ATH,11:52,47.09,47.09,47.08,47.08,47.08286,700,7
20200102,ATH,11:53,47.07,47.07,47.07,47.07,47.07,300,2
20200102,ATH,11:56,47.07,47.07,47.06,47.07,47.066,500,5
20200102,ATH,11:57,47.05,47.06,47.05,47.06,47.05674,307,3
