Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ATIF,10:25,2.01,2.01,2.01,2.01,2.01,100,1
20200102,ATIF,10:26,1.95,1.95,1.95,1.95,1.95,100,1
20200102,ATIF,10:27,1.92,1.93,1.90,1.90,1.914,500,4
20200102,ATIF,10:47,1.90,1.90,1.90,1.90,1.90,100,1
20200102,ATIF,10:53,1.90,1.90,1.89,1.89,1.895,200,2
20200102,ATIF,11:49,1.86,1.86,1.81,1.81,1.82667,300,2
20200102,ATIF,11:50,1.82,1.82,1.80,1.80,1.80329,1197,3
20200102,ATIF,11:51,1.81,1.81,1.80,1.80,1.804,2500,7
20200102,ATIF,11:52,1.81,1.82,1.79,1.79,1.805,600,6
20200102,ATIF,11:53,1.79,1.79,1.78,1.79,1.78667,600,5
20200102,ATIF,11:57,1.81,1.81,1.80,1.80,1.8025,400,4
20200102,ATIF,12:01,1.81,1.83,1.81,1.83,1.81286,3500,2
20200102,ATIF,12:02,1.83,1.83,1.83,1.83,1.83,100,1
20200102,ATIF,12:04,1.89,1.89,1.89,1.89,1.89,100,1
20200102,ATIF,12:05,1.90,1.91,1.90,1.91,1.9075,400,4
20200102,ATIF,12:06,1.87,1.87,1.87,1.87,1.87,100,1
20200102,ATIF,12:07,1.89,1.89,1.89,1.89,1.89,100,1
20200102,ATIF,12:08,1.88,1.88,1.87,1.87,1.8781,527,4
20200102,ATIF,12:09,1.86,1.86,1.86,1.86,1.86,1200,1
20200102,ATIF,12:30,1.86,1.86,1.85,1.85,1.855,200,2
20200102,ATIF,12:46,1.88,1.88,1.85,1.85,1.86,300,3
20200102,ATIF,14:18,1.89,1.89,1.89,1.89,1.89,300,3
20200102,ATIF,14:24,1.88,1.88,1.88,1.88,1.88,200,1
20200102,ATIF,14:26,1.93,1.93,1.93,1.93,1.93,200,2
20200102,ATIF,15:05,1.87,1.87,1.87,1.87,1.87,200,1
20200102,ATIF,15:15,1.88,1.88,1.88,1.88,1.88,200,1
20200102,ATIF,15:16,1.93,1.93,1.93,1.93,1.93,200,1
