Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ATNI,09:30,55.74,55.74,55.74,55.74,55.74,370,1
20200102,ATNI,09:35,55.96,55.99,55.93,55.97,55.97555,1041,8
20200102,ATNI,09:45,55.71,55.71,55.60,55.60,55.655,200,2
20200102,ATNI,09:46,55.52,55.52,55.50,55.50,55.50333,600,6
20200102,ATNI,09:51,55.29,55.29,55.28,55.28,55.288,500,5
20200102,ATNI,09:55,55.25,55.25,55.10,55.10,55.175,200,2
20200102,ATNI,10:15,55.27,55.27,55.26,55.26,55.265,200,2
20200102,ATNI,10:16,55.20,55.20,55.20,55.20,55.20,445,1
20200102,ATNI,10:17,55.30,55.30,55.30,55.30,55.30,100,1
20200102,ATNI,10:22,55.58,55.58,55.58,55.58,55.58,100,1
20200102,ATNI,10:23,55.41,55.41,55.41,55.41,55.41,100,1
20200102,ATNI,10:25,55.37,55.47,55.37,55.47,55.42413,218,2
20200102,ATNI,10:26,55.29,55.29,55.29,55.29,55.29,200,2
20200102,ATNI,10:39,55.22,55.22,55.13,55.13,55.19167,600,3
20200102,ATNI,10:41,55.11,55.12,55.11,55.11,55.1118,555,5
20200102,ATNI,10:46,55.17,55.17,55.17,55.17,55.17,200,2
20200102,ATNI,10:48,55.15,55.17,55.15,55.17,55.16,400,4
20200102,ATNI,11:20,55.18,55.18,55.18,55.18,55.18,155,1
20200102,ATNI,11:26,55.20,55.20,55.19,55.19,55.198,500,5
20200102,ATNI,11:30,55.15,55.15,55.14,55.14,55.145,200,2
20200102,ATNI,11:32,55.10,55.10,55.10,55.10,55.10,494,3
20200102,ATNI,11:35,54.90,55.09,54.90,55.09,54.96,600,6
20200102,ATNI,11:39,55.05,55.05,55.05,55.05,55.05,200,2
20200102,ATNI,11:44,55.01,55.01,55.00,55.00,55.00667,300,3
20200102,ATNI,12:05,55.15,55.15,55.15,55.15,55.15,100,1
20200102,ATNI,12:12,54.97,54.97,54.97,54.97,54.97,100,1
20200102,ATNI,12:33,55.04,55.10,55.04,55.10,55.07,200,2
20200102,ATNI,12:34,55.05,55.05,55.05,55.05,55.05,100,1
20200102,ATNI,12:47,55.10,55.10,55.10,55.10,55.10,200,2
20200102,ATNI,12:48,55.10,55.10,55.10,55.10,55.10,100,1
20200102,ATNI,12:56,55.19,55.19,55.13,55.13,55.178,500,5
20200102,ATNI,13:13,55.36,55.44,55.33,55.44,55.365,400,4
20200102,ATNI,13:14,55.44,55.65,55.44,55.63,55.56545,1100,11
20200102,ATNI,13:16,55.86,55.9750,55.84,55.84,55.8725,600,6
20200102,ATNI,13:17,55.86,55.86,55.86,55.86,55.86,100,1
20200102,ATNI,13:19,55.9850,55.9850,55.9850,55.9850,55.985,100,1
20200102,ATNI,13:24,55.97,55.98,55.97,55.98,55.97667,300,3
20200102,ATNI,13:30,56.02,56.02,56.02,56.02,56.02,100,1
20200102,ATNI,13:31,56.16,56.17,56.16,56.17,56.165,200,2
20200102,ATNI,13:32,56.12,56.12,56.09,56.09,56.09833,600,6
20200102,ATNI,13:45,56.07,56.07,56.03,56.03,56.05515,272,2
20200102,ATNI,13:46,56.1350,56.1350,56.09,56.09,56.1125,200,2
20200102,ATNI,14:00,56.36,56.36,56.36,56.36,56.36,165,1
20200102,ATNI,14:02,56.38,56.40,56.38,56.40,56.39,200,2
20200102,ATNI,14:04,56.52,56.52,56.52,56.52,56.52,100,1
20200102,ATNI,14:05,56.34,56.34,56.34,56.34,56.34,100,1
20200102,ATNI,14:10,56.34,56.35,56.34,56.35,56.345,200,2
20200102,ATNI,14:12,56.32,56.32,56.32,56.32,56.32,200,2
20200102,ATNI,14:15,56.33,56.33,56.33,56.33,56.33,100,1
20200102,ATNI,14:18,56.29,56.29,56.29,56.29,56.29,100,1
20200102,ATNI,14:20,56.30,56.38,56.24,56.38,56.30667,300,3
20200102,ATNI,14:30,56.32,56.32,56.23,56.23,56.275,200,2
20200102,ATNI,14:31,56.2750,56.2750,56.2750,56.2750,56.275,200,1
20200102,ATNI,14:35,56.33,56.33,56.33,56.33,56.33,200,2
20200102,ATNI,14:47,56.45,56.45,56.45,56.45,56.45,100,1
20200102,ATNI,14:48,56.46,56.46,56.24,56.24,56.31333,300,3
20200102,ATNI,14:50,56.22,56.22,56.22,56.22,56.22,100,1
20200102,ATNI,14:52,56.20,56.20,56.20,56.20,56.20,300,3
20200102,ATNI,14:53,56.23,56.29,56.23,56.29,56.25667,300,3
20200102,ATNI,14:54,56.27,56.45,56.27,56.45,56.36401,1256,10
20200102,ATNI,14:56,56.35,56.36,56.17,56.29,56.32681,1380,12
20200102,ATNI,15:02,56.45,56.45,56.38,56.38,56.42667,300,3
20200102,ATNI,15:05,56.40,56.40,56.37,56.37,56.39735,1130,2
20200102,ATNI,15:06,56.38,56.38,56.37,56.37,56.375,200,2
20200102,ATNI,15:10,56.32,56.32,56.32,56.32,56.32,100,1
20200102,ATNI,15:13,56.44,56.44,56.44,56.44,56.44,100,1
20200102,ATNI,15:14,56.51,56.51,56.51,56.51,56.51,100,1
20200102,ATNI,15:16,56.50,56.50,56.50,56.50,56.50,100,1
20200102,ATNI,15:18,56.59,56.59,56.59,56.59,56.59,100,1
20200102,ATNI,15:21,56.67,56.67,56.67,56.67,56.67,100,1
20200102,ATNI,15:23,56.68,56.68,56.68,56.68,56.68,100,1
20200102,ATNI,15:26,56.61,56.62,56.40,56.41,56.50,1100,11
20200102,ATNI,15:28,56.4850,56.54,56.4850,56.54,56.5125,200,2
20200102,ATNI,15:29,56.54,56.54,56.54,56.54,56.54,100,1
20200102,ATNI,15:34,56.49,56.49,56.49,56.49,56.49,100,1
20200102,ATNI,15:43,56.37,56.37,56.37,56.37,56.37,100,1
20200102,ATNI,15:44,56.25,56.25,56.25,56.25,56.25,100,1
20200102,ATNI,15:45,56.36,56.36,56.36,56.36,56.36,100,1
20200102,ATNI,15:50,56.39,56.39,56.39,56.39,56.39,100,1
20200102,ATNI,15:52,56.43,56.43,56.43,56.43,56.43,100,1
20200102,ATNI,15:53,56.39,56.39,56.39,56.39,56.39,100,1
20200102,ATNI,15:54,56.41,56.41,56.41,56.41,56.41,100,1
20200102,ATNI,15:56,56.36,56.36,56.31,56.31,56.335,200,2
20200102,ATNI,15:57,56.3350,56.3350,56.3350,56.3350,56.335,100,1
20200102,ATNI,15:58,56.30,56.30,56.29,56.29,56.295,200,2
20200102,ATNI,15:59,56.29,56.35,56.29,56.34,56.32269,824,8
20200102,ATNI,16:00,56.40,56.40,56.40,56.40,56.40,6018,1
