Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ATO,09:30,112.04,112.04,111.91,111.91,112.03516,3923,3
20200102,ATO,09:31,111.83,111.83,111.78,111.78,111.805,200,2
20200102,ATO,09:33,111.53,111.69,111.53,111.69,111.59221,643,6
20200102,ATO,09:34,111.65,111.65,111.49,111.49,111.577,500,4
20200102,ATO,09:35,111.60,111.88,111.58,111.85,111.69794,1201,12
20200102,ATO,09:36,111.90,111.9650,111.84,111.84,111.89227,1100,11
20200102,ATO,09:37,111.8150,111.8150,111.8150,111.8150,111.815,100,1
20200102,ATO,09:38,111.67,111.69,111.65,111.69,111.67,300,3
20200102,ATO,09:39,111.63,111.69,111.63,111.65,111.67103,738,7
20200102,ATO,09:40,111.73,111.73,111.55,111.55,111.6348,1513,13
20200102,ATO,09:41,111.49,111.61,111.48,111.61,111.53576,660,6
20200102,ATO,09:42,111.5250,111.5250,111.5250,111.5250,111.525,200,2
20200102,ATO,09:43,111.51,111.56,111.51,111.56,111.53875,400,4
20200102,ATO,09:45,111.5850,111.65,111.54,111.55,111.57865,3524,28
20200102,ATO,09:47,111.55,111.55,111.55,111.55,111.55,100,1
20200102,ATO,09:48,111.58,111.58,111.51,111.53,111.55,1100,10
20200102,ATO,09:49,111.51,111.51,111.45,111.45,111.48,200,2
20200102,ATO,09:51,111.45,111.45,111.45,111.45,111.45,300,3
20200102,ATO,09:52,111.39,111.39,111.3850,111.3850,111.3875,200,2
20200102,ATO,09:53,111.45,111.47,111.45,111.46,111.45667,600,6
20200102,ATO,09:54,111.46,111.46,111.43,111.46,111.45,300,3
20200102,ATO,09:55,111.43,111.43,111.35,111.38,111.41364,1100,7
20200102,ATO,09:56,111.43,111.53,111.43,111.53,111.49875,800,8
20200102,ATO,09:57,111.50,111.56,111.47,111.54,111.50071,1400,13
20200102,ATO,09:58,111.57,111.58,111.57,111.57,111.572,500,4
20200102,ATO,09:59,111.58,111.64,111.58,111.64,111.60,400,3
20200102,ATO,10:00,111.59,111.59,111.54,111.54,111.56783,2012,19
20200102,ATO,10:01,111.59,111.59,111.53,111.55,111.55,600,6
20200102,ATO,10:02,111.58,111.58,111.54,111.57,111.55837,490,4
20200102,ATO,10:03,111.58,111.59,111.52,111.52,111.54441,1700,14
20200102,ATO,10:05,111.45,111.55,111.42,111.55,111.51474,1900,19
20200102,ATO,10:06,111.54,111.55,111.45,111.45,111.49806,2022,17
20200102,ATO,10:07,111.44,111.48,111.40,111.48,111.43364,1246,12
