Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ATOS,09:15,1.64,1.64,1.64,1.64,1.64,400,1
20200102,ATOS,09:30,1.54,1.57,1.54,1.57,1.55406,1152,4
20200102,ATOS,09:56,1.58,1.62,1.58,1.62,1.58353,3400,11
20200102,ATOS,09:57,1.63,1.63,1.63,1.63,1.63,400,2
20200102,ATOS,09:58,1.63,1.63,1.63,1.63,1.63,400,2
20200102,ATOS,09:59,1.62,1.62,1.62,1.62,1.62,1100,7
20200102,ATOS,10:00,1.63,1.63,1.62,1.62,1.62741,405,2
20200102,ATOS,10:01,1.63,1.63,1.63,1.63,1.63,300,1
20200102,ATOS,10:02,1.63,1.66,1.63,1.66,1.645,200,2
20200102,ATOS,10:07,1.65,1.65,1.65,1.65,1.65,100,1
20200102,ATOS,10:13,1.65,1.65,1.65,1.65,1.65,100,1
20200102,ATOS,10:19,1.65,1.65,1.65,1.65,1.65,100,1
20200102,ATOS,10:30,1.64,1.64,1.63,1.63,1.63833,600,5
20200102,ATOS,10:31,1.60,1.60,1.60,1.60,1.60,4403,6
20200102,ATOS,10:33,1.61,1.61,1.61,1.61,1.61,309,2
20200102,ATOS,10:58,1.60,1.60,1.60,1.60,1.60,100,1
20200102,ATOS,11:59,1.61,1.61,1.61,1.61,1.61,100,1
20200102,ATOS,12:25,1.61,1.61,1.61,1.61,1.61,100,1
20200102,ATOS,12:37,1.61,1.61,1.61,1.61,1.61,100,1
20200102,ATOS,13:23,1.6050,1.6050,1.6050,1.6050,1.605,400,4
20200102,ATOS,13:49,1.61,1.61,1.61,1.61,1.61,100,1
20200102,ATOS,13:50,1.6050,1.6050,1.6050,1.6050,1.605,400,3
20200102,ATOS,14:38,1.61,1.61,1.61,1.61,1.61,100,1
20200102,ATOS,14:51,1.60,1.60,1.60,1.60,1.60,350,1
20200102,ATOS,15:24,1.59,1.59,1.59,1.59,1.59,600,1
20200102,ATOS,15:37,1.59,1.59,1.59,1.59,1.59,1300,1
20200102,ATOS,15:57,1.5850,1.59,1.5850,1.59,1.58779,2639,8
20200102,ATOS,17:41,1.61,1.61,1.61,1.61,1.61,217,1
