Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ATR,09:30,115.50,115.50,115.22,115.22,115.49184,5761,4
20200102,ATR,09:34,115.80,116.10,115.80,115.87,115.98082,4900,15
20200102,ATR,09:35,115.98,116.30,115.91,116.30,116.06333,300,3
20200102,ATR,09:39,116.17,116.17,116.17,116.17,116.17,100,1
20200102,ATR,09:41,116.09,116.09,115.94,115.94,116.04,300,3
20200102,ATR,09:48,115.8650,115.8650,115.8650,115.8650,115.865,100,1
20200102,ATR,09:49,115.80,115.8750,115.80,115.8750,115.85,300,3
20200102,ATR,09:51,115.95,115.95,115.95,115.95,115.95,100,1
20200102,ATR,09:52,115.97,115.97,115.97,115.97,115.97,540,5
20200102,ATR,09:53,115.95,115.95,115.94,115.94,115.946,500,3
20200102,ATR,09:56,115.98,116.10,115.98,116.10,116.04558,624,6
20200102,ATR,09:58,116.18,116.18,116.18,116.18,116.18,100,1
20200102,ATR,10:00,116.05,116.05,116.04,116.04,116.045,200,2
20200102,ATR,10:01,116.05,116.05,116.03,116.03,116.04,500,5
20200102,ATR,10:02,115.95,116.06,115.71,115.90,115.91105,1900,19
20200102,ATR,10:03,115.83,115.87,115.75,115.75,115.83667,600,6
20200102,ATR,10:04,115.72,115.7750,115.71,115.7750,115.72417,600,6
20200102,ATR,10:05,115.60,115.60,115.56,115.56,115.57333,300,3
20200102,ATR,10:07,115.55,115.56,115.53,115.56,115.54745,392,3
20200102,ATR,10:08,115.56,115.56,115.56,115.56,115.56,300,3
20200102,ATR,10:10,115.53,115.64,115.53,115.64,115.59833,600,6
20200102,ATR,10:13,115.51,115.51,115.50,115.51,115.50833,600,5
20200102,ATR,10:23,115.41,115.41,115.41,115.41,115.41,100,1
20200102,ATR,10:28,115.17,115.21,115.17,115.21,115.19,200,2
20200102,ATR,10:33,115.24,115.24,115.24,115.24,115.24,100,1
20200102,ATR,10:37,115.24,115.24,115.24,115.24,115.24,100,1
20200102,ATR,10:39,115.2550,115.2550,115.2550,115.2550,115.255,100,1
20200102,ATR,10:41,115.17,115.17,115.14,115.14,115.15885,538,4
20200102,ATR,10:45,115.03,115.11,115.03,115.11,115.07,200,2
20200102,ATR,10:47,115.02,115.02,115.02,115.02,115.02,100,1
20200102,ATR,10:50,114.95,114.95,114.8950,114.8950,114.9225,200,2
20200102,ATR,10:51,114.84,114.84,114.84,114.84,114.84,100,1
20200102,ATR,10:53,114.79,114.84,114.79,114.83,114.82348,460,4
20200102,ATR,10:55,114.77,114.85,114.77,114.83,114.81683,1040,10
20200102,ATR,10:56,114.86,114.88,114.86,114.88,114.87,200,2
20200102,ATR,10:57,114.84,114.91,114.84,114.91,114.888,500,5
20200102,ATR,11:03,114.98,114.98,114.98,114.98,114.98,200,2
20200102,ATR,11:05,114.97,114.97,114.97,114.97,114.97,199,1
20200102,ATR,11:06,114.99,114.99,114.99,114.99,114.99,200,2
20200102,ATR,11:08,115.02,115.02,115.01,115.01,115.01667,300,3
20200102,ATR,11:11,114.91,114.91,114.91,114.91,114.91,100,1
20200102,ATR,11:17,114.91,114.91,114.88,114.88,114.89,300,3
20200102,ATR,11:20,114.86,114.89,114.86,114.89,114.875,400,4
20200102,ATR,11:23,114.85,114.85,114.85,114.85,114.85,100,1
20200102,ATR,11:24,114.88,114.88,114.88,114.88,114.88,100,1
20200102,ATR,11:26,114.84,114.86,114.83,114.83,114.84083,1200,10
20200102,ATR,11:27,114.84,114.84,114.84,114.84,114.84,200,2
20200102,ATR,11:29,114.80,114.81,114.79,114.79,114.8025,400,4
20200102,ATR,11:30,114.76,114.77,114.76,114.77,114.765,200,2
20200102,ATR,11:31,114.73,114.73,114.73,114.73,114.73,300,3
20200102,ATR,11:33,114.66,114.66,114.56,114.57,114.60051,1950,16
20200102,ATR,11:35,114.31,114.31,114.31,114.31,114.31,100,1
20200102,ATR,11:36,114.31,114.31,114.29,114.29,114.30,400,3
20200102,ATR,11:38,114.37,114.37,114.37,114.37,114.37,100,1
20200102,ATR,11:40,114.39,114.39,114.39,114.39,114.39,400,3
20200102,ATR,11:44,114.35,114.35,114.35,114.35,114.35,199,1
20200102,ATR,11:45,114.3250,114.3250,114.3250,114.3250,114.325,100,1
20200102,ATR,11:46,114.35,114.35,114.33,114.33,114.345,400,4
20200102,ATR,11:48,114.21,114.29,114.21,114.29,114.2625,800,8
20200102,ATR,11:50,114.31,114.31,114.26,114.26,114.285,200,2
20200102,ATR,11:54,114.12,114.14,114.12,114.14,114.13771,872,7
20200102,ATR,11:58,114.08,114.09,114.08,114.09,114.085,200,2
20200102,ATR,12:00,114.02,114.05,114.02,114.05,114.03714,700,4
20200102,ATR,12:01,114.05,114.05,114.05,114.05,114.05,100,1
20200102,ATR,12:02,114.02,114.09,114.02,114.09,114.06046,669,6
20200102,ATR,12:04,114.1150,114.1150,114.1150,114.1150,114.115,200,2
20200102,ATR,12:05,114.19,114.19,114.19,114.19,114.19,200,2
20200102,ATR,12:06,114.21,114.21,114.21,114.21,114.21,100,1
20200102,ATR,12:11,114.19,114.19,114.19,114.19,114.19,100,1
20200102,ATR,12:12,114.15,114.15,114.15,114.15,114.15,400,3
20200102,ATR,12:16,114.17,114.17,114.14,114.14,114.162,500,5
20200102,ATR,12:17,114.15,114.15,114.08,114.08,114.13364,550,5
20200102,ATR,12:18,114.15,114.15,114.15,114.15,114.15,300,3
20200102,ATR,12:20,114.16,114.16,114.15,114.16,114.1583,589,5
20200102,ATR,12:22,114.12,114.12,114.12,114.12,114.12,200,2
20200102,ATR,12:23,114.11,114.11,114.11,114.11,114.11,100,1
20200102,ATR,12:25,114.09,114.09,114.09,114.09,114.09,300,2
20200102,ATR,12:26,114.11,114.12,114.10,114.10,114.11111,450,4
20200102,ATR,12:34,114.05,114.05,114.03,114.05,114.04664,601,4
20200102,ATR,12:35,114.06,114.06,114.06,114.06,114.06,120,1
20200102,ATR,12:36,113.99,113.99,113.96,113.96,113.975,200,2
20200102,ATR,12:37,113.94,113.95,113.9050,113.9050,113.935,500,4
20200102,ATR,12:39,113.94,114.00,113.94,113.98,113.9725,1200,10
20200102,ATR,12:40,114.00,114.00,114.00,114.00,114.00,100,1
20200102,ATR,12:42,114.03,114.03,114.03,114.03,114.03,200,2
20200102,ATR,12:44,114.01,114.01,114.00,114.00,114.005,200,2
20200102,ATR,12:45,114.04,114.04,114.04,114.04,114.04,100,1
20200102,ATR,12:48,114.01,114.01,114.01,114.01,114.01,200,2
20200102,ATR,12:49,113.97,113.98,113.72,113.72,113.9425,4749,22
20200102,ATR,12:50,113.76,113.95,113.76,113.94,113.81027,1283,12
20200102,ATR,12:52,113.84,113.84,113.72,113.72,113.78,200,2
20200102,ATR,12:53,113.67,113.67,113.67,113.67,113.67,100,1
20200102,ATR,12:55,113.62,113.63,113.62,113.63,113.625,200,2
20200102,ATR,12:59,113.52,113.52,113.52,113.52,113.52,100,1
20200102,ATR,13:00,113.54,113.55,113.44,113.44,113.50928,1945,13
20200102,ATR,13:01,113.41,113.41,113.32,113.32,113.37167,300,3
20200102,ATR,13:02,113.28,113.29,113.28,113.29,113.285,200,2
20200102,ATR,13:03,113.28,113.35,113.27,113.35,113.30393,501,4
20200102,ATR,13:04,113.2950,113.34,113.2950,113.34,113.31536,1027,6
20200102,ATR,13:05,113.40,113.41,113.40,113.41,113.40667,300,3
20200102,ATR,13:09,113.28,113.32,113.28,113.32,113.31052,422,4
20200102,ATR,13:11,113.30,113.35,113.27,113.27,113.32249,1454,11
20200102,ATR,13:12,113.34,113.34,113.34,113.34,113.34,100,1
20200102,ATR,13:15,113.31,113.31,113.31,113.31,113.31,200,2
20200102,ATR,13:17,113.29,113.29,113.28,113.28,113.28667,300,3
20200102,ATR,13:18,113.25,113.25,113.21,113.21,113.23758,620,4
20200102,ATR,13:20,113.1350,113.22,113.1250,113.22,113.18881,1473,12
20200102,ATR,13:21,113.23,113.26,113.23,113.25,113.24667,300,3
20200102,ATR,13:23,113.26,113.26,113.23,113.26,113.25489,587,5
20200102,ATR,13:24,113.20,113.24,113.20,113.21,113.21167,600,4
20200102,ATR,13:25,113.20,113.22,113.20,113.22,113.20667,300,3
20200102,ATR,13:26,113.2350,113.38,113.2350,113.3050,113.30,1700,13
20200102,ATR,13:27,113.28,113.28,113.25,113.25,113.27393,494,2
20200102,ATR,13:29,113.29,113.32,113.29,113.3050,113.30,700,6
20200102,ATR,13:30,113.29,113.29,113.18,113.20,113.23056,900,7
20200102,ATR,13:31,113.27,113.28,113.24,113.24,113.27,600,5
20200102,ATR,13:32,113.20,113.2350,113.19,113.19,113.21756,1455,7
20200102,ATR,13:34,113.13,113.16,113.12,113.12,113.13286,700,7
20200102,ATR,13:35,113.10,113.2250,113.10,113.2250,113.15221,893,7
20200102,ATR,13:36,113.22,113.22,113.14,113.14,113.18,300,3
20200102,ATR,13:38,113.17,113.26,113.17,113.26,113.20444,900,9
20200102,ATR,13:39,113.27,113.30,113.27,113.30,113.285,200,2
20200102,ATR,13:40,113.23,113.24,113.2050,113.24,113.21978,406,3
20200102,ATR,13:42,113.27,113.27,113.27,113.27,113.27,100,1
20200102,ATR,13:46,113.24,113.24,113.20,113.21,113.21667,600,6
20200102,ATR,13:47,113.22,113.32,113.21,113.25,113.25041,2170,17
20200102,ATR,13:48,113.20,113.31,113.20,113.23,113.23842,1900,13
20200102,ATR,13:49,113.23,113.25,113.20,113.25,113.21267,1500,9
20200102,ATR,13:50,113.23,113.23,113.23,113.23,113.23,100,1
20200102,ATR,13:51,113.19,113.19,113.19,113.19,113.19,100,1
20200102,ATR,13:52,113.18,113.18,113.14,113.15,113.15286,700,6
20200102,ATR,13:54,112.9850,113.08,112.9850,113.08,113.0445,1000,9
20200102,ATR,13:57,113.15,113.15,113.15,113.15,113.15,200,2
20200102,ATR,13:58,113.15,113.15,113.15,113.15,113.15,200,2
20200102,ATR,13:59,113.15,113.18,113.15,113.18,113.16,300,3
20200102,ATR,14:02,113.23,113.28,113.23,113.27,113.24284,701,7
20200102,ATR,14:03,113.28,113.28,113.23,113.23,113.25167,600,6
20200102,ATR,14:04,113.27,113.30,113.27,113.30,113.285,200,2
20200102,ATR,14:06,113.42,113.42,113.42,113.42,113.42,100,1
20200102,ATR,14:07,113.43,113.46,113.43,113.46,113.45,300,3
20200102,ATR,14:10,113.50,113.53,113.50,113.53,113.514,1000,9
20200102,ATR,14:13,113.57,113.5950,113.57,113.5950,113.5825,200,2
20200102,ATR,14:14,113.61,113.61,113.61,113.61,113.61,100,1
20200102,ATR,14:15,113.62,113.62,113.62,113.62,113.62,100,1
20200102,ATR,14:16,113.60,113.60,113.60,113.60,113.60,300,3
20200102,ATR,14:19,113.55,113.55,113.52,113.52,113.545,600,3
20200102,ATR,14:20,113.42,113.48,113.42,113.46,113.45469,980,8
20200102,ATR,14:21,113.51,113.51,113.51,113.51,113.51,100,1
20200102,ATR,14:22,113.5050,113.5050,113.5050,113.5050,113.505,100,1
20200102,ATR,14:27,113.49,113.49,113.44,113.44,113.465,200,2
20200102,ATR,14:28,113.44,113.50,113.44,113.49,113.47833,600,4
20200102,ATR,14:29,113.4850,113.4850,113.4850,113.4850,113.485,100,1
20200102,ATR,14:30,113.44,113.44,113.44,113.44,113.44,100,1
20200102,ATR,14:32,113.40,113.40,113.32,113.32,113.36286,700,7
