Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ATRS,09:28,4.66,4.70,4.62,4.64,4.64506,2276,5
20200102,ATRS,09:29,4.64,4.64,4.6350,4.6350,4.63844,320,2
20200102,ATRS,09:30,4.61,4.63,4.57,4.57,4.60924,108920,63
20200102,ATRS,09:31,4.57,4.57,4.27,4.33,4.41954,74759,290
20200102,ATRS,09:32,4.34,4.47,4.34,4.45,4.38361,8701,48
20200102,ATRS,09:33,4.45,4.53,4.45,4.51,4.48548,8090,40
20200102,ATRS,09:34,4.50,4.5250,4.47,4.48,4.49865,9019,56
20200102,ATRS,09:35,4.47,4.48,4.46,4.48,4.46861,8943,47
20200102,ATRS,09:36,4.48,4.52,4.48,4.52,4.50127,5785,38
20200102,ATRS,09:37,4.5150,4.5150,4.47,4.48,4.49249,6646,39
20200102,ATRS,09:38,4.49,4.5150,4.49,4.5150,4.503,6493,38
20200102,ATRS,09:39,4.52,4.52,4.48,4.48,4.50851,5187,36
20200102,ATRS,09:40,4.47,4.47,4.46,4.46,4.46236,3809,26
20200102,ATRS,09:41,4.46,4.46,4.44,4.44,4.45656,4800,25
20200102,ATRS,09:42,4.44,4.47,4.44,4.46,4.45611,1800,13
20200102,ATRS,09:43,4.46,4.46,4.42,4.46,4.44337,5905,26
20200102,ATRS,09:44,4.45,4.45,4.43,4.44,4.43757,5287,26
20200102,ATRS,09:45,4.44,4.46,4.44,4.46,4.44742,8694,47
20200102,ATRS,09:46,4.46,4.46,4.43,4.43,4.4384,2500,18
20200102,ATRS,09:47,4.42,4.45,4.42,4.45,4.43797,4664,31
20200102,ATRS,09:48,4.4450,4.4450,4.42,4.42,4.43043,3500,23
20200102,ATRS,09:49,4.42,4.43,4.40,4.40,4.41239,16241,92
20200102,ATRS,09:50,4.39,4.39,4.36,4.37,4.37012,17851,95
20200102,ATRS,09:51,4.38,4.40,4.37,4.39,4.38285,14402,62
20200102,ATRS,09:52,4.39,4.4050,4.39,4.4050,4.3935,3574,24
20200102,ATRS,09:53,4.4050,4.4050,4.39,4.39,4.39983,3010,22
20200102,ATRS,09:54,4.39,4.39,4.35,4.36,4.3773,19750,64
20200102,ATRS,09:55,4.36,4.38,4.34,4.38,4.35948,23291,98
20200102,ATRS,09:56,4.38,4.38,4.3750,4.38,4.37875,800,7
20200102,ATRS,09:57,4.38,4.39,4.38,4.39,4.38038,6345,24
20200102,ATRS,09:58,4.38,4.39,4.3650,4.38,4.38266,15921,85
20200102,ATRS,09:59,4.37,4.37,4.34,4.3450,4.35318,9505,43
20200102,ATRS,10:00,4.34,4.34,4.34,4.34,4.34,1445,9
20200102,ATRS,10:01,4.35,4.35,4.34,4.34,4.34105,1900,11
20200102,ATRS,10:02,4.34,4.34,4.33,4.33,4.33682,314,2
20200102,ATRS,10:03,4.34,4.34,4.33,4.3350,4.33556,900,8
20200102,ATRS,10:04,4.34,4.3550,4.34,4.3550,4.34802,23854,100
20200102,ATRS,10:05,4.3550,4.3550,4.33,4.34,4.34309,6287,31
20200102,ATRS,10:06,4.33,4.35,4.33,4.34,4.33962,3907,23
20200102,ATRS,10:07,4.34,4.34,4.34,4.34,4.34,700,4
20200102,ATRS,10:08,4.33,4.34,4.33,4.33,4.33136,12979,55
20200102,ATRS,10:09,4.34,4.34,4.34,4.34,4.34,200,2
20200102,ATRS,10:10,4.34,4.34,4.3350,4.3350,4.33833,300,3
20200102,ATRS,10:11,4.3350,4.34,4.3350,4.34,4.338,500,4
20200102,ATRS,10:12,4.34,4.34,4.31,4.32,4.32703,18751,59
20200102,ATRS,10:13,4.32,4.32,4.3150,4.32,4.31988,4027,23
20200102,ATRS,10:14,4.33,4.33,4.33,4.33,4.33,200,2
20200102,ATRS,10:15,4.33,4.33,4.2950,4.30,4.30276,18356,49
20200102,ATRS,10:16,4.30,4.30,4.30,4.30,4.30,1917,12
20200102,ATRS,10:17,4.31,4.3250,4.30,4.3250,4.31427,2929,23
20200102,ATRS,10:18,4.32,4.32,4.31,4.32,4.31843,2873,24
20200102,ATRS,10:19,4.3150,4.32,4.31,4.31,4.31667,600,6
20200102,ATRS,10:20,4.31,4.31,4.31,4.31,4.31,3563,13
20200102,ATRS,10:21,4.31,4.31,4.31,4.31,4.31,3417,27
20200102,ATRS,10:22,4.30,4.30,4.30,4.30,4.30,100,1
20200102,ATRS,10:24,4.3050,4.3150,4.3050,4.31,4.31,5795,30
20200102,ATRS,10:25,4.3050,4.3050,4.26,4.27,4.28656,56015,159
20200102,ATRS,10:26,4.26,4.26,4.24,4.25,4.25058,21708,62
20200102,ATRS,10:27,4.2450,4.27,4.2450,4.26,4.25657,17924,65
20200102,ATRS,10:28,4.26,4.26,4.26,4.26,4.26,858,6
20200102,ATRS,10:29,4.26,4.2850,4.26,4.28,4.27789,26064,118
20200102,ATRS,10:30,4.28,4.28,4.2650,4.27,4.27064,3936,26
20200102,ATRS,10:31,4.27,4.27,4.2650,4.2650,4.26833,300,2
20200102,ATRS,10:32,4.26,4.2650,4.2450,4.2450,4.25512,35833,45
20200102,ATRS,10:34,4.24,4.25,4.24,4.25,4.24099,7044,30
20200102,ATRS,10:35,4.2450,4.2450,4.2450,4.2450,4.245,100,1
20200102,ATRS,10:36,4.24,4.2450,4.24,4.2450,4.2445,1000,10
20200102,ATRS,10:37,4.25,4.25,4.25,4.25,4.25,200,2
20200102,ATRS,10:38,4.25,4.28,4.2450,4.28,4.25967,50070,143
20200102,ATRS,10:39,4.28,4.2850,4.28,4.2850,4.28259,5409,28
20200102,ATRS,10:40,4.28,4.28,4.27,4.28,4.27834,6313,20
20200102,ATRS,10:41,4.27,4.27,4.27,4.27,4.27,200,2
20200102,ATRS,10:42,4.28,4.28,4.28,4.28,4.28,100,1
20200102,ATRS,10:44,4.27,4.27,4.2650,4.2650,4.26963,6830,24
20200102,ATRS,10:45,4.26,4.2650,4.2550,4.2550,4.26,1900,10
20200102,ATRS,10:46,4.2550,4.2550,4.2550,4.2550,4.255,200,2
20200102,ATRS,10:47,4.25,4.25,4.2450,4.2450,4.24982,8121,26
20200102,ATRS,10:48,4.25,4.25,4.2450,4.2450,4.24567,1500,14
20200102,ATRS,10:49,4.2450,4.26,4.2450,4.26,4.25018,16237,38
20200102,ATRS,10:50,4.2550,4.2550,4.25,4.2550,4.25451,3090,14
20200102,ATRS,10:51,4.2550,4.2550,4.2450,4.25,4.25005,9514,26
20200102,ATRS,10:52,4.2550,4.2550,4.2450,4.25,4.25,7613,28
20200102,ATRS,10:53,4.24,4.24,4.24,4.24,4.24,800,2
20200102,ATRS,10:54,4.2450,4.2450,4.2450,4.2450,4.245,200,2
20200102,ATRS,10:55,4.25,4.25,4.25,4.25,4.25,800,5
20200102,ATRS,10:57,4.25,4.27,4.25,4.26,4.25663,19860,54
20200102,ATRS,10:58,4.26,4.28,4.26,4.28,4.27278,19826,87
20200102,ATRS,10:59,4.2850,4.2950,4.2850,4.29,4.28967,10519,52
20200102,ATRS,11:00,4.28,4.2850,4.27,4.28,4.27961,17357,37
20200102,ATRS,11:01,4.2850,4.2850,4.28,4.28,4.28042,2362,8
20200102,ATRS,11:02,4.28,4.30,4.2750,4.30,4.28211,7206,43
20200102,ATRS,11:03,4.30,4.31,4.2950,4.2950,4.30049,5054,28
20200102,ATRS,11:04,4.2950,4.2950,4.2950,4.2950,4.295,100,1
20200102,ATRS,11:05,4.2950,4.30,4.2950,4.2950,4.2975,600,5
20200102,ATRS,11:06,4.2950,4.2950,4.2950,4.2950,4.295,100,1
20200102,ATRS,11:07,4.2950,4.2950,4.2950,4.2950,4.295,100,1
20200102,ATRS,11:08,4.2950,4.2950,4.28,4.2850,4.2893,8552,27
20200102,ATRS,11:09,4.2850,4.2850,4.2850,4.2850,4.285,403,4
20200102,ATRS,11:10,4.2850,4.2850,4.2850,4.2850,4.285,200,2
20200102,ATRS,11:11,4.2850,4.2850,4.2850,4.2850,4.285,100,1
20200102,ATRS,11:12,4.2850,4.2850,4.28,4.28,4.28375,400,3
20200102,ATRS,11:13,4.2850,4.2850,4.28,4.28,4.2802,17327,42
20200102,ATRS,11:14,4.28,4.28,4.27,4.27,4.275,400,3
20200102,ATRS,11:15,4.27,4.28,4.27,4.28,4.27821,1795,14
20200102,ATRS,11:16,4.29,4.30,4.29,4.30,4.29513,2340,13
20200102,ATRS,11:17,4.3050,4.3050,4.3050,4.3050,4.305,600,3
20200102,ATRS,11:18,4.30,4.31,4.30,4.31,4.30667,600,6
20200102,ATRS,11:19,4.31,4.33,4.3050,4.3250,4.31177,8531,25
20200102,ATRS,11:20,4.3250,4.33,4.3250,4.33,4.32906,1084,6
20200102,ATRS,11:21,4.33,4.34,4.32,4.3250,4.33016,6215,27
20200102,ATRS,11:22,4.32,4.32,4.3150,4.3150,4.31962,5231,19
20200102,ATRS,11:23,4.3150,4.3150,4.31,4.31,4.31125,400,3
20200102,ATRS,11:25,4.3150,4.3150,4.31,4.31,4.31019,2600,12
20200102,ATRS,11:26,4.31,4.33,4.31,4.33,4.32191,6982,41
20200102,ATRS,11:27,4.33,4.36,4.3250,4.36,4.34084,16713,71
20200102,ATRS,11:28,4.36,4.36,4.36,4.36,4.36,1173,9
20200102,ATRS,11:29,4.36,4.37,4.3550,4.3550,4.36169,5755,36
20200102,ATRS,11:30,4.3550,4.3550,4.32,4.3250,4.33819,11401,56
20200102,ATRS,11:31,4.33,4.33,4.33,4.33,4.33,1889,13
20200102,ATRS,11:32,4.3350,4.35,4.33,4.3450,4.34131,13408,59
