Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ATSG,09:30,23.64,23.64,23.64,23.64,23.64,2382,1
20200102,ATSG,09:37,23.61,23.61,23.61,23.61,23.61,100,1
20200102,ATSG,09:38,23.60,23.67,23.60,23.67,23.635,200,2
20200102,ATSG,09:40,23.54,23.57,23.54,23.57,23.555,200,2
20200102,ATSG,09:42,23.62,23.62,23.62,23.62,23.62,200,1
20200102,ATSG,09:43,23.60,23.60,23.50,23.50,23.5825,800,8
20200102,ATSG,09:46,23.54,23.56,23.54,23.56,23.55,200,2
20200102,ATSG,09:48,23.55,23.55,23.53,23.53,23.535,400,4
20200102,ATSG,09:49,23.52,23.52,23.52,23.52,23.52,100,1
20200102,ATSG,09:50,23.49,23.50,23.48,23.49,23.49,500,5
20200102,ATSG,09:52,23.50,23.51,23.48,23.48,23.49571,700,7
20200102,ATSG,09:54,23.41,23.43,23.41,23.43,23.42333,300,3
20200102,ATSG,09:55,23.50,23.50,23.50,23.50,23.50,200,2
20200102,ATSG,09:56,23.52,23.52,23.52,23.52,23.52,100,1
20200102,ATSG,09:57,23.50,23.52,23.50,23.52,23.51333,300,3
20200102,ATSG,09:58,23.48,23.48,23.46,23.46,23.4675,400,4
20200102,ATSG,10:00,23.47,23.49,23.47,23.49,23.4758,517,5
20200102,ATSG,10:07,23.49,23.52,23.48,23.52,23.50429,1925,18
20200102,ATSG,10:08,23.51,23.51,23.50,23.50,23.504,500,5
20200102,ATSG,10:10,23.49,23.49,23.45,23.45,23.472,500,4
20200102,ATSG,10:11,23.45,23.45,23.44,23.45,23.4475,400,4
20200102,ATSG,10:12,23.44,23.44,23.44,23.44,23.44,100,1
20200102,ATSG,10:13,23.45,23.45,23.44,23.4450,23.446,500,5
20200102,ATSG,10:14,23.44,23.44,23.43,23.43,23.435,200,2
20200102,ATSG,10:15,23.44,23.44,23.39,23.39,23.41,500,5
20200102,ATSG,10:17,23.37,23.38,23.37,23.38,23.37833,600,6
20200102,ATSG,10:18,23.38,23.38,23.38,23.38,23.38,300,3
20200102,ATSG,10:19,23.38,23.38,23.38,23.38,23.38,200,2
20200102,ATSG,10:21,23.37,23.39,23.37,23.39,23.38,600,6
20200102,ATSG,10:22,23.37,23.37,23.37,23.37,23.37,260,2
20200102,ATSG,10:24,23.37,23.39,23.37,23.39,23.37667,300,3
20200102,ATSG,10:25,23.34,23.34,23.32,23.32,23.33,200,2
20200102,ATSG,10:27,23.30,23.30,23.30,23.30,23.30,100,1
20200102,ATSG,10:29,23.27,23.27,23.27,23.27,23.27,124,1
20200102,ATSG,10:34,23.27,23.28,23.27,23.28,23.275,200,2
20200102,ATSG,10:35,23.27,23.27,23.27,23.27,23.27,600,5
20200102,ATSG,10:36,23.21,23.21,23.18,23.18,23.19551,552,5
20200102,ATSG,10:37,23.19,23.19,23.19,23.19,23.19,400,4
20200102,ATSG,10:39,23.21,23.28,23.21,23.27,23.25347,2314,19
20200102,ATSG,10:40,23.29,23.34,23.28,23.34,23.306,500,5
20200102,ATSG,10:41,23.35,23.38,23.35,23.38,23.362,500,5
20200102,ATSG,10:42,23.42,23.46,23.42,23.46,23.43333,300,3
20200102,ATSG,10:43,23.47,23.47,23.43,23.43,23.4475,400,4
20200102,ATSG,10:44,23.42,23.42,23.4150,23.4150,23.41667,300,3
20200102,ATSG,10:45,23.44,23.44,23.44,23.44,23.44,200,2
20200102,ATSG,10:46,23.44,23.44,23.44,23.44,23.44,100,1
20200102,ATSG,10:47,23.47,23.47,23.47,23.47,23.47,100,1
20200102,ATSG,10:48,23.47,23.47,23.46,23.47,23.46875,800,8
20200102,ATSG,10:49,23.46,23.46,23.46,23.46,23.46,100,1
20200102,ATSG,10:50,23.50,23.50,23.50,23.50,23.50,100,1
20200102,ATSG,10:52,23.50,23.50,23.50,23.50,23.50,100,1
20200102,ATSG,10:54,23.49,23.49,23.49,23.49,23.49,100,1
20200102,ATSG,10:55,23.50,23.50,23.50,23.50,23.50,100,1
20200102,ATSG,10:56,23.51,23.51,23.51,23.51,23.51,200,2
20200102,ATSG,10:57,23.49,23.49,23.49,23.49,23.49,300,3
20200102,ATSG,10:58,23.4650,23.48,23.4650,23.48,23.47625,400,4
20200102,ATSG,10:59,23.49,23.49,23.48,23.48,23.485,200,2
20200102,ATSG,11:01,23.46,23.48,23.46,23.48,23.46667,300,3
20200102,ATSG,11:05,23.45,23.46,23.44,23.44,23.44834,602,6
20200102,ATSG,11:11,23.44,23.45,23.3550,23.3550,23.43017,2706,21
20200102,ATSG,11:12,23.32,23.33,23.31,23.31,23.3225,400,4
20200102,ATSG,11:13,23.31,23.32,23.30,23.30,23.3055,2909,11
20200102,ATSG,11:14,23.26,23.32,23.26,23.31,23.30498,999,9
20200102,ATSG,11:15,23.32,23.32,23.30,23.30,23.308,500,5
20200102,ATSG,11:16,23.34,23.34,23.34,23.34,23.34,200,2
20200102,ATSG,11:17,23.33,23.33,23.3150,23.3150,23.3225,200,2
20200102,ATSG,11:21,23.3250,23.3250,23.31,23.31,23.313,500,5
20200102,ATSG,11:22,23.25,23.25,23.25,23.25,23.25,200,2
20200102,ATSG,11:23,23.25,23.25,23.22,23.22,23.235,200,2
20200102,ATSG,11:24,23.25,23.30,23.25,23.30,23.26931,518,5
20200102,ATSG,11:28,23.3250,23.3250,23.3250,23.3250,23.325,100,1
20200102,ATSG,11:29,23.31,23.31,23.30,23.30,23.306,500,5
20200102,ATSG,11:31,23.32,23.32,23.31,23.31,23.31333,300,3
20200102,ATSG,11:33,23.31,23.31,23.31,23.31,23.31,100,1
20200102,ATSG,11:34,23.31,23.31,23.28,23.28,23.29857,700,7
20200102,ATSG,11:36,23.25,23.25,23.25,23.25,23.25,100,1
20200102,ATSG,11:38,23.26,23.26,23.26,23.26,23.26,100,1
20200102,ATSG,11:41,23.27,23.30,23.27,23.30,23.2842,634,6
20200102,ATSG,11:43,23.32,23.32,23.32,23.32,23.32,100,1
20200102,ATSG,11:44,23.36,23.36,23.36,23.36,23.36,100,1
20200102,ATSG,11:45,23.33,23.33,23.32,23.33,23.32799,498,4
20200102,ATSG,11:46,23.28,23.28,23.21,23.21,23.245,200,2
20200102,ATSG,11:48,23.22,23.23,23.22,23.22,23.22333,300,3
20200102,ATSG,11:50,23.22,23.22,23.22,23.22,23.22,622,6
