Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ATTO,09:30,2.90,2.90,2.90,2.90,2.90,956,1
20200102,ATTO,09:45,2.91,2.91,2.91,2.91,2.91,354,1
20200102,ATTO,10:25,2.92,2.95,2.92,2.95,2.941,2000,9
20200102,ATTO,10:42,2.97,2.97,2.97,2.97,2.97,100,1
20200102,ATTO,10:54,2.95,2.97,2.95,2.97,2.96147,703,5
20200102,ATTO,11:01,2.97,2.99,2.97,2.99,2.98101,1446,6
20200102,ATTO,11:34,2.96,2.96,2.96,2.96,2.96,200,2
20200102,ATTO,11:47,2.97,2.97,2.97,2.97,2.97,100,1
20200102,ATTO,12:01,2.98,2.98,2.98,2.98,2.98,100,1
20200102,ATTO,13:12,2.94,2.94,2.94,2.94,2.94,514,3
20200102,ATTO,13:13,2.95,2.95,2.94,2.94,2.949,1000,7
20200102,ATTO,13:19,2.95,2.95,2.95,2.95,2.95,703,5
20200102,ATTO,13:20,2.96,2.96,2.96,2.96,2.96,200,1
20200102,ATTO,14:09,2.97,2.97,2.97,2.97,2.97,100,1
20200102,ATTO,14:10,2.97,2.97,2.97,2.97,2.97,900,7
20200102,ATTO,14:11,2.97,2.97,2.97,2.97,2.97,500,5
20200102,ATTO,14:19,2.96,2.96,2.96,2.96,2.96,3014,6
20200102,ATTO,15:32,2.97,2.97,2.97,2.97,2.97,200,2
20200102,ATTO,15:34,2.97,2.97,2.97,2.97,2.97,3378,20
20200102,ATTO,15:35,2.98,2.98,2.98,2.98,2.98,400,3
20200102,ATTO,15:37,2.98,2.98,2.98,2.98,2.98,100,1
20200102,ATTO,15:39,2.97,2.97,2.97,2.97,2.97,100,1
20200102,ATTO,15:50,2.99,2.99,2.99,2.99,2.99,1691,2
20200102,ATTO,15:53,2.99,2.99,2.99,2.99,2.99,586,3
20200102,ATTO,16:02,2.99,2.99,2.99,2.99,2.99,149,1
