Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ATVI,04:00,59.63,59.63,59.63,59.63,59.63,100,1
20200102,ATVI,06:14,59.90,59.90,59.90,59.90,59.90,100,1
20200102,ATVI,07:22,59.70,59.70,59.70,59.70,59.70,300,1
20200102,ATVI,08:19,59.73,59.73,59.73,59.73,59.73,300,2
20200102,ATVI,08:36,59.90,59.90,59.90,59.90,59.90,197,1
20200102,ATVI,08:43,59.96,59.96,59.96,59.96,59.96,200,2
20200102,ATVI,08:53,59.96,59.96,59.96,59.96,59.96,500,1
20200102,ATVI,09:02,59.93,59.93,59.86,59.86,59.8937,1242,6
20200102,ATVI,09:13,59.93,59.93,59.93,59.93,59.93,130,1
20200102,ATVI,09:30,59.91,60.00,59.69,59.71,59.90757,80365,138
20200102,ATVI,09:31,59.71,59.73,59.51,59.51,59.59063,8930,74
20200102,ATVI,09:32,59.53,59.94,59.50,59.94,59.63563,20928,156
20200102,ATVI,09:33,59.90,60.00,59.88,59.98,59.95163,26925,158
20200102,ATVI,09:34,60.00,60.05,59.88,59.91,59.97164,52401,208
20200102,ATVI,09:35,59.94,59.97,59.92,59.96,59.95411,2260,20
20200102,ATVI,09:36,59.94,59.94,59.70,59.73,59.82323,9485,77
20200102,ATVI,09:37,59.74,59.77,59.66,59.72,59.70176,14354,97
20200102,ATVI,09:38,59.76,59.78,59.62,59.63,59.70763,3800,36
20200102,ATVI,09:39,59.64,59.66,59.58,59.63,59.63666,6741,56
20200102,ATVI,09:40,59.65,59.72,59.65,59.70,59.68281,1981,15
20200102,ATVI,09:41,59.6750,59.73,59.6750,59.73,59.71342,1836,16
20200102,ATVI,09:42,59.72,59.76,59.65,59.66,59.70763,6616,51
20200102,ATVI,09:43,59.68,59.68,59.53,59.53,59.60068,5730,47
20200102,ATVI,09:44,59.55,59.56,59.50,59.52,59.51591,13378,108
20200102,ATVI,09:45,59.52,59.59,59.51,59.57,59.5483,4845,42
20200102,ATVI,09:46,59.62,59.63,59.56,59.56,59.60451,3759,27
20200102,ATVI,09:47,59.56,59.57,59.51,59.54,59.53733,4229,36
20200102,ATVI,09:48,59.55,59.56,59.45,59.45,59.50935,11363,97
20200102,ATVI,09:49,59.46,59.46,59.41,59.43,59.42802,8772,57
20200102,ATVI,09:50,59.43,59.52,59.43,59.46,59.47779,5200,48
20200102,ATVI,09:51,59.46,59.48,59.4550,59.47,59.46672,2604,25
20200102,ATVI,09:52,59.4850,59.50,59.4450,59.46,59.4706,8544,70
20200102,ATVI,09:53,59.44,59.46,59.4050,59.44,59.4233,4081,37
20200102,ATVI,09:54,59.46,59.48,59.42,59.44,59.45145,4873,45
20200102,ATVI,09:55,59.44,59.47,59.42,59.47,59.43501,4711,35
20200102,ATVI,09:56,59.49,59.50,59.47,59.4850,59.4863,2300,21
20200102,ATVI,09:57,59.4850,59.54,59.45,59.54,59.49134,4985,44
20200102,ATVI,09:58,59.53,59.53,59.45,59.45,59.48801,1710,16
20200102,ATVI,09:59,59.44,59.49,59.42,59.42,59.45253,6869,56
20200102,ATVI,10:00,59.42,59.43,59.32,59.32,59.38172,14601,104
20200102,ATVI,10:01,59.30,59.30,59.22,59.26,59.25303,14380,107
20200102,ATVI,10:02,59.25,59.25,59.14,59.18,59.18871,7735,72
20200102,ATVI,10:03,59.19,59.20,59.16,59.16,59.18333,3498,32
20200102,ATVI,10:04,59.16,59.19,59.15,59.19,59.16975,6144,52
20200102,ATVI,10:05,59.18,59.19,59.1450,59.18,59.17009,5500,46
20200102,ATVI,10:06,59.19,59.1950,59.18,59.18,59.18876,4345,32
20200102,ATVI,10:07,59.1750,59.18,59.1750,59.18,59.17991,5875,36
20200102,ATVI,10:08,59.19,59.20,59.1750,59.18,59.18827,2307,20
20200102,ATVI,10:09,59.1850,59.25,59.1850,59.19,59.20684,5764,46
20200102,ATVI,10:10,59.17,59.21,59.16,59.21,59.1784,4700,39
20200102,ATVI,10:11,59.21,59.21,59.1650,59.18,59.18424,3300,29
20200102,ATVI,10:12,59.17,59.21,59.1650,59.20,59.1833,5941,38
20200102,ATVI,10:13,59.21,59.2150,59.1650,59.18,59.195,3300,33
20200102,ATVI,10:14,59.17,59.17,59.10,59.11,59.13588,9464,75
20200102,ATVI,10:15,59.11,59.1150,58.9650,58.99,59.03001,19320,138
20200102,ATVI,10:16,59.00,59.02,58.96,59.0150,58.99643,9096,82
20200102,ATVI,10:17,59.01,59.0850,59.00,59.08,59.03783,3935,36
20200102,ATVI,10:18,59.08,59.08,59.01,59.02,59.03395,9009,67
20200102,ATVI,10:19,59.02,59.02,58.86,58.86,58.92684,21561,164
20200102,ATVI,10:20,58.86,58.86,58.71,58.71,58.79229,41766,301
20200102,ATVI,10:21,58.73,58.81,58.72,58.76,58.76169,26002,174
20200102,ATVI,10:22,58.75,58.75,58.67,58.72,58.71879,19213,140
20200102,ATVI,10:23,58.70,58.71,58.61,58.63,58.65865,14246,105
20200102,ATVI,10:24,58.63,58.66,58.61,58.66,58.63624,8500,66
20200102,ATVI,10:25,58.65,58.65,58.59,58.61,58.61738,7275,59
20200102,ATVI,10:26,58.61,58.68,58.57,58.68,58.61105,14291,99
20200102,ATVI,10:27,58.70,58.83,58.70,58.81,58.775,2000,19
20200102,ATVI,10:28,58.82,58.83,58.75,58.81,58.79704,16122,46
20200102,ATVI,10:29,58.8150,58.85,58.81,58.83,58.83261,2166,15
20200102,ATVI,10:30,58.82,58.82,58.78,58.82,58.80116,2195,21
20200102,ATVI,10:31,58.82,58.85,58.81,58.81,58.82797,6385,55
20200102,ATVI,10:32,58.80,58.82,58.7850,58.81,58.80131,4200,38
20200102,ATVI,10:33,58.78,58.81,58.77,58.81,58.78026,3800,37
20200102,ATVI,10:34,58.8150,58.83,58.78,58.81,58.80199,3002,29
20200102,ATVI,10:35,58.81,58.81,58.79,58.81,58.7975,3000,26
20200102,ATVI,10:36,58.82,58.95,58.8150,58.93,58.87574,12092,105
20200102,ATVI,10:37,58.93,58.93,58.87,58.87,58.89636,2838,27
20200102,ATVI,10:38,58.90,58.90,58.8450,58.85,58.87331,3757,29
20200102,ATVI,10:39,58.87,58.91,58.87,58.91,58.89037,4000,34
20200102,ATVI,10:40,58.91,58.91,58.86,58.86,58.88086,2900,23
20200102,ATVI,10:41,58.8750,58.88,58.8550,58.87,58.8722,2722,23
20200102,ATVI,10:42,58.88,58.95,58.88,58.94,58.91471,3500,31
20200102,ATVI,10:43,58.9550,58.97,58.93,58.95,58.95125,4880,46
20200102,ATVI,10:44,58.9550,59.00,58.9550,58.9850,58.97998,3206,27
20200102,ATVI,10:45,58.99,59.0250,58.99,59.00,59.001,4000,36
20200102,ATVI,10:46,59.0050,59.02,58.99,59.01,59.00254,1755,17
20200102,ATVI,10:47,59.02,59.02,58.98,58.98,59.00497,3582,29
20200102,ATVI,10:48,58.97,58.97,58.92,58.95,58.94344,3355,27
20200102,ATVI,10:49,58.96,58.99,58.96,58.99,58.97825,5236,43
20200102,ATVI,10:50,58.99,59.00,58.94,58.94,58.97672,4753,36
20200102,ATVI,10:51,58.95,58.9550,58.9450,58.95,58.95059,1700,14
20200102,ATVI,10:52,58.94,58.95,58.93,58.95,58.94324,2293,18
20200102,ATVI,10:53,58.95,58.95,58.92,58.9250,58.93398,2540,23
20200102,ATVI,10:54,58.93,58.94,58.91,58.94,58.923,2000,17
20200102,ATVI,10:55,58.96,59.07,58.95,59.06,59.01692,6388,59
20200102,ATVI,10:56,59.07,59.16,59.07,59.13,59.1161,8858,70
