Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ATXI,09:30,9.69,9.69,9.69,9.69,9.69,387,1
20200102,ATXI,09:34,9.55,9.55,9.23,9.23,9.33222,1350,9
20200102,ATXI,09:39,9.38,9.38,9.38,9.38,9.38,100,1
20200102,ATXI,09:42,9.04,9.17,9.00,9.00,9.01001,3798,12
20200102,ATXI,09:47,9.08,9.10,9.08,9.10,9.09479,384,3
20200102,ATXI,10:21,9.14,9.14,9.10,9.10,9.11222,1800,7
20200102,ATXI,11:15,9.30,9.30,9.30,9.30,9.30,100,1
20200102,ATXI,11:22,9.30,9.30,9.30,9.30,9.30,100,1
20200102,ATXI,11:36,9.21,9.21,9.00,9.00,9.06718,3550,17
20200102,ATXI,11:40,9.01,9.01,9.01,9.01,9.01,220,2
20200102,ATXI,11:41,9.15,9.15,9.15,9.15,9.15,1000,5
20200102,ATXI,11:45,9.01,9.01,8.90,8.99,8.97746,5786,6
20200102,ATXI,11:46,8.98,8.99,8.98,8.99,8.9825,400,2
20200102,ATXI,11:48,8.90,8.90,8.90,8.90,8.90,2716,1
20200102,ATXI,11:57,8.99,8.99,8.99,8.99,8.99,100,1
20200102,ATXI,12:05,8.82,8.82,8.82,8.82,8.82,100,1
20200102,ATXI,12:08,8.8950,8.8950,8.82,8.82,8.845,300,3
20200102,ATXI,12:20,8.98,8.98,8.98,8.98,8.98,100,1
20200102,ATXI,12:30,9.00,9.00,9.00,9.00,9.00,100,1
20200102,ATXI,12:36,8.98,8.98,8.98,8.98,8.98,100,1
20200102,ATXI,12:39,9.00,9.00,9.00,9.00,9.00,100,1
20200102,ATXI,12:42,8.99,8.99,8.99,8.99,8.99,100,1
20200102,ATXI,12:43,8.90,8.9350,8.90,8.9350,8.90583,600,5
20200102,ATXI,13:04,8.99,8.99,8.99,8.99,8.99,500,1
20200102,ATXI,13:05,8.99,8.99,8.99,8.99,8.99,100,1
20200102,ATXI,13:18,8.99,8.99,8.99,8.99,8.99,100,1
20200102,ATXI,13:19,9.00,9.00,9.00,9.00,9.00,2700,2
20200102,ATXI,13:21,9.30,9.30,9.30,9.30,9.30,100,1
20200102,ATXI,13:24,9.30,9.30,9.30,9.30,9.30,100,1
20200102,ATXI,13:26,9.30,9.30,9.30,9.30,9.30,100,1
20200102,ATXI,13:55,9.35,9.35,9.35,9.35,9.35,100,1
20200102,ATXI,14:09,9.25,9.25,9.25,9.25,9.25,100,1
20200102,ATXI,14:27,9.05,9.05,9.05,9.05,9.05,200,1
20200102,ATXI,14:39,9.01,9.01,8.90,8.90,8.91951,2101,10
20200102,ATXI,14:42,8.90,8.90,8.90,8.90,8.90,500,2
20200102,ATXI,14:44,8.90,8.90,8.90,8.90,8.90,100,1
20200102,ATXI,14:56,8.9950,8.9950,8.9950,8.9950,8.995,200,2
20200102,ATXI,14:59,8.90,8.90,8.90,8.90,8.90,700,7
20200102,ATXI,15:13,8.91,8.91,8.90,8.90,8.90667,300,3
20200102,ATXI,15:19,8.88,8.88,8.88,8.88,8.88,100,1
20200102,ATXI,15:24,8.87,8.87,8.87,8.87,8.87,100,1
20200102,ATXI,15:29,8.83,8.83,8.80,8.80,8.80136,2201,2
20200102,ATXI,15:32,8.86,8.88,8.86,8.88,8.87,400,4
20200102,ATXI,15:35,8.94,8.94,8.94,8.94,8.94,100,1
20200102,ATXI,15:44,8.92,8.92,8.92,8.92,8.92,100,1
20200102,ATXI,15:56,8.82,8.82,8.82,8.82,8.82,100,1
20200102,ATXI,15:58,8.90,8.90,8.90,8.90,8.90,100,1
