Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AU,07:27,22.35,22.35,22.35,22.35,22.35,340,1
20200102,AU,07:48,22.39,22.40,22.39,22.40,22.39667,900,5
20200102,AU,07:49,22.42,22.42,22.42,22.42,22.42,100,1
20200102,AU,07:50,22.46,22.46,22.46,22.46,22.46,400,4
20200102,AU,08:28,22.44,22.44,22.44,22.44,22.44,300,3
20200102,AU,08:34,22.47,22.47,22.47,22.47,22.47,200,2
20200102,AU,08:40,22.46,22.48,22.46,22.48,22.468,500,5
20200102,AU,08:48,22.47,22.47,22.47,22.47,22.47,500,2
20200102,AU,08:49,22.46,22.46,22.46,22.46,22.46,500,3
20200102,AU,08:51,22.50,22.50,22.50,22.50,22.50,300,3
20200102,AU,08:53,22.51,22.51,22.51,22.51,22.51,150,1
20200102,AU,08:54,22.50,22.50,22.50,22.50,22.50,600,3
20200102,AU,08:56,22.51,22.51,22.51,22.51,22.51,1200,3
20200102,AU,09:00,22.56,22.56,22.56,22.56,22.56,282,1
20200102,AU,09:02,22.56,22.56,22.56,22.56,22.56,100,1
20200102,AU,09:05,22.58,22.58,22.58,22.58,22.58,1100,2
20200102,AU,09:11,22.58,22.58,22.58,22.58,22.58,600,2
20200102,AU,09:12,22.56,22.56,22.56,22.56,22.56,1000,8
20200102,AU,09:28,22.54,22.55,22.54,22.55,22.54769,1300,3
20200102,AU,09:29,22.54,22.55,22.52,22.52,22.53518,3097,23
20200102,AU,09:30,22.50,22.58,22.50,22.54,22.50699,26817,39
20200102,AU,09:31,22.55,22.55,22.50,22.55,22.535,2800,12
20200102,AU,09:32,22.54,22.57,22.51,22.51,22.54917,1200,11
20200102,AU,09:33,22.53,22.53,22.47,22.52,22.49016,12115,61
20200102,AU,09:34,22.50,22.58,22.50,22.56,22.5538,9268,65
20200102,AU,09:35,22.5550,22.61,22.55,22.61,22.59721,6780,44
20200102,AU,09:36,22.62,22.63,22.57,22.58,22.6092,3136,27
20200102,AU,09:37,22.60,22.64,22.60,22.63,22.62562,4800,36
20200102,AU,09:38,22.63,22.63,22.59,22.59,22.62274,2822,21
20200102,AU,09:39,22.59,22.62,22.59,22.60,22.59827,5080,30
20200102,AU,09:40,22.5950,22.5950,22.56,22.56,22.57427,14380,85
20200102,AU,09:41,22.54,22.57,22.47,22.47,22.49071,14000,80
20200102,AU,09:42,22.47,22.50,22.45,22.49,22.48197,6100,39
20200102,AU,09:43,22.48,22.49,22.47,22.49,22.47872,2350,18
20200102,AU,09:44,22.50,22.52,22.48,22.48,22.50842,3800,30
20200102,AU,09:45,22.46,22.4950,22.44,22.4650,22.47427,14548,99
20200102,AU,09:46,22.46,22.5050,22.45,22.50,22.48923,17701,60
20200102,AU,09:47,22.50,22.51,22.48,22.48,22.50186,4300,33
20200102,AU,09:48,22.49,22.51,22.49,22.50,22.5044,5000,41
20200102,AU,09:49,22.51,22.51,22.4750,22.48,22.4901,5000,48
20200102,AU,09:50,22.49,22.56,22.49,22.54,22.54036,14992,93
20200102,AU,09:51,22.54,22.58,22.54,22.56,22.57009,13552,87
20200102,AU,09:52,22.55,22.57,22.55,22.57,22.56803,9900,46
20200102,AU,09:53,22.56,22.56,22.55,22.55,22.5583,3538,26
20200102,AU,09:54,22.56,22.5750,22.54,22.54,22.55908,12500,95
20200102,AU,09:55,22.5450,22.5450,22.52,22.53,22.53158,15730,93
20200102,AU,09:56,22.53,22.55,22.52,22.53,22.53464,39162,161
20200102,AU,09:57,22.54,22.56,22.52,22.56,22.53937,4000,21
20200102,AU,09:58,22.55,22.55,22.53,22.53,22.53479,2715,15
20200102,AU,09:59,22.53,22.59,22.49,22.50,22.53947,99306,475
20200102,AU,10:00,22.5050,22.56,22.49,22.51,22.53199,11862,74
20200102,AU,10:01,22.52,22.55,22.50,22.54,22.53497,11152,68
20200102,AU,10:02,22.55,22.5750,22.55,22.57,22.56655,3480,27
20200102,AU,10:03,22.57,22.59,22.57,22.58,22.58225,2000,10
20200102,AU,10:04,22.59,22.64,22.59,22.64,22.60706,3330,20
20200102,AU,10:05,22.65,22.66,22.65,22.66,22.65724,362,3
20200102,AU,10:06,22.67,22.6850,22.62,22.62,22.65865,8941,63
20200102,AU,10:07,22.62,22.63,22.61,22.63,22.62087,2300,17
20200102,AU,10:08,22.61,22.61,22.61,22.61,22.61,600,4
20200102,AU,10:09,22.61,22.61,22.59,22.61,22.60783,6752,30
20200102,AU,10:10,22.62,22.62,22.62,22.62,22.62,100,1
20200102,AU,10:11,22.63,22.63,22.61,22.62,22.62666,1803,13
20200102,AU,10:12,22.61,22.62,22.60,22.62,22.61083,1212,12
20200102,AU,10:13,22.63,22.68,22.61,22.61,22.64422,9041,36
20200102,AU,10:14,22.63,22.63,22.60,22.61,22.61625,800,7
20200102,AU,10:15,22.62,22.6750,22.61,22.67,22.64625,2000,20
20200102,AU,10:16,22.67,22.68,22.66,22.68,22.6684,2500,17
20200102,AU,10:17,22.68,22.70,22.65,22.67,22.68036,1400,14
20200102,AU,10:18,22.68,22.68,22.65,22.65,22.66727,1100,8
20200102,AU,10:19,22.67,22.68,22.66,22.66,22.6675,1600,16
20200102,AU,10:20,22.67,22.68,22.67,22.67,22.672,500,4
20200102,AU,10:21,22.67,22.70,22.67,22.69,22.68414,1662,11
20200102,AU,10:22,22.69,22.70,22.67,22.68,22.68136,2950,24
20200102,AU,10:23,22.6850,22.7050,22.6850,22.69,22.69755,2650,19
20200102,AU,10:24,22.69,22.69,22.68,22.68,22.68417,600,5
20200102,AU,10:25,22.69,22.71,22.69,22.69,22.70548,2766,21
20200102,AU,10:26,22.69,22.69,22.67,22.68,22.68111,900,9
20200102,AU,10:27,22.68,22.71,22.68,22.71,22.69773,2200,16
20200102,AU,10:28,22.71,22.73,22.70,22.73,22.714,1750,15
20200102,AU,10:29,22.73,22.75,22.72,22.73,22.74175,6291,38
20200102,AU,10:30,22.73,22.81,22.73,22.81,22.786,5539,31
20200102,AU,10:31,22.82,22.85,22.81,22.85,22.84045,6494,44
20200102,AU,10:32,22.86,22.87,22.85,22.85,22.85753,2369,20
20200102,AU,10:33,22.87,22.87,22.8450,22.85,22.86836,7000,38
20200102,AU,10:34,22.85,22.86,22.83,22.83,22.85,3628,24
