Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AUB,09:30,37.88,37.88,37.88,37.88,37.88,3362,1
20200102,AUB,09:32,37.66,37.66,37.60,37.65,37.634,500,4
20200102,AUB,09:33,37.58,37.62,37.58,37.62,37.60,400,4
20200102,AUB,09:36,37.73,37.73,37.73,37.73,37.73,100,1
20200102,AUB,09:37,37.61,37.61,37.58,37.58,37.595,200,2
20200102,AUB,09:39,37.64,37.64,37.62,37.62,37.635,400,4
20200102,AUB,09:41,37.57,37.58,37.57,37.58,37.57667,900,9
20200102,AUB,09:49,37.54,37.54,37.47,37.47,37.50333,900,9
20200102,AUB,09:51,37.44,37.44,37.38,37.38,37.42,300,3
20200102,AUB,09:54,37.44,37.44,37.44,37.44,37.44,100,1
20200102,AUB,09:55,37.47,37.48,37.47,37.47,37.47333,300,3
20200102,AUB,09:56,37.46,37.49,37.46,37.49,37.46771,389,3
20200102,AUB,10:00,37.47,37.50,37.41,37.41,37.454,500,5
20200102,AUB,10:01,37.39,37.41,37.39,37.41,37.39333,600,6
20200102,AUB,10:02,37.34,37.36,37.34,37.36,37.35,200,2
20200102,AUB,10:03,37.34,37.37,37.34,37.35,37.35333,300,3
20200102,AUB,10:04,37.33,37.33,37.32,37.32,37.328,500,5
20200102,AUB,10:05,37.30,37.33,37.27,37.28,37.29,700,7
20200102,AUB,10:06,37.26,37.26,37.26,37.26,37.26,100,1
20200102,AUB,10:07,37.28,37.29,37.27,37.27,37.2825,400,3
20200102,AUB,10:08,37.26,37.26,37.26,37.26,37.26,300,3
20200102,AUB,10:09,37.28,37.29,37.25,37.25,37.27778,900,9
20200102,AUB,10:10,37.23,37.23,37.23,37.23,37.23,100,1
20200102,AUB,10:12,37.21,37.21,37.18,37.21,37.20,600,6
20200102,AUB,10:13,37.18,37.21,37.17,37.17,37.19444,900,9
20200102,AUB,10:14,37.17,37.21,37.17,37.21,37.20545,1100,11
20200102,AUB,10:15,37.18,37.18,37.17,37.17,37.17333,300,3
20200102,AUB,10:16,37.18,37.18,37.18,37.18,37.18,100,1
20200102,AUB,10:18,37.18,37.21,37.18,37.20,37.205,1400,13
20200102,AUB,10:19,37.24,37.25,37.22,37.22,37.24059,1700,17
20200102,AUB,10:20,37.21,37.21,37.21,37.21,37.21,100,1
20200102,AUB,10:21,37.23,37.25,37.23,37.25,37.23857,700,7
20200102,AUB,10:23,37.26,37.26,37.24,37.24,37.25,200,2
20200102,AUB,10:25,37.28,37.28,37.28,37.28,37.28,100,1
20200102,AUB,10:28,37.23,37.23,37.22,37.23,37.224,500,5
20200102,AUB,10:29,37.22,37.22,37.20,37.20,37.21,300,3
20200102,AUB,10:31,37.19,37.19,37.18,37.18,37.18333,600,6
20200102,AUB,10:34,37.21,37.21,37.20,37.20,37.20651,1147,10
20200102,AUB,10:38,37.16,37.16,37.15,37.15,37.155,200,2
20200102,AUB,10:39,37.15,37.15,37.15,37.15,37.15,100,1
20200102,AUB,10:40,37.18,37.18,37.18,37.18,37.18,100,1
20200102,AUB,10:41,37.18,37.18,37.18,37.18,37.18,100,1
20200102,AUB,10:43,37.15,37.17,37.15,37.17,37.15667,300,3
20200102,AUB,10:47,37.15,37.15,37.14,37.14,37.142,500,5
20200102,AUB,10:48,37.13,37.14,37.10,37.10,37.11,700,7
20200102,AUB,10:49,37.12,37.12,37.12,37.12,37.12,300,3
20200102,AUB,10:50,37.12,37.12,37.12,37.12,37.12,202,2
20200102,AUB,10:55,37.21,37.21,37.21,37.21,37.21,100,1
20200102,AUB,10:56,37.20,37.20,37.19,37.19,37.195,400,3
20200102,AUB,10:58,37.22,37.26,37.22,37.26,37.23333,300,3
20200102,AUB,11:00,37.23,37.23,37.23,37.23,37.23,100,1
20200102,AUB,11:03,37.29,37.29,37.2650,37.2650,37.2775,200,2
20200102,AUB,11:05,37.24,37.24,37.24,37.24,37.24,100,1
20200102,AUB,11:15,37.23,37.23,37.20,37.20,37.22782,1378,12
20200102,AUB,11:17,37.20,37.20,37.20,37.20,37.20,400,4
20200102,AUB,11:18,37.19,37.19,37.19,37.19,37.19,100,1
20200102,AUB,11:20,37.18,37.18,37.18,37.18,37.18,100,1
20200102,AUB,11:21,37.20,37.21,37.1850,37.1850,37.19875,400,3
20200102,AUB,11:24,37.20,37.21,37.20,37.21,37.205,600,5
20200102,AUB,11:26,37.19,37.19,37.19,37.19,37.19,300,3
20200102,AUB,11:28,37.21,37.21,37.21,37.21,37.21,200,2
20200102,AUB,11:29,37.24,37.24,37.22,37.24,37.23286,700,7
20200102,AUB,11:33,37.23,37.25,37.21,37.25,37.22857,700,7
20200102,AUB,11:34,37.21,37.21,37.20,37.20,37.20333,300,3
